team_name,opp_mp,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_02,opp_pct_fga_03_09,opp_pct_fga_10_15,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg_pct_00_02,opp_fg_pct_03_09,opp_fg_pct_10_15,opp_fg_pct_16_xx,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,19730,13.5,.690,.290,.134,.082,.183,.310,.606,.388,.402,.392,.566,.040,248,.233,908,.893,.288,.363
Boston Celtics,19880,12.7,.740,.286,.173,.114,.167,.260,.645,.388,.409,.385,.509,.041,260,.229,957,.852,.263,.367
Brooklyn Nets,19930,12.9,.719,.299,.156,.087,.177,.281,.638,.403,.409,.373,.545,.055,337,.237,933,.871,.261,.386
Chicago Bulls,19880,12.6,.774,.281,.156,.125,.208,.226,.580,.379,.424,.395,.478,.036,230,.235,895,.807,.201,.375
Charlotte Hornets,19905,13.3,.735,.264,.165,.107,.199,.265,.596,.374,.408,.415,.528,.035,213,.220,827,.866,.243,.387
Cleveland Cavaliers,19780,12.7,.730,.282,.174,.114,.160,.270,.647,.395,.370,.434,.575,.049,302,.216,895,.860,.258,.379
Dallas Mavericks,19880,13.2,.706,.274,.165,.101,.166,.294,.650,.349,.417,.391,.505,.048,309,.208,859,.848,.277,.410
Denver Nuggets,19880,12.8,.736,.291,.163,.099,.182,.264,.626,.412,.441,.401,.534,.047,294,.233,930,.856,.255,.363
Detroit Pistons,19830,12.5,.738,.293,.179,.098,.165,.262,.649,.345,.399,.426,.565,.041,259,.238,984,.872,.260,.378
Golden State Warriors,19730,13.0,.752,.268,.170,.122,.191,.248,.620,.342,.406,.366,.508,.043,286,.211,847,.806,.203,.392
Houston Rockets,19805,12.7,.731,.297,.167,.092,.175,.269,.641,.378,.381,.387,.501,.050,325,.237,959,.836,.274,.340
Indiana Pacers,19855,13.1,.747,.270,.163,.113,.202,.253,.593,.397,.394,.388,.480,.036,227,.219,821,.849,.245,.398
Los Angeles Clippers,19730,13.4,.710,.266,.159,.109,.170,.290,.627,.393,.368,.415,.584,.050,307,.205,784,.820,.227,.369
Los Angeles Lakers,19930,12.6,.718,.313,.152,.094,.157,.282,.649,.397,.393,.402,.553,.057,355,.245,1001,.851,.257,.411
Memphis Grizzlies,19905,13.2,.717,.276,.161,.103,.176,.283,.623,.381,.413,.375,.481,.047,289,.213,822,.831,.256,.390
Miami Heat,19730,12.9,.711,.299,.144,.100,.164,.289,.626,.415,.402,.382,.528,.054,317,.229,844,.805,.277,.385
Milwaukee Bucks,19930,12.7,.705,.324,.139,.094,.147,.295,.589,.379,.347,.401,.546,.046,281,.255,929,.898,.315,.377
Minnesota Timberwolves,19805,12.6,.726,.314,.142,.093,.175,.274,.690,.426,.412,.400,.494,.058,369,.243,1065,.875,.288,.425
New Orleans Pelicans,19780,11.9,.764,.326,.172,.105,.161,.236,.636,.378,.401,.389,.494,.050,314,.265,1050,.797,.212,.390
New York Knicks,19855,12.6,.723,.300,.164,.094,.161,.277,.614,.399,.429,.389,.499,.053,306,.238,871,.886,.252,.447
Oklahoma City Thunder,19830,12.5,.717,.302,.163,.105,.147,.283,.610,.371,.397,.387,.515,.052,310,.234,930,.846,.259,.341
Orlando Magic,19755,13.2,.724,.288,.143,.110,.184,.276,.643,.400,.427,.394,.548,.056,353,.217,849,.865,.251,.434
Philadelphia 76ers,19805,12.6,.723,.306,.162,.093,.162,.277,.622,.353,.401,.411,.574,.053,317,.235,912,.868,.249,.400
Phoenix Suns,19880,12.3,.742,.304,.179,.096,.163,.258,.645,.361,.376,.393,.491,.050,312,.236,1000,.788,.231,.414
Portland Trail Blazers,19855,12.4,.782,.279,.174,.128,.201,.218,.607,.377,.425,.382,.476,.038,244,.223,911,.817,.226,.371
Sacramento Kings,19855,13.4,.710,.243,.196,.093,.178,.290,.684,.426,.384,.390,.521,.049,326,.192,872,.833,.259,.387
San Antonio Spurs,19955,12.1,.774,.297,.180,.122,.175,.226,.607,.373,.374,.396,.501,.041,251,.248,952,.812,.256,.398
Toronto Raptors,19855,12.6,.731,.290,.182,.092,.165,.269,.638,.399,.443,.406,.538,.051,309,.235,923,.842,.254,.373
Utah Jazz,19705,12.8,.746,.259,.198,.096,.193,.254,.632,.372,.430,.389,.471,.052,299,.199,754,.823,.257,.396
Washington Wizards,19955,13.5,.725,.259,.162,.111,.191,.275,.617,.365,.408,.381,.487,.038,244,.212,796,.770,.207,.369
