team_name,avg_dist,fg2a_pct_fga,pct_fga_00_02,pct_fga_03_09,pct_fga_10_15,pct_fga_16_xx,fg3a_pct_fga,fg_pct_00_02,fg_pct_03_09,fg_pct_10_15,fg_pct_16_xx,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,13.2,.679,.290,.158,.080,.151,.321,.636,.392,.386,.441,.591,.038,225,.249,1000,.918,.275,.421,3,0
Boston Celtics,13.3,.720,.279,.145,.103,.193,.280,.623,.383,.408,.416,.565,.041,267,.228,958,.877,.204,.374,16,0
Brooklyn Nets,12.4,.760,.268,.213,.116,.164,.240,.617,.444,.406,.396,.488,.040,243,.218,860,.887,.284,.391,24,0
Chicago Bulls,12.6,.731,.308,.156,.099,.163,.269,.589,.394,.373,.401,.525,.038,237,.261,950,.842,.216,.386,18,2
Charlotte Hornets,13.2,.774,.263,.153,.124,.234,.226,.571,.381,.388,.391,.521,.032,202,.220,800,.791,.177,.390,16,0
Cleveland Cavaliers,13.2,.666,.295,.156,.092,.124,.334,.649,.358,.387,.432,.509,.064,393,.215,848,.803,.289,.364,4,1
Dallas Mavericks,13.3,.704,.287,.142,.094,.182,.296,.661,.379,.420,.417,.482,.057,364,.220,933,.857,.229,.393,10,1
Denver Nuggets,12.7,.716,.297,.177,.090,.151,.284,.624,.349,.397,.380,.506,.057,358,.224,901,.839,.236,.344,22,1
Detroit Pistons,12.2,.710,.323,.192,.065,.128,.290,.601,.329,.381,.386,.512,.043,273,.247,981,.815,.240,.396,20,0
Golden State Warriors,13.5,.689,.286,.145,.104,.154,.311,.675,.371,.443,.397,.602,.062,396,.206,939,.821,.221,.460,24,0
Houston Rockets,13.2,.608,.309,.184,.047,.068,.392,.636,.391,.351,.328,.496,.057,361,.252,976,.833,.327,.393,17,0
Indiana Pacers,13.5,.745,.244,.173,.105,.222,.255,.604,.400,.377,.418,.516,.027,155,.203,797,.858,.266,.383,17,0
Los Angeles Clippers,14.5,.678,.241,.119,.096,.217,.322,.682,.406,.436,.434,.563,.063,386,.166,705,.820,.264,.394,11,0
Los Angeles Lakers,13.0,.780,.263,.151,.131,.232,.220,.651,.350,.376,.366,.527,.043,276,.205,859,.726,.183,.396,7,0
Memphis Grizzlies,11.5,.816,.305,.202,.130,.179,.184,.625,.404,.419,.386,.528,.029,173,.263,1074,.865,.262,.383,22,2
Miami Heat,12.8,.738,.294,.141,.118,.184,.262,.629,.438,.425,.386,.481,.047,277,.238,860,.905,.318,.375,17,1
Milwaukee Bucks,11.9,.777,.337,.137,.111,.193,.223,.609,.352,.437,.394,.570,.052,320,.259,977,.890,.316,.403,4,0
Minnesota Timberwolves,12.0,.821,.284,.176,.122,.234,.179,.624,.360,.408,.367,.557,.054,332,.217,826,.825,.217,.368,12,0
New Orleans Pelicans,11.9,.767,.347,.152,.098,.169,.233,.592,.385,.406,.398,.513,.050,313,.286,1052,.875,.239,.412,17,0
New York Knicks,13.7,.760,.239,.146,.125,.246,.240,.588,.363,.397,.410,.550,.035,213,.198,715,.836,.187,.351,16,1
Oklahoma City Thunder,12.4,.738,.302,.158,.113,.165,.262,.616,.384,.437,.377,.461,.051,328,.233,933,.797,.247,.373,12,0
Orlando Magic,12.0,.765,.315,.184,.094,.172,.235,.613,.385,.384,.416,.480,.052,315,.241,929,.868,.260,.373,11,0
Philadelphia 76ers,12.4,.681,.318,.172,.068,.114,.319,.592,.318,.325,.317,.520,.051,318,.257,938,.873,.178,.341,16,0
Phoenix Suns,13.1,.709,.293,.139,.125,.153,.291,.644,.373,.429,.382,.443,.045,291,.237,1009,.801,.289,.362,19,1
Portland Trail Blazers,14.2,.684,.247,.134,.112,.190,.316,.652,.411,.402,.392,.495,.034,227,.193,834,.776,.249,.391,14,0
Sacramento Kings,11.5,.796,.299,.222,.094,.181,.204,.655,.355,.417,.395,.503,.066,391,.239,937,.837,.299,.367,12,0
San Antonio Spurs,12.5,.731,.276,.203,.103,.148,.269,.636,.461,.403,.394,.544,.028,172,.239,999,.919,.287,.425,10,0
Toronto Raptors,13.2,.698,.253,.195,.104,.146,.302,.646,.446,.393,.393,.476,.042,259,.193,781,.781,.261,.413,10,0
Utah Jazz,12.6,.726,.296,.173,.096,.161,.274,.673,.332,.395,.363,.473,.066,401,.214,830,.900,.275,.376,18,1
Washington Wizards,12.6,.797,.286,.142,.138,.230,.203,.658,.385,.409,.389,.578,.050,327,.220,879,.889,.279,.371,12,0
