Visitor,Home,Prediction,Result,Prediction_Outcome
Memphis Grizzlies,Atlanta Hawks
Boston Celtics,Brooklyn Nets
Utah Jazz,Chicago Bulls
New Orleans Pelicans,Charlotte Hornets
Houston Rockets,Cleveland Cavaliers
Detroit Pistons,Dallas Mavericks
Orlando Magic,Denver Nuggets
Indiana Pacers,Golden State Warriors
Los Angeles Lakers,Los Angeles Clippers
Phoenix Suns,Minnesota Timberwolves
Milwaukee Bucks,Philadelphia 76ers
Oklahoma City Thunder,Sacramento Kings
New York Knicks,Washington Wizards
