Visitor,Home,Prediction,Result,Prediction_Outcome
Chicago Bulls,Boston Celtics
Denver Nuggets,Dallas Mavericks
Detroit Pistons,Indiana Pacers
Cleveland Cavaliers,Los Angeles Clippers
Golden State Warriors,Oklahoma City Thunder
Memphis Grizzlies,Orlando Magic
New Orleans Pelicans,Philadelphia 76ers
Minnesota Timberwolves,Phoenix Suns
Miami Heat,Sacramento Kings
Portland Trail Blazers,San Antonio Spurs
Atlanta Hawks,Toronto Raptors
Los Angeles Lakers,Utah Jazz
Brooklyn Nets,Washington Wizards
