Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Atlanta Hawks
Charlotte Hornets,Boston Celtics
Minnesota Timberwolves,Chicago Bulls
Utah Jazz,Denver Nuggets
New York Knicks,Detroit Pistons
Brooklyn Nets,Houston Rockets
Cleveland Cavaliers,Indiana Pacers
Milwaukee Bucks,Los Angeles Lakers
Los Angeles Clippers,Memphis Grizzlies
Miami Heat,New Orleans Pelicans
Washington Wizards,Philadelphia 76ers
Oklahoma City Thunder,Portland Trail Blazers
San Antonio Spurs,Sacramento Kings
Golden State Warriors,Toronto Raptors
