Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Boston Celtics
Brooklyn Nets,Charlotte Hornets
Philadelphia 76ers,Denver Nuggets
Cleveland Cavaliers,Memphis Grizzlies
Los Angeles Lakers,Minnesota Timberwolves
Houston Rockets,New Orleans Pelicans
Los Angeles Clippers,New York Knicks
Atlanta Hawks,Orlando Magic
Sacramento Kings,Phoenix Suns
Oklahoma City Thunder,San Antonio Spurs
Chicago Bulls,Toronto Raptors
Portland Trail Blazers,Utah Jazz
Indiana Pacers,Washington Wizards
