Visitor,Home,Prediction,Result,Prediction_Outcome
Orlando Magic,Brooklyn Nets
Atlanta Hawks,Chicago Bulls
Washington Wizards,Cleveland Cavaliers
Portland Trail Blazers,Dallas Mavericks
Denver Nuggets,Golden State Warriors
Utah Jazz,Houston Rockets
Sacramento Kings,Los Angeles Lakers
Indiana Pacers,Memphis Grizzlies
Boston Celtics,Milwaukee Bucks
Oklahoma City Thunder,Minnesota Timberwolves
San Antonio Spurs,New Orleans Pelicans
Detroit Pistons,New York Knicks
Miami Heat,Philadelphia 76ers
Charlotte Hornets,Toronto Raptors
