Rk,Team,G,MP,FG_pct,Dist.,FGA_2P,FGA_0_2,FGA_3_9,FGA_10_15,FGA_16_less_than_3,FGA_3P,FG_2P,FG_0_2,FG_3_9,FG_10_15,FG_16_less_than_3,FG_3P,2_Pt_pct_Ast'd,Dunks_pct_FGA,DunksMd.,Layups_pct_FGA,LayupsMd.,3_Pt_pct_Ast'd,Corner_pct_3PA,Corner3P_pct
1,Atlanta Hawks*,82,19830,0.432,12.6,0.716,0.301,0.137,0.101,0.176,0.284,0.469,0.581,0.405,0.37,0.383,0.338,0.522,0.043,273,0.261,964,0.841,0.252,0.377
2,Boston Celtics*,82,19780,0.441,12.4,0.726,0.294,0.169,0.102,0.161,0.274,0.481,0.618,0.378,0.387,0.396,0.336,0.478,0.035,227,0.258,1031,0.855,0.255,0.359
3,Brooklyn Nets,82,19755,0.479,12.3,0.699,0.325,0.143,0.084,0.147,0.301,0.526,0.649,0.434,0.396,0.418,0.369,0.525,0.064,412,0.273,1108,0.845,0.256,0.417
4,Chicago Bulls,82,19905,0.441,12.2,0.743,0.303,0.158,0.107,0.175,0.257,0.474,0.597,0.381,0.404,0.387,0.345,0.503,0.039,263,0.275,1097,0.845,0.226,0.397
5,Charlotte Hornets*,82,19855,0.444,13,0.701,0.293,0.13,0.1,0.178,0.299,0.485,0.607,0.362,0.415,0.414,0.349,0.538,0.042,272,0.251,966,0.86,0.252,0.37
6,Cleveland Cavaliers*,82,19855,0.448,12.4,0.724,0.274,0.177,0.115,0.157,0.276,0.487,0.633,0.4,0.41,0.385,0.347,0.517,0.046,283,0.236,908,0.819,0.239,0.38
7,Dallas Mavericks*,82,20005,0.451,13,0.689,0.261,0.164,0.107,0.157,0.311,0.5,0.649,0.4,0.427,0.407,0.342,0.481,0.044,284,0.214,881,0.865,0.269,0.333
8,Denver Nuggets,82,19830,0.461,12.6,0.706,0.306,0.144,0.087,0.17,0.294,0.498,0.62,0.418,0.396,0.398,0.371,0.521,0.051,311,0.258,995,0.87,0.272,0.365
9,Detroit Pistons*,82,19880,0.461,11.9,0.757,0.288,0.178,0.127,0.164,0.243,0.495,0.639,0.396,0.439,0.395,0.355,0.489,0.038,237,0.253,1037,0.837,0.2,0.4
10,Golden State Warriors*,82,19880,0.435,12.4,0.737,0.277,0.177,0.118,0.164,0.263,0.472,0.639,0.345,0.386,0.389,0.332,0.52,0.047,313,0.232,978,0.773,0.183,0.358
11,Houston Rockets*,82,19830,0.459,12.6,0.684,0.298,0.156,0.091,0.14,0.316,0.504,0.655,0.386,0.387,0.389,0.361,0.561,0.06,389,0.252,1003,0.835,0.306,0.389
12,Indiana Pacers*,82,19880,0.44,12.7,0.708,0.292,0.145,0.103,0.168,0.292,0.484,0.61,0.398,0.41,0.387,0.334,0.475,0.042,269,0.263,1010,0.845,0.259,0.364
13,Los Angeles Clippers*,82,19830,0.434,12.6,0.725,0.278,0.164,0.108,0.175,0.275,0.471,0.618,0.387,0.398,0.36,0.338,0.512,0.05,318,0.24,910,0.814,0.221,0.321
14,Los Angeles Lakers,82,19730,0.473,12.2,0.713,0.314,0.145,0.103,0.151,0.287,0.524,0.671,0.413,0.394,0.413,0.347,0.549,0.062,401,0.254,1086,0.83,0.236,0.352
15,Memphis Grizzlies*,82,19830,0.456,13.3,0.662,0.29,0.137,0.088,0.147,0.338,0.503,0.618,0.431,0.368,0.424,0.365,0.53,0.046,267,0.247,895,0.819,0.251,0.391
16,Miami Heat*,82,19830,0.442,12.1,0.748,0.286,0.168,0.12,0.174,0.252,0.474,0.596,0.406,0.407,0.383,0.347,0.472,0.043,264,0.247,916,0.828,0.261,0.379
17,Milwaukee Bucks,82,19830,0.454,12.4,0.682,0.334,0.135,0.085,0.127,0.318,0.502,0.609,0.395,0.434,0.378,0.352,0.568,0.053,323,0.285,1074,0.899,0.286,0.39
