"","team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_02","opp_pct_fga_03_09","opp_pct_fga_10_15","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg_pct_00_02","opp_fg_pct_03_09","opp_fg_pct_10_15","opp_fg_pct_16_xx","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg_pct","opp_fg3","opp_fg3a","opp_fg3_pct","opp_fg2","opp_fg2a","opp_fg2_pct","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","opp_pts_per_g","avg_dist","fg2a_pct_fga","pct_fga_00_02","pct_fga_03_09","pct_fga_10_15","pct_fga_16_xx","fg3a_pct_fga","fg_pct_00_02","fg_pct_03_09","fg_pct_10_15","fg_pct_16_xx","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg_pct","fg3","fg3a","fg3_pct","fg2","fg2a","fg2_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","pts_per_g"
"1","Golden State Warriors",27.4,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,0.25,0.362,0.593,0.563,13.5,23.5,0.191,0.479,12.6,76,0.208,19880,12.4,0.737,0.277,0.177,0.118,0.164,0.263,0.639,0.345,0.386,0.389,0.52,0.047,313,0.232,978,0.773,0.183,0.358,3188,7330,0.435,640,1928,0.332,2548,5402,0.472,1523,2013,0.757,937,2662,3599,1823,710,336,1185,1627,8539,104.1,13.5,0.638,0.301,0.125,0.093,0.119,0.362,0.66,0.362,0.422,0.452,0.626,0.062,402,0.242,1032,0.792,0.229,0.413,22,2,3489,7159,0.487,1077,2592,0.416,2412,4567,0.528,1366,1790,0.763,816,2972,3788,2373,689,498,1245,1701,9421,114.9
"2","San Antonio Spurs",30.3,67,15,10.63,-0.36,10.28,110.3,99,93.8,0.246,0.223,0.564,0.526,12.4,23,0.197,0.477,14.1,79.1,0.182,19705,12.1,0.756,0.281,0.173,0.119,0.183,0.244,0.59,0.405,0.395,0.396,0.528,0.048,296,0.24,844,0.823,0.253,0.331,2928,6709,0.436,541,1634,0.331,2387,5075,0.47,1221,1611,0.758,747,2576,3323,1707,592,317,1214,1597,7618,92.9,12.2,0.777,0.264,0.175,0.137,0.201,0.223,0.667,0.452,0.44,0.421,0.549,0.033,206,0.237,1018,0.905,0.283,0.373,11,0,3289,6797,0.484,570,1518,0.375,2719,5279,0.515,1342,1672,0.803,770,2831,3601,2010,677,485,1071,1433,8490,103.5
"3","Oklahoma City Thunder",25.8,59,23,7.28,-0.19,7.09,113.1,105.6,96.7,0.292,0.275,0.565,0.524,14,31.1,0.228,0.484,11.7,76,0.205,19830,11.7,0.729,0.32,0.164,0.102,0.143,0.271,0.605,0.358,0.391,0.371,0.496,0.054,333,0.271,1072,0.802,0.243,0.382,3150,7192,0.438,667,1949,0.342,2483,5243,0.474,1474,1950,0.756,923,2373,3296,1767,719,373,1068,1653,8441,102.9,11.9,0.725,0.33,0.126,0.122,0.146,0.275,0.626,0.438,0.478,0.41,0.508,0.07,447,0.262,1010,0.758,0.291,0.357,6,0,3372,7082,0.476,678,1945,0.349,2694,5137,0.524,1616,2067,0.782,1071,2916,3987,1883,603,487,1305,1691,9038,110.2
"4","Cleveland Cavaliers",28.1,57,25,6,-0.55,5.45,110.9,104.5,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,19855,12.4,0.724,0.274,0.177,0.115,0.157,0.276,0.633,0.4,0.41,0.385,0.517,0.046,283,0.236,908,0.819,0.239,0.38,3019,6736,0.448,647,1862,0.347,2372,4874,0.487,1378,1855,0.743,760,2604,3364,1756,590,362,1092,1690,8063,98.3,13.3,0.648,0.28,0.149,0.095,0.125,0.352,0.658,0.391,0.378,0.438,0.481,0.057,358,0.227,920,0.861,0.26,0.391,5,1,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,104.3
"5","Los Angeles Clippers",29.7,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,19830,12.6,0.725,0.278,0.164,0.108,0.175,0.275,0.618,0.387,0.398,0.36,0.512,0.05,318,0.24,910,0.814,0.221,0.321,3015,6946,0.434,645,1909,0.338,2370,5037,0.471,1543,2055,0.751,968,2861,3829,1740,583,259,1260,1842,8218,100.2,14.2,0.676,0.239,0.129,0.093,0.215,0.324,0.675,0.438,0.425,0.417,0.526,0.057,346,0.195,787,0.799,0.226,0.405,14,0,3141,6759,0.465,797,2190,0.364,2344,4569,0.513,1490,2152,0.692,721,2727,3448,1873,709,460,1063,1746,8569,104.5
"6","Toronto Raptors",26.3,53,29,4.5,-0.42,4.08,110,105.2,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,19780,12.6,0.714,0.272,0.183,0.097,0.162,0.286,0.604,0.393,0.369,0.406,0.507,0.046,269,0.243,894,0.874,0.258,0.417,2991,6732,0.444,717,1922,0.373,2274,4810,0.473,1354,1809,0.748,782,2561,3343,1781,534,442,1094,1801,8053,98.2,12.3,0.713,0.277,0.187,0.111,0.139,0.287,0.624,0.409,0.394,0.374,0.4,0.043,265,0.246,906,0.869,0.29,0.413,9,1,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422,102.7
"7","Atlanta Hawks",28.2,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,19830,12.6,0.716,0.301,0.137,0.101,0.176,0.284,0.581,0.405,0.37,0.383,0.522,0.043,273,0.261,964,0.841,0.252,0.377,3046,7058,0.432,679,2008,0.338,2367,5050,0.469,1366,1810,0.755,944,2869,3813,1808,706,411,1324,1500,8137,99.2,12.7,0.664,0.326,0.121,0.078,0.138,0.336,0.623,0.377,0.431,0.415,0.582,0.037,222,0.293,1182,0.896,0.244,0.36,12,1,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433,102.8
"8","Boston Celtics",25.2,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,19780,12.4,0.726,0.294,0.169,0.102,0.161,0.274,0.618,0.378,0.387,0.396,0.478,0.035,227,0.258,1031,0.855,0.255,0.359,3075,6973,0.441,643,1912,0.336,2432,5061,0.481,1613,2136,0.755,932,2838,3770,1715,622,450,1348,1718,8406,102.5,12.4,0.707,0.318,0.141,0.094,0.154,0.293,0.624,0.355,0.378,0.373,0.546,0.025,169,0.29,1262,0.856,0.232,0.345,12,0,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669,105.7
"9","Charlotte Hornets",26,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,0.28,0.348,0.545,0.502,11.7,20,0.222,0.496,12.5,79.8,0.191,19855,13,0.701,0.293,0.13,0.1,0.178,0.299,0.607,0.362,0.415,0.414,0.538,0.042,272,0.251,966,0.86,0.252,0.37,3098,6971,0.444,726,2081,0.349,2372,4890,0.485,1334,1735,0.769,726,2936,3662,1901,553,448,1103,1670,8256,100.7,13.7,0.652,0.274,0.129,0.093,0.156,0.348,0.599,0.394,0.383,0.397,0.482,0.029,177,0.248,962,0.84,0.171,0.409,9,1,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479,103.4
"10","Utah Jazz",24.2,46,36,1.79,0.05,1.84,105.9,103.9,91,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,19955,12.3,0.722,0.288,0.169,0.102,0.164,0.278,0.611,0.377,0.426,0.388,0.45,0.055,321,0.233,836,0.84,0.268,0.398,2920,6549,0.446,649,1819,0.357,2271,4730,0.48,1374,1842,0.746,764,2522,3286,1568,652,385,1146,1629,7863,95.9,12.3,0.703,0.282,0.177,0.119,0.126,0.297,0.633,0.394,0.401,0.378,0.435,0.06,363,0.225,825,0.821,0.314,0.389,22,0,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010,97.7
