Rk,Team,G,MP,FG_pct,Dist.,FGA_2P,FGA_0_2,FGA_3_9,FGA_10_15,FGA_16 _less_than_3,FGA_3P,FG_2P,FG_0_2,FG_3_9,FG_10_15,FG_16 _less_than_3,FG_3P,2_Pt_pct_Ast'd,Dunks_pct_FGA,DunksMd.,Layups_pct_FGA,LayupsMd.,3_Pt_pct_Ast'd,Corner_pct_3PA,Corner3P_pct,Heaves_Att.,Heaves_Md.
1,Atlanta Hawks*,82,19830,0.458,12.7,0.664,0.326,0.121,0.078,0.138,0.336,0.512,0.623,0.377,0.431,0.415,0.35,0.582,0.037,222,0.293,1182,0.896,0.244,0.36,12,1
2,Boston Celtics*,82,19780,0.439,12.4,0.707,0.318,0.141,0.094,0.154,0.293,0.483,0.624,0.355,0.378,0.373,0.335,0.546,0.025,169,0.29,1262,0.856,0.232,0.345,12,0
3,Brooklyn Nets,82,19755,0.453,11.6,0.782,0.284,0.211,0.106,0.181,0.218,0.481,0.608,0.426,0.404,0.392,0.352,0.53,0.032,202,0.266,1038,0.844,0.309,0.391,13,0
4,Chicago Bulls,82,19905,0.441,12.2,0.756,0.291,0.162,0.117,0.185,0.244,0.464,0.573,0.391,0.4,0.398,0.371,0.515,0.039,255,0.262,966,0.883,0.224,0.397,16,1
5,Charlotte Hornets*,82,19855,0.439,13.7,0.652,0.274,0.129,0.093,0.156,0.348,0.479,0.599,0.394,0.383,0.397,0.362,0.482,0.029,177,0.248,962,0.84,0.171,0.409,9,1
6,Cleveland Cavaliers*,82,19855,0.46,13.3,0.648,0.28,0.149,0.095,0.125,0.352,0.514,0.658,0.391,0.378,0.438,0.362,0.481,0.057,358,0.227,920,0.861,0.26,0.391,5,1
7,Dallas Mavericks*,82,20005,0.444,13.7,0.661,0.243,0.149,0.111,0.159,0.339,0.495,0.656,0.369,0.431,0.412,0.344,0.5,0.033,214,0.214,879,0.847,0.213,0.39,17,0
8,Denver Nuggets,82,19830,0.442,11.8,0.723,0.342,0.158,0.08,0.142,0.277,0.482,0.586,0.389,0.373,0.397,0.338,0.543,0.055,356,0.287,1053,0.811,0.21,0.34,18,2
9,Detroit Pistons*,82,19880,0.439,12.3,0.697,0.294,0.184,0.104,0.116,0.303,0.48,0.61,0.369,0.41,0.388,0.345,0.422,0.037,232,0.258,1032,0.803,0.254,0.374,30,1
10,Golden State Warriors*,82,19880,0.487,13.5,0.638,0.301,0.125,0.093,0.119,0.362,0.528,0.66,0.362,0.422,0.452,0.416,0.626,0.062,402,0.242,1032,0.792,0.229,0.413,22,2
