Visitor,Home,Prediction,Result,Prediction_Outcome
Detroit Pistons,Atlanta Hawks,,,
Dallas Mavericks,Brooklyn Nets,,,
Boston Celtics,Charlotte Hornets,,,
New York Knicks,Cleveland Cavaliers,,,
Utah Jazz,Golden State Warriors,,,
Sacramento Kings,Indiana Pacers,,,
Oklahoma City Thunder,Los Angeles Lakers,,,
Philadelphia 76ers,Milwaukee Bucks,,,
San Antonio Spurs,Minnesota Timberwolves,,,
Portland Trail Blazers,New Orleans Pelicans,,,
Houston Rockets,Orlando Magic,,,
Denver Nuggets,Phoenix Suns,,,
Memphis Grizzlies,Washington Wizards,,,
