Visitor,Home,Prediction,Result,Prediction_Outcome
Miami Heat,Atlanta Hawks
New York Knicks,Brooklyn Nets
Toronto Raptors,Chicago Bulls
San Antonio Spurs,Los Angeles Lakers
Minnesota Timberwolves,Memphis Grizzlies
Charlotte Hornets,Milwaukee Bucks
Philadelphia 76ers,New Orleans Pelicans
Indiana Pacers,Oklahoma City Thunder
Dallas Mavericks,Orlando Magic
Houston Rockets,Phoenix Suns
Golden State Warriors,Portland Trail Blazers
Denver Nuggets,Sacramento Kings
Boston Celtics,Utah Jazz
Detroit Pistons,Washington Wizards
