team_name,W_PCT,HOME_RECORD,ROAD_RECORD,L10,CurrentStreak
New York Knicks,0.45454545454545453,0.4166666666666667,0.5,0.4,-2
Los Angeles Lakers,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.1,-3
Memphis Grizzlies,0.5454545454545454,0.5833333333333334,0.5,0.6,-1
Philadelphia 76ers,0.045454545454545456,0.1,0.0,0.1,-3
San Antonio Spurs,0.8181818181818182,1.0,0.6363636363636364,0.9,4
Houston Rockets,0.45454545454545453,0.46153846153846156,0.4444444444444444,0.5,-1
Detroit Pistons,0.5454545454545454,0.8,0.3333333333333333,0.5,-1
Boston Celtics,0.5714285714285714,0.6,0.5454545454545454,0.6,1
Miami Heat,0.631578947368421,0.7142857142857143,0.4,0.6,-1
Orlando Magic,0.5714285714285714,0.7,0.45454545454545453,0.7,1
Portland Trail Blazers,0.391304347826087,0.5,0.3076923076923077,0.5,-2
Golden State Warriors,1.0,1.0,1.0,1.0,23
Chicago Bulls,0.6111111111111112,0.7,0.5,0.6,-2
Washington Wizards,0.47368421052631576,0.4,0.5555555555555556,0.4,1
Dallas Mavericks,0.5909090909090909,0.625,0.5714285714285714,0.5,2
Minnesota Timberwolves,0.4,0.18181818181818182,0.6666666666666666,0.4,-4
Oklahoma City Thunder,0.6190476190476191,0.75,0.4444444444444444,0.7,2
Charlotte Hornets,0.6,0.75,0.375,0.7,2
Milwaukee Bucks,0.4090909090909091,0.6363636363636364,0.18181818181818182,0.4,2
Los Angeles Clippers,0.5714285714285714,0.6428571428571429,0.42857142857142855,0.6,2
Toronto Raptors,0.5909090909090909,0.5555555555555556,0.6153846153846154,0.6,1
Utah Jazz,0.47368421052631576,0.5,0.45454545454545453,0.5,-1
Phoenix Suns,0.4090909090909091,0.5,0.3333333333333333,0.2,1
Sacramento Kings,0.34782608695652173,0.46153846153846156,0.2,0.4,1
New Orleans Pelicans,0.23809523809523808,0.4,0.09090909090909091,0.4,-1
Cleveland Cavaliers,0.6666666666666666,0.9090909090909091,0.4,0.6,1
Atlanta Hawks,0.5909090909090909,0.6666666666666666,0.5,0.5,1
Brooklyn Nets,0.2857142857142857,0.5555555555555556,0.08333333333333333,0.4,1
Indiana Pacers,0.6,0.6666666666666666,0.5454545454545454,0.6,-3
Denver Nuggets,0.36363636363636365,0.3,0.4166666666666667,0.2,-1
