"Visitor","Home","visitor_age","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg_pct","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg3_pct","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_fg2_pct","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_opp_pts_per_g","visitor_fg","visitor_fga","visitor_fg_pct","visitor_fg3","visitor_fg3a","visitor_fg3_pct","visitor_fg2","visitor_fg2a","visitor_fg2_pct","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","visitor_pts_per_g","home_age","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_fg","home_opp_fga","home_opp_fg_pct","home_opp_fg3","home_opp_fg3a","home_opp_fg3_pct","home_opp_fg2","home_opp_fg2a","home_opp_fg2_pct","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_opp_pts_per_g","home_fg","home_fga","home_fg_pct","home_fg3","home_fg3a","home_fg3_pct","home_fg2","home_fg2a","home_fg2_pct","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts","home_pts_per_g"
"Los Angeles Lakers","Atlanta Hawks",26.2,1,3,-6.25,-2.15,-8.4,102,108.2,101.2,0.264,0.338,0.53,0.484,16.1,25.3,0.215,0.516,14.4,73.2,0.245,161,343,0.469,32,108,0.296,129,235,0.549,84,113,0.743,45,130,175,91,39,22,66,83,438,109.5,152,349,0.436,34,118,0.288,118,231,0.511,75,92,0.815,44,123,167,71,39,15,75,96,413,103.3,28.5,3,0,19.33,-7.38,11.96,109,89.5,99.1,0.349,0.302,0.557,0.528,13.7,28,0.23,0.46,17.6,82.8,0.149,104,249,0.418,21,61,0.344,83,188,0.441,37,52,0.712,22,95,117,67,33,15,58,74,266,88.7,119,252,0.472,28,76,0.368,91,176,0.517,58,88,0.659,37,106,143,83,35,20,46,53,324,108
"Chicago Bulls","Boston Celtics",27.7,3,0,17.67,2.28,19.95,117.6,99.3,96.7,0.258,0.273,0.573,0.53,12.9,33.6,0.217,0.477,12.4,81.1,0.154,114,260,0.438,20,72,0.278,94,188,0.5,40,54,0.741,27,87,114,70,26,16,40,56,288,96,126,267,0.472,31,73,0.425,95,194,0.49,58,69,0.841,44,116,160,85,22,16,44,57,341,113.7,26.5,2,1,1.67,8.99,10.65,111,109.3,97.6,0.24,0.35,0.598,0.577,13.9,16.2,0.167,0.479,10.8,73.1,0.235,111,268,0.414,35,101,0.347,76,167,0.455,63,83,0.759,39,98,137,69,21,10,37,57,320,106.7,125,246,0.508,34,86,0.395,91,160,0.569,41,59,0.695,19,106,125,83,23,21,44,71,325,108.3
"Detroit Pistons","Brooklyn Nets",25.7,3,1,9,-3.41,5.59,104.8,95.3,95.2,0.194,0.208,0.516,0.492,12.1,24.6,0.138,0.435,10.5,77.2,0.155,143,354,0.404,22,83,0.265,121,271,0.446,55,70,0.786,46,132,178,77,32,16,45,71,363,90.8,163,356,0.458,24,74,0.324,139,282,0.493,49,69,0.71,43,156,199,86,31,13,53,65,399,99.8,27,1,3,-7,6.04,-0.96,102.5,109.4,101.4,0.245,0.393,0.516,0.471,13.9,26.3,0.201,0.521,14.2,73.3,0.179,171,364,0.47,37,105,0.352,134,259,0.517,65,80,0.813,48,151,199,109,43,29,66,88,444,111,151,364,0.415,41,143,0.287,110,221,0.498,73,89,0.82,54,132,186,79,38,16,65,79,416,104
"Philadelphia 76ers","Charlotte Hornets",24.7,0,3,-13.33,0.59,-12.75,91,104.4,98.9,0.228,0.256,0.499,0.465,15.6,12.9,0.167,0.483,9.6,77.7,0.173,123,272,0.452,17,67,0.254,106,205,0.517,47,66,0.712,31,108,139,79,25,16,32,52,310,103.3,104,246,0.423,21,63,0.333,83,183,0.454,41,56,0.732,16,108,124,65,19,23,50,62,270,90,27.1,2,1,3.67,4.3,7.97,104.4,100.6,96.4,0.312,0.296,0.511,0.456,8.4,20.7,0.25,0.486,12.6,81.2,0.151,110,259,0.425,32,81,0.395,78,178,0.438,39,57,0.684,25,115,140,67,10,15,41,71,291,97,107,260,0.412,23,77,0.299,84,183,0.459,65,81,0.802,30,108,138,69,23,25,27,59,302,100.7
"Oklahoma City Thunder","Los Angeles Clippers",25.3,2,1,8.67,-9.8,-1.13,101.9,93.9,104,0.284,0.242,0.513,0.47,14,26.6,0.214,0.462,14.5,83.7,0.219,113,265,0.426,19,84,0.226,94,181,0.519,58,81,0.716,23,105,128,56,31,15,51,69,303,101,124,285,0.435,20,69,0.29,104,216,0.481,61,81,0.753,38,118,156,61,33,12,52,69,329,109.7,29.6,3,0,13,-2.16,10.84,107.3,94.2,98.8,0.409,0.283,0.53,0.476,11,23.8,0.299,0.459,16.1,80.5,0.236,103,242,0.426,16,52,0.308,87,190,0.458,57,76,0.75,26,109,135,55,23,7,53,89,279,93,111,254,0.437,20,72,0.278,91,182,0.5,76,104,0.731,34,107,141,50,26,12,37,62,318,106
"New Orleans Pelicans","Memphis Grizzlies",25.8,1,3,-9,2.11,-6.89,98.6,107.3,103.4,0.292,0.247,0.502,0.454,10.8,16.3,0.225,0.513,14.2,78.7,0.25,160,348,0.46,37,108,0.343,123,240,0.513,87,105,0.829,37,170,207,101,30,17,65,84,444,111,153,360,0.425,21,89,0.236,132,271,0.487,81,105,0.771,33,137,170,97,43,21,49,89,408,102,27.5,1,3,-7.5,-4.67,-12.17,102.9,110.7,94.2,0.329,0.317,0.53,0.483,14,23.2,0.247,0.526,13.5,75.9,0.261,157,326,0.482,29,84,0.345,128,242,0.529,85,116,0.733,39,136,175,92,29,17,59,93,428,107,139,328,0.424,39,104,0.375,100,224,0.446,81,108,0.75,41,123,164,72,35,19,61,103,398,99.5
"Houston Rockets","New York Knicks",27.4,2,2,-1.25,-6.33,-7.58,113.9,115.2,95.1,0.319,0.417,0.582,0.549,13.5,22.6,0.23,0.531,11.7,75,0.241,155,336,0.461,47,126,0.373,108,210,0.514,81,97,0.835,41,120,161,73,33,11,50,83,438,109.5,154,326,0.472,50,136,0.368,104,190,0.547,75,104,0.721,35,123,158,96,26,8,58,91,433,108.3,27.7,1,2,-11.67,0.17,-11.5,98.3,110.2,97.7,0.297,0.281,0.511,0.474,13.2,20.1,0.209,0.513,11.3,75.6,0.175,123,269,0.457,30,73,0.411,93,196,0.474,47,66,0.712,32,107,139,69,22,12,38,68,323,107.7,107,249,0.43,22,70,0.314,85,179,0.475,52,74,0.703,27,99,126,59,16,19,43,67,288,96
"Portland Trail Blazers","Phoenix Suns",25.2,1,3,-5,3.8,-1.21,105.8,110.6,100.9,0.279,0.314,0.567,0.525,13.6,15.1,0.224,0.5,11.7,75.3,0.265,165,362,0.456,32,102,0.314,133,260,0.512,96,124,0.774,44,141,185,86,43,18,55,84,458,114.5,160,344,0.465,41,108,0.38,119,236,0.504,77,96,0.802,25,134,159,86,31,19,61,99,438,109.5,25.7,1,3,-11.5,3.25,-8.25,95.6,106.5,102.5,0.333,0.238,0.508,0.467,14.3,20.3,0.232,0.497,14.4,79.7,0.304,159,345,0.461,25,87,0.287,134,258,0.519,105,135,0.778,36,149,185,85,30,17,68,90,448,112,150,345,0.435,22,82,0.268,128,263,0.487,80,115,0.696,38,141,179,73,38,12,66,117,402,100.5
"Dallas Mavericks","Utah Jazz",29,1,2,-6,-6,-12,103.2,109.2,97,0.231,0.399,0.527,0.487,11.4,19.3,0.187,0.543,15.6,81.5,0.267,114,243,0.469,36,82,0.439,78,161,0.484,65,86,0.756,22,117,139,67,22,11,52,66,329,109.7,112,268,0.418,37,107,0.346,75,161,0.466,50,62,0.806,28,97,125,56,27,13,38,65,311,103.7,27.1,2,2,0,2.97,2.97,104.3,104.3,91.3,0.284,0.324,0.553,0.51,14.2,18.2,0.225,0.487,13,79.5,0.223,138,318,0.434,34,89,0.382,104,229,0.454,71,84,0.845,34,126,160,74,25,19,53,76,381,95.3,138,306,0.451,36,99,0.364,102,207,0.493,69,87,0.793,28,132,160,73,26,23,57,79,381,95.3
"Toronto Raptors","Washington Wizards",26.4,2,1,6,4.49,10.49,107.9,101.5,94.2,0.273,0.189,0.516,0.464,11.4,30.5,0.227,0.465,12.5,78.5,0.246,101,244,0.414,25,76,0.329,76,168,0.452,60,79,0.759,28,98,126,51,18,12,40,57,287,95.7,117,264,0.443,11,50,0.22,106,214,0.495,60,72,0.833,43,102,145,45,24,12,38,70,305,101.7,26.1,0,2,-12,-0.11,-12.11,99.4,111.2,96.5,0.239,0.25,0.508,0.464,14.2,21.3,0.194,0.548,15.2,70.6,0.188,83,176,0.472,27,57,0.474,56,119,0.471,33,44,0.75,25,74,99,52,22,9,35,45,226,113,78,180,0.433,11,45,0.244,67,135,0.496,35,43,0.814,20,60,80,44,22,8,33,43,202,101
