"Visitor","Home","visitor_age","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_mp","visitor_opp_fg_pct","visitor_opp_avg_dist","visitor_opp_fg2a_pct_fga","visitor_opp_pct_fga_00_03","visitor_opp_pct_fga_03_10","visitor_opp_pct_fga_10_16","visitor_opp_pct_fga_16_xx","visitor_opp_fg3a_pct_fga","visitor_opp_fg2_pct","visitor_opp_fg_pct_00_03","visitor_opp_fg_pct_03_10","visitor_opp_fg_pct_10_16","visitor_opp_fg_pct_16_xx","visitor_opp_fg3_pct","visitor_opp_fg2_pct_ast","visitor_opp_pct_fg2_dunk","visitor_opp_fg2_dunk","visitor_opp_pct_fg2_layup","visitor_opp_fg2_layup","visitor_opp_fg3_pct_ast","visitor_opp_pct_fg3a_corner","visitor_opp_fg3_pct_corner","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_fg_pct","visitor_avg_dist","visitor_fg2a_pct_fga","visitor_pct_fga_00_03","visitor_pct_fga_03_10","visitor_pct_fga_10_16","visitor_pct_fga_16_xx","visitor_fg3a_pct_fga","visitor_fg2_pct","visitor_fg_pct_00_03","visitor_fg_pct_03_10","visitor_fg_pct_10_16","visitor_fg_pct_16_xx","visitor_fg3_pct","visitor_fg2_pct_ast","visitor_pct_fg2_dunk","visitor_fg2_dunk","visitor_pct_fg2_layup","visitor_fg2_layup","visitor_fg3_pct_ast","visitor_pct_fg3a_corner","visitor_fg3_pct_corner","visitor_fg3a_heave","visitor_fg3_heave","visitor_fg","visitor_fga","visitor_fg3","visitor_fg3a","visitor_fg2","visitor_fg2a","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","home_age","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_mp","home_opp_fg_pct","home_opp_avg_dist","home_opp_fg2a_pct_fga","home_opp_pct_fga_00_03","home_opp_pct_fga_03_10","home_opp_pct_fga_10_16","home_opp_pct_fga_16_xx","home_opp_fg3a_pct_fga","home_opp_fg2_pct","home_opp_fg_pct_00_03","home_opp_fg_pct_03_10","home_opp_fg_pct_10_16","home_opp_fg_pct_16_xx","home_opp_fg3_pct","home_opp_fg2_pct_ast","home_opp_pct_fg2_dunk","home_opp_fg2_dunk","home_opp_pct_fg2_layup","home_opp_fg2_layup","home_opp_fg3_pct_ast","home_opp_pct_fg3a_corner","home_opp_fg3_pct_corner","home_opp_fg","home_opp_fga","home_opp_fg3","home_opp_fg3a","home_opp_fg2","home_opp_fg2a","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_fg_pct","home_avg_dist","home_fg2a_pct_fga","home_pct_fga_00_03","home_pct_fga_03_10","home_pct_fga_10_16","home_pct_fga_16_xx","home_fg3a_pct_fga","home_fg2_pct","home_fg_pct_00_03","home_fg_pct_03_10","home_fg_pct_10_16","home_fg_pct_16_xx","home_fg3_pct","home_fg2_pct_ast","home_pct_fg2_dunk","home_fg2_dunk","home_pct_fg2_layup","home_fg2_layup","home_fg3_pct_ast","home_pct_fg3a_corner","home_fg3_pct_corner","home_fg3a_heave","home_fg3_heave","home_fg","home_fga","home_fg3","home_fg3a","home_fg2","home_fg2a","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts"
"Los Angeles Lakers","Charlotte Hornets",26.1,9,21,-6.13,0.71,-5.42,105.6,111.8,98.8,0.272,0.293,0.537,0.496,14.3,26,0.21,0.535,12.8,75.3,0.204,7200,0.477,13.3,0.674,0.306,0.141,0.089,0.137,0.326,0.536,0.697,0.425,0.378,0.391,0.355,0.549,0.066,159,0.257,425,0.854,0.212,0.4,41.4,86.8,10,28.3,31.4,58.5,17.7,23.8,0.745,10.7,33.7,44.3,25.8,9.6,5.3,14.3,19.1,110.5,0.446,12.9,0.707,0.273,0.186,0.118,0.129,0.293,0.488,0.661,0.344,0.378,0.43,0.345,0.454,0.056,131,0.225,348,0.806,0.216,0.352,7,1,38.7,86.8,8.8,25.4,29.9,61.4,18.2,23.6,0.773,11.8,32.5,44.3,20.7,8.4,3.4,16.2,20.7,104.4,26.7,16,12,1.75,-0.39,1.36,106.1,104.3,96.8,0.3,0.324,0.536,0.493,11,19.8,0.226,0.5,11.7,80.2,0.152,6795,0.442,14,0.658,0.287,0.115,0.091,0.165,0.342,0.492,0.582,0.44,0.453,0.393,0.344,0.514,0.034,77,0.256,347,0.87,0.218,0.357,39.1,88.6,10.4,30.3,28.7,58.3,13.5,17.8,0.759,9.1,36.1,45.2,23.8,6.9,5.3,12.8,20.9,102.1,0.436,13.7,0.676,0.286,0.14,0.093,0.157,0.324,0.475,0.601,0.408,0.374,0.369,0.353,0.566,0.028,64,0.264,356,0.796,0.148,0.374,6,0,37.3,85.6,9.8,27.8,27.5,57.9,19.4,25.7,0.754,8.9,36.8,45.8,23.4,6.6,5,12,17,103.9
"Utah Jazz","Golden State Warriors",26.4,19,9,5.61,-0.44,5.16,110.1,104,91,0.297,0.342,0.573,0.534,13.1,20.8,0.23,0.472,11.2,77,0.193,6720,0.424,12.5,0.729,0.311,0.164,0.104,0.149,0.271,0.45,0.573,0.337,0.337,0.397,0.354,0.411,0.046,94,0.267,322,0.817,0.196,0.387,35.3,83.2,8,22.6,27.3,60.6,16,21,0.762,10.3,30.6,40.9,17.8,6.9,3.6,11.6,20.4,94.6,0.471,13.5,0.658,0.292,0.145,0.097,0.124,0.342,0.526,0.662,0.452,0.448,0.353,0.366,0.434,0.061,122,0.234,304,0.79,0.228,0.361,5,0,36.4,77.3,9.7,26.5,26.7,50.8,17.8,23,0.773,8,34.4,42.4,19.3,6.1,5.5,13.1,19.7,100.2,28.1,23,5,12.93,-1.28,11.65,116.9,104.1,100.1,0.276,0.36,0.601,0.566,13.2,22.9,0.216,0.48,12.8,74.8,0.209,6770,0.431,13.5,0.694,0.276,0.161,0.099,0.158,0.306,0.479,0.622,0.356,0.414,0.394,0.322,0.479,0.043,95,0.244,350,0.831,0.215,0.364,38.7,89.8,8.9,27.5,29.8,62.3,18.8,24.4,0.77,12,32.1,44.1,21.6,8.6,3.6,14.8,20.6,105,0.498,14.3,0.64,0.294,0.107,0.11,0.13,0.36,0.563,0.708,0.422,0.428,0.465,0.381,0.669,0.071,165,0.233,358,0.866,0.204,0.383,11,0,43.5,87.4,12,31.5,31.5,55.9,18.9,24.1,0.783,9.5,35.6,45.2,31.5,9.3,6.5,14.9,20,117.9
"San Antonio Spurs","Houston Rockets",29.8,19,8,6.3,-0.18,6.12,110.8,104.1,94,0.275,0.273,0.568,0.524,12.6,21.9,0.226,0.498,13.4,78.5,0.192,6480,0.446,13.2,0.7,0.286,0.157,0.103,0.154,0.3,0.492,0.595,0.403,0.443,0.421,0.341,0.511,0.049,94,0.251,304,0.833,0.259,0.329,36.8,82.4,8.4,24.7,28.3,57.6,15.8,20.4,0.773,9.1,32,41.1,21.6,7.5,4,14.1,19.6,97.8,0.469,13.6,0.727,0.245,0.16,0.114,0.209,0.273,0.495,0.633,0.406,0.393,0.456,0.4,0.54,0.048,90,0.208,265,0.888,0.267,0.46,6,0,38.3,81.7,8.9,22.3,29.4,59.4,18.5,22.4,0.823,9,33.4,42.4,23.8,8,5.6,13.2,18,104.1,27.2,20,8,7.29,-0.27,7.02,114.3,106.9,97.9,0.263,0.449,0.584,0.554,14.2,26.6,0.195,0.507,13.3,77,0.207,6795,0.451,13.3,0.688,0.274,0.179,0.091,0.142,0.312,0.496,0.677,0.385,0.383,0.359,0.354,0.464,0.042,96,0.248,381,0.858,0.24,0.412,39.1,86.7,9.6,27.1,29.6,59.6,17.9,22.9,0.782,10.1,31.5,41.6,21.9,8.6,5,14.9,19.3,105.8,0.468,14.3,0.551,0.312,0.143,0.041,0.056,0.449,0.537,0.671,0.357,0.38,0.38,0.383,0.542,0.072,155,0.264,391,0.775,0.206,0.387,7,0,40.6,86.8,14.9,38.9,25.7,47.9,17,22.9,0.742,11.4,33.8,45.1,25.5,8.1,4.6,16.1,20,113.1
"Denver Nuggets","Los Angeles Clippers",25.2,13,15,-1.64,-0.19,-1.83,108.6,110.2,98.1,0.301,0.296,0.542,0.502,14,28.8,0.225,0.517,11.1,79.5,0.223,6795,0.463,13.1,0.72,0.282,0.161,0.109,0.169,0.28,0.505,0.63,0.445,0.455,0.384,0.356,0.469,0.049,110,0.241,325,0.843,0.214,0.404,40.5,87.1,8.9,24.5,31.6,62.6,19.4,24.7,0.785,9.1,31.7,40.8,22.2,8.8,5.5,12.2,22.1,109.4,0.444,12.4,0.704,0.332,0.165,0.083,0.124,0.296,0.481,0.578,0.421,0.355,0.384,0.357,0.461,0.045,94,0.292,362,0.873,0.206,0.428,6,0,39.3,87.7,9.4,26,29.9,61.7,19.7,26.4,0.746,12.8,35.3,48.1,22.2,6.6,4.2,16.1,21,107.7,29.9,21,7,8.04,-0.61,7.42,112.9,104.7,96.3,0.329,0.316,0.57,0.527,11.7,23.1,0.25,0.495,13.4,77.9,0.217,6770,0.444,13.4,0.722,0.253,0.167,0.129,0.172,0.278,0.476,0.657,0.417,0.367,0.35,0.363,0.494,0.045,99,0.224,311,0.824,0.227,0.336,37.4,84.2,8.5,23.4,28.9,60.8,18.3,24,0.761,9.7,32.3,42,21.3,6.9,3.1,14.6,23.9,101.6,0.467,14.2,0.684,0.269,0.118,0.086,0.21,0.316,0.507,0.652,0.338,0.414,0.455,0.38,0.503,0.061,127,0.222,302,0.78,0.217,0.416,5,0,39.3,84,10.1,26.5,29.2,57.5,21,27.7,0.76,9.7,34.1,43.9,22.5,8.4,4.6,12.7,20.9,109.6
"Boston Celtics","Memphis Grizzlies",25.8,15,12,1.74,0.09,1.83,108.5,106.7,95.9,0.238,0.359,0.547,0.511,11.5,21.2,0.186,0.495,13.1,74.5,0.221,6480,0.443,13.4,0.689,0.278,0.168,0.098,0.144,0.311,0.49,0.607,0.431,0.393,0.395,0.338,0.506,0.039,81,0.248,315,0.842,0.215,0.359,37.4,84.4,8.9,26.3,28.5,58.1,18.7,24.6,0.759,11.1,34.9,46,21.9,7.4,5.4,14.4,19.1,102.3,0.447,13.9,0.641,0.292,0.141,0.073,0.134,0.359,0.499,0.61,0.367,0.426,0.441,0.354,0.555,0.027,59,0.278,369,0.861,0.212,0.463,8,0,38.5,86.1,11,30.9,27.6,55.2,16,20.5,0.783,9.4,32.6,42,24.7,7.5,4.6,12.4,20.3,104,28.2,14,15,-0.34,0.14,-0.21,101.4,101.8,93,0.285,0.295,0.509,0.461,12.8,24.1,0.223,0.488,14.5,79.8,0.258,7110,0.43,13.9,0.654,0.28,0.151,0.085,0.138,0.346,0.478,0.616,0.383,0.373,0.366,0.338,0.455,0.039,82,0.254,321,0.82,0.23,0.381,33.7,78.3,9.2,27.1,24.5,51.2,20.2,27.8,0.727,8.5,34.2,42.8,18.7,7.1,5.8,15.3,21.5,96.7,0.414,13.2,0.705,0.294,0.159,0.098,0.155,0.295,0.453,0.545,0.429,0.374,0.35,0.321,0.487,0.034,70,0.273,334,0.827,0.215,0.4,9,0,34.8,84.1,8,24.8,26.9,59.3,18.8,24,0.782,10.9,33.6,44.5,19.7,8.6,5.2,13.9,24.3,96.4
"Orlando Magic","Miami Heat",25.5,9,20,-5.14,-0.3,-5.44,102.1,107.5,94.8,0.251,0.302,0.513,0.48,11.9,21.7,0.179,0.503,11.7,76.7,0.189,6960,0.455,12.7,0.719,0.31,0.16,0.105,0.144,0.281,0.497,0.618,0.437,0.367,0.398,0.347,0.482,0.061,120,0.255,361,0.846,0.195,0.363,38.8,85.2,8.3,23.9,30.4,61.3,16.1,21.1,0.76,10.1,35.4,45.5,21.7,6.9,5.6,12.6,19,101.9,0.43,13.6,0.698,0.255,0.175,0.104,0.163,0.302,0.472,0.615,0.387,0.428,0.364,0.333,0.498,0.037,83,0.227,310,0.895,0.18,0.328,8,0,36.5,84.9,8.6,25.7,28,59.2,15.2,21.3,0.712,9.8,33.1,43,21.6,6.5,5.5,12.7,18.2,96.8,26.2,11,17,-3.07,0.98,-2.09,103,106.3,94.1,0.257,0.292,0.51,0.483,12.1,25.6,0.17,0.488,12.1,75.7,0.208,6745,0.443,12.6,0.738,0.289,0.164,0.125,0.159,0.262,0.479,0.572,0.431,0.444,0.389,0.34,0.444,0.038,81,0.255,316,0.877,0.268,0.341,37.6,84.8,7.6,22.3,30,62.6,17.6,22.1,0.797,10.6,34.3,44.9,20,6.5,5.8,13,18.8,100.4,0.435,12.6,0.708,0.31,0.17,0.087,0.142,0.292,0.478,0.604,0.376,0.373,0.388,0.329,0.442,0.053,113,0.261,338,0.926,0.309,0.37,5,0,37.3,85.7,8.2,25,29,60.7,14.6,22,0.662,11.8,33.1,44.9,20.5,6.9,5.5,13.2,20.1,97.3
"Cleveland Cavaliers","Milwaukee Bucks",29.1,18,7,7.72,0.25,7.97,114.7,106.7,96.2,0.295,0.395,0.58,0.543,12.6,23.7,0.223,0.499,12,74.5,0.159,6000,0.443,13.5,0.685,0.282,0.15,0.109,0.144,0.315,0.484,0.628,0.334,0.411,0.414,0.355,0.516,0.036,69,0.246,317,0.847,0.205,0.343,39.3,88.8,9.9,28,29.4,60.8,14.1,18.5,0.76,11.8,31.8,43.6,23.6,7,4.5,13.2,21.9,102.6,0.464,14.6,0.605,0.27,0.118,0.098,0.12,0.395,0.505,0.657,0.331,0.454,0.377,0.401,0.435,0.056,103,0.222,273,0.841,0.275,0.472,4,0,39.1,84.3,13.4,33.3,25.8,51,18.8,24.8,0.755,9.9,34.3,44.2,22.4,7.1,4.4,13.7,17.9,110.4,25.5,14,11,1.88,-0.47,1.41,107.2,105.3,96.4,0.254,0.29,0.549,0.513,13.1,23.1,0.195,0.487,13.2,75.8,0.223,6025,0.43,13.5,0.653,0.299,0.141,0.097,0.117,0.347,0.486,0.615,0.389,0.379,0.361,0.326,0.545,0.042,78,0.256,308,0.896,0.274,0.384,36.6,85.2,9.6,29.6,27,55.6,19,24.2,0.785,11,33.2,44.2,23.4,7.8,5.2,14.6,19.2,101.9,0.462,11.9,0.71,0.353,0.171,0.074,0.111,0.29,0.507,0.64,0.376,0.329,0.405,0.352,0.533,0.076,148,0.276,329,0.917,0.261,0.323,4,0,39.3,85,8.7,24.6,30.6,60.4,16.6,21.6,0.765,10,34.3,44.3,24.3,8.3,5.4,14.3,20.6,103.8
"Indiana Pacers","New York Knicks",27.2,13,16,-1.52,-0.78,-2.3,105.3,106.8,97.6,0.258,0.263,0.544,0.502,13,19.9,0.208,0.503,14,74.3,0.214,7060,0.445,14.1,0.654,0.268,0.139,0.089,0.157,0.346,0.5,0.614,0.454,0.433,0.384,0.342,0.494,0.045,100,0.252,335,0.878,0.262,0.373,38.6,86.7,10.2,30.1,28.4,56.6,18.6,23.6,0.785,11.7,35.3,46.9,22.9,8.2,5.5,15.9,19.9,105.8,0.454,13.3,0.736,0.248,0.186,0.111,0.192,0.264,0.487,0.62,0.462,0.371,0.407,0.36,0.486,0.028,62,0.241,344,0.856,0.23,0.404,8,1,39.1,86.1,8.1,22.7,31,63.5,17.9,22.2,0.806,8.8,33.7,42.5,21.9,8.7,5.8,14.3,19.8,104.3,27.4,11,16,-3.07,0.52,-2.55,107.5,110.7,96.7,0.242,0.285,0.532,0.494,12.4,26.2,0.189,0.505,12,73.7,0.235,6530,0.45,12.6,0.693,0.326,0.15,0.086,0.131,0.307,0.493,0.605,0.416,0.388,0.376,0.355,0.469,0.056,117,0.278,350,0.824,0.232,0.419,39,86.7,9.4,26.6,29.6,60,20.4,26.6,0.767,12,33.6,45.6,21.7,7.8,4.9,13.4,19.2,107.9,0.444,13.3,0.715,0.29,0.123,0.134,0.171,0.285,0.48,0.605,0.339,0.424,0.407,0.354,0.464,0.039,85,0.255,333,0.86,0.208,0.444,12,0,39.5,89,9,25.3,30.6,63.7,16.8,21.5,0.781,12,33.6,45.5,21.9,7.4,5.7,13.9,21.4,104.8
"New Orleans Pelicans","Philadelphia 76ers",25.5,10,19,-4.79,0.6,-4.19,102.3,107.1,98.1,0.266,0.294,0.526,0.487,12,18.1,0.202,0.506,12,77.6,0.177,7110,0.447,13.7,0.661,0.277,0.157,0.097,0.129,0.339,0.495,0.666,0.358,0.38,0.382,0.351,0.532,0.054,131,0.236,372,0.872,0.235,0.373,40.3,90.3,10.8,30.6,29.6,59.7,16,20.8,0.768,10.3,38.5,48.8,25.1,7.4,4.3,13.6,19.7,107.3,0.438,13.5,0.706,0.262,0.17,0.109,0.163,0.294,0.483,0.607,0.43,0.404,0.393,0.331,0.526,0.04,92,0.235,331,0.841,0.196,0.363,5,0,38.2,87.2,8.5,25.7,29.8,61.6,17.6,23.2,0.757,8.5,35.9,44.4,22.8,7.8,6.2,13.2,18.8,102.6,25.2,7,20,-7.44,0.09,-7.36,100.1,107.7,96.6,0.231,0.353,0.527,0.496,15.4,21.5,0.17,0.504,12.3,76.2,0.215,6580,0.452,13.2,0.696,0.291,0.155,0.108,0.142,0.304,0.5,0.637,0.385,0.43,0.398,0.342,0.468,0.045,97,0.256,346,0.848,0.187,0.406,39.1,86.4,9,26.3,30.1,60.1,18.6,24.8,0.749,10.7,34.7,45.4,21.7,9,5.3,13.7,19.4,105.7,0.433,13.9,0.647,0.27,0.146,0.109,0.121,0.353,0.476,0.641,0.344,0.383,0.354,0.356,0.527,0.031,65,0.245,333,0.861,0.169,0.375,4,0,36.6,84.6,10.6,29.9,26,54.7,14.4,19.6,0.735,9.5,34.2,43.7,22.9,7.7,5.7,17,21.6,98.3
"Portland Trail Blazers","Sacramento Kings",25.1,11,18,-3.52,0.86,-2.66,110.1,113.7,98.3,0.273,0.338,0.559,0.518,12.1,21.8,0.218,0.518,11.7,75.1,0.259,7035,0.462,13.1,0.703,0.286,0.165,0.104,0.15,0.297,0.496,0.581,0.458,0.42,0.423,0.381,0.446,0.047,105,0.244,321,0.804,0.188,0.369,40.2,87.2,9.9,25.9,30.4,61.3,22.6,28.7,0.788,10.7,34.9,45.6,21.5,7.8,5.4,13.3,19.6,113,0.456,13.7,0.662,0.28,0.152,0.092,0.139,0.338,0.502,0.609,0.417,0.448,0.416,0.366,0.464,0.041,96,0.244,345,0.796,0.217,0.366,6,0,39.8,87.3,10.8,29.5,29,57.8,19,23.9,0.796,9.7,32.4,42.1,22.1,6.9,4.9,13.5,22.7,109.4,28.8,11,16,-2.52,0.09,-2.43,105.5,108.2,95.1,0.289,0.29,0.534,0.491,13.1,22.8,0.222,0.518,14.2,75.9,0.237,6555,0.452,14.2,0.647,0.241,0.171,0.083,0.154,0.353,0.495,0.631,0.454,0.401,0.378,0.374,0.527,0.047,90,0.215,274,0.838,0.255,0.437,36.9,81.7,10.8,28.9,26.1,52.8,19.4,25.1,0.773,10.2,33.6,43.9,22.8,8,6,15.4,21.5,104,0.442,12.8,0.71,0.287,0.191,0.081,0.149,0.29,0.484,0.639,0.403,0.373,0.353,0.34,0.503,0.052,106,0.272,358,0.866,0.252,0.343,8,0,37.3,84.3,8.3,24.4,29,59.9,18.7,24.3,0.767,9.9,32.2,42.1,21.8,8.3,4.3,14.3,20.6,101.5
