"Visitor","Home","visitor_age","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_mp","visitor_opp_fg_pct","visitor_opp_avg_dist","visitor_opp_fg2a_pct_fga","visitor_opp_pct_fga_00_03","visitor_opp_pct_fga_03_10","visitor_opp_pct_fga_10_16","visitor_opp_pct_fga_16_xx","visitor_opp_fg3a_pct_fga","visitor_opp_fg2_pct","visitor_opp_fg_pct_00_03","visitor_opp_fg_pct_03_10","visitor_opp_fg_pct_10_16","visitor_opp_fg_pct_16_xx","visitor_opp_fg3_pct","visitor_opp_fg2_pct_ast","visitor_opp_pct_fg2_dunk","visitor_opp_fg2_dunk","visitor_opp_pct_fg2_layup","visitor_opp_fg2_layup","visitor_opp_fg3_pct_ast","visitor_opp_pct_fg3a_corner","visitor_opp_fg3_pct_corner","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_fg_pct","visitor_avg_dist","visitor_fg2a_pct_fga","visitor_pct_fga_00_03","visitor_pct_fga_03_10","visitor_pct_fga_10_16","visitor_pct_fga_16_xx","visitor_fg3a_pct_fga","visitor_fg2_pct","visitor_fg_pct_00_03","visitor_fg_pct_03_10","visitor_fg_pct_10_16","visitor_fg_pct_16_xx","visitor_fg3_pct","visitor_fg2_pct_ast","visitor_pct_fg2_dunk","visitor_fg2_dunk","visitor_pct_fg2_layup","visitor_fg2_layup","visitor_fg3_pct_ast","visitor_pct_fg3a_corner","visitor_fg3_pct_corner","visitor_fg3a_heave","visitor_fg3_heave","visitor_fg","visitor_fga","visitor_fg3","visitor_fg3a","visitor_fg2","visitor_fg2a","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","visitor_W_PCT","visitor_HOME_RECORD","visitor_ROAD_RECORD","visitor_L10","visitor_CurrentStreak","home_age","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_mp","home_opp_fg_pct","home_opp_avg_dist","home_opp_fg2a_pct_fga","home_opp_pct_fga_00_03","home_opp_pct_fga_03_10","home_opp_pct_fga_10_16","home_opp_pct_fga_16_xx","home_opp_fg3a_pct_fga","home_opp_fg2_pct","home_opp_fg_pct_00_03","home_opp_fg_pct_03_10","home_opp_fg_pct_10_16","home_opp_fg_pct_16_xx","home_opp_fg3_pct","home_opp_fg2_pct_ast","home_opp_pct_fg2_dunk","home_opp_fg2_dunk","home_opp_pct_fg2_layup","home_opp_fg2_layup","home_opp_fg3_pct_ast","home_opp_pct_fg3a_corner","home_opp_fg3_pct_corner","home_opp_fg","home_opp_fga","home_opp_fg3","home_opp_fg3a","home_opp_fg2","home_opp_fg2a","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_fg_pct","home_avg_dist","home_fg2a_pct_fga","home_pct_fga_00_03","home_pct_fga_03_10","home_pct_fga_10_16","home_pct_fga_16_xx","home_fg3a_pct_fga","home_fg2_pct","home_fg_pct_00_03","home_fg_pct_03_10","home_fg_pct_10_16","home_fg_pct_16_xx","home_fg3_pct","home_fg2_pct_ast","home_pct_fg2_dunk","home_fg2_dunk","home_pct_fg2_layup","home_fg2_layup","home_fg3_pct_ast","home_pct_fg3a_corner","home_fg3_pct_corner","home_fg3a_heave","home_fg3_heave","home_fg","home_fga","home_fg3","home_fg3a","home_fg2","home_fg2a","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts","home_W_PCT","home_HOME_RECORD","home_ROAD_RECORD","home_L10","home_CurrentStreak"
"Denver Nuggets","Atlanta Hawks",25.3,24,27,-1.1,0.11,-0.98,111.6,112.7,98.1,0.297,0.308,0.558,0.518,13.5,28.7,0.227,0.53,10.9,79,0.207,12315,0.476,13.2,0.712,0.287,0.149,0.106,0.171,0.288,0.517,0.637,0.477,0.447,0.395,0.374,0.498,0.05,207,0.244,633,0.839,0.213,0.451,41.8,87.9,9.5,25.3,32.4,62.6,18.2,23.1,0.787,9.1,31,40,24.1,8.4,5.3,12,21.2,111.3,0.461,12.5,0.692,0.33,0.163,0.081,0.119,0.308,0.504,0.61,0.434,0.378,0.392,0.365,0.518,0.049,196,0.287,706,0.874,0.196,0.372,11,0,40.3,87.3,9.8,26.9,30.5,60.4,19.8,25.9,0.763,12.5,34.1,46.6,24.4,6.8,4.2,15.5,19.9,110.2,0.451,0.538461538461538,0.36,0.6,1,28.2,25,27,-0.5,-0.53,-1.03,105.5,106,97.2,0.279,0.305,0.542,0.508,13.9,23.7,0.203,0.509,13.8,76.1,0.177,12630,0.45,14,0.669,0.263,0.132,0.112,0.161,0.331,0.496,0.594,0.429,0.423,0.439,0.356,0.485,0.044,176,0.222,535,0.823,0.238,0.408,39.2,87.3,10.3,28.9,28.9,58.3,15.5,20.1,0.77,10.6,33.2,43.8,22.5,8.9,5.2,15.4,21.1,104.3,0.455,13,0.695,0.326,0.118,0.096,0.156,0.305,0.504,0.626,0.349,0.403,0.424,0.344,0.539,0.054,221,0.282,698,0.89,0.229,0.423,6,0,38.8,85.2,8.9,26,29.8,59.2,17.3,23.8,0.727,10.3,33.6,43.9,24,8.5,4.9,15.4,17.9,103.8,0.577,0.576923076923077,0.576923076923077,0.6,-1
"Washington Wizards","Brooklyn Nets",25.9,29,22,2.16,-0.63,1.53,110.2,108,96.9,0.239,0.275,0.562,0.528,13,24,0.188,0.518,14.2,75.7,0.211,12340,0.459,13.6,0.675,0.287,0.145,0.098,0.146,0.325,0.506,0.637,0.394,0.453,0.397,0.363,0.505,0.049,196,0.245,604,0.829,0.218,0.392,38.8,84.5,10,27.5,28.8,57,17.9,23.9,0.747,10.6,32,42.5,22.8,7.5,4.3,15.7,19.5,105.4,0.477,13.1,0.725,0.293,0.141,0.112,0.18,0.275,0.517,0.637,0.433,0.435,0.44,0.369,0.494,0.043,172,0.258,675,0.85,0.266,0.328,7,0,41.3,86.6,8.8,23.8,32.5,62.8,16.3,20.6,0.787,10.1,32.9,43,23.5,8.6,4.1,14.3,21.3,107.6,0.588,0.758620689655172,0.363636363636364,0.8,-1,26.3,13,39,-8.92,0.61,-8.32,103,111.7,101.7,0.273,0.379,0.548,0.505,15,19.1,0.218,0.518,11.3,75.7,0.205,12530,0.462,13.2,0.695,0.287,0.154,0.102,0.152,0.305,0.505,0.617,0.425,0.394,0.446,0.365,0.47,0.051,229,0.255,662,0.786,0.227,0.386,42.5,92,10.3,28.1,32.3,63.9,18.8,24.5,0.769,11.3,36.4,47.8,23.2,9.8,6.1,13.2,19.9,114.1,0.441,13.2,0.621,0.308,0.177,0.069,0.067,0.379,0.503,0.6,0.44,0.379,0.35,0.34,0.44,0.033,134,0.301,745,0.85,0.228,0.349,10,0,37.8,85.6,11,32.4,26.7,53.2,18.7,23.4,0.797,8.6,35.1,43.8,21.1,7.1,4.7,17,20.9,105.2,0.173,0.259259259259259,0.08,0,-10
"Los Angeles Lakers","Detroit Pistons",25.9,17,37,-5.85,0.5,-5.35,106.5,112.5,98,0.267,0.303,0.537,0.498,13.4,25.7,0.205,0.535,12.5,75.7,0.208,12960,0.476,13.3,0.681,0.294,0.147,0.094,0.145,0.319,0.528,0.674,0.436,0.401,0.405,0.366,0.524,0.062,262,0.243,693,0.855,0.212,0.394,41.1,86.3,10.1,27.6,31,58.8,18,23.7,0.757,10.5,34,44.5,24.9,8.6,5.3,13.8,18.8,110.3,0.444,12.9,0.697,0.282,0.183,0.109,0.123,0.303,0.485,0.629,0.382,0.384,0.395,0.352,0.452,0.053,220,0.235,621,0.786,0.217,0.385,9,1,38.7,87,9.3,26.3,29.4,60.7,17.8,23.3,0.766,11.8,32.5,44.3,20.6,7.7,3.9,15.1,20.6,104.4,0.333,0.48,0.206896551724138,0.3,1,25.4,25,27,-0.54,0.06,-0.48,106.6,107.2,94.7,0.218,0.263,0.53,0.5,11.3,23.2,0.161,0.513,12.1,80.4,0.206,12530,0.459,13.3,0.704,0.264,0.168,0.115,0.157,0.296,0.499,0.642,0.394,0.438,0.418,0.363,0.533,0.036,139,0.232,598,0.851,0.224,0.358,38,82.8,8.9,24.5,29.1,58.3,17,21.9,0.777,8.3,34,42.3,23.1,7,4.3,12.7,17.2,101.9,0.456,13,0.737,0.247,0.199,0.136,0.155,0.263,0.497,0.65,0.4,0.457,0.41,0.339,0.457,0.042,175,0.21,565,0.844,0.211,0.393,21,1,39.7,87.2,7.8,22.9,31.9,64.3,14.1,19,0.739,10.3,34.2,44.4,21.2,7.1,3.8,12.2,18.2,101.3,0.462,0.6,0.333333333333333,0.6,1
"Chicago Bulls","Golden State Warriors",27.5,27,25,0.52,-0.59,-0.07,107.7,107.1,94.9,0.286,0.233,0.526,0.479,12.1,28.6,0.228,0.509,12.3,76.8,0.163,12530,0.457,12.7,0.714,0.307,0.158,0.097,0.152,0.286,0.495,0.608,0.403,0.4,0.421,0.362,0.531,0.048,203,0.28,683,0.852,0.241,0.411,39.5,86.5,8.9,24.7,30.6,61.8,14.1,18.6,0.761,10.3,32.4,42.7,23.9,7.3,4.9,13.2,19.5,102.1,0.441,12.5,0.767,0.28,0.175,0.128,0.184,0.233,0.479,0.587,0.463,0.398,0.384,0.319,0.49,0.038,156,0.259,633,0.857,0.266,0.405,6,0,38.2,86.6,6.4,20.2,31.8,66.4,19.7,24.7,0.798,12.9,34,47,21.1,7.8,5.1,13.4,17.5,102.6,0.5,0.576923076923077,0.423076923076923,0.5,1,28.1,43,8,12.84,-0.39,12.45,116.5,103.8,100.6,0.267,0.36,0.604,0.569,13.4,22.2,0.211,0.487,13.1,76.3,0.199,12340,0.436,13.6,0.682,0.279,0.157,0.1,0.146,0.318,0.489,0.628,0.381,0.394,0.407,0.322,0.492,0.047,197,0.242,635,0.832,0.205,0.355,39.1,89.7,9.2,28.5,29.9,61.2,17.9,23.4,0.764,11.2,31.9,43.1,22.4,8.8,3.8,15,20.1,105.3,0.499,14.2,0.64,0.292,0.107,0.112,0.129,0.36,0.563,0.696,0.438,0.453,0.459,0.387,0.663,0.071,302,0.231,630,0.828,0.204,0.387,21,1,43.7,87.6,12.2,31.6,31.5,56,18.5,23.4,0.791,9.1,36,45.1,31.1,9.4,6.5,15.1,19.3,118.2,0.843,0.88,0.807692307692308,0.8,-1
"Cleveland Cavaliers","Indiana Pacers",29,33,17,5.14,-0.38,4.76,113.3,108,96.8,0.29,0.393,0.572,0.536,12.7,23.7,0.217,0.512,12.3,75.8,0.171,12100,0.454,13.3,0.678,0.294,0.149,0.103,0.132,0.322,0.5,0.634,0.377,0.41,0.41,0.359,0.529,0.046,176,0.252,644,0.824,0.244,0.358,40.1,88.2,10.2,28.4,29.9,59.8,15.1,19.6,0.77,10.9,32.9,43.8,24.2,7.6,4.9,13.6,21.5,105.4,0.461,14.3,0.607,0.288,0.115,0.097,0.107,0.393,0.509,0.652,0.326,0.417,0.406,0.386,0.437,0.054,214,0.24,594,0.823,0.296,0.422,5,0,39.5,85.7,13,33.7,26.5,52,18.6,24.9,0.748,10.2,34.2,44.4,22.3,7.3,4,14.1,18.1,110.6,0.7,0.814814814814815,0.565217391304348,0.6,3,27.1,26,25,0.2,-1.22,-1.02,107.4,107.2,97.3,0.272,0.267,0.556,0.512,12.9,19.7,0.22,0.505,14.1,74.8,0.221,12365,0.446,14.1,0.659,0.264,0.146,0.096,0.154,0.341,0.498,0.623,0.432,0.439,0.384,0.345,0.496,0.048,190,0.248,598,0.873,0.256,0.374,38.2,85.6,10.1,29.2,28.1,56.4,18.9,23.9,0.791,11.2,34.3,45.5,22.7,8.2,5.3,15.7,20.3,105.3,0.463,13.4,0.733,0.236,0.192,0.11,0.194,0.267,0.499,0.619,0.476,0.417,0.422,0.366,0.497,0.034,133,0.233,585,0.841,0.248,0.402,12,1,39.3,84.8,8.3,22.6,31,62.1,18.7,23,0.812,8.4,33.2,41.6,22.4,8.8,5.4,14.1,19.4,105.5,0.569,0.769230769230769,0.36,0.7,7
"Phoenix Suns","Memphis Grizzlies",25.8,16,36,-6.02,0.76,-5.26,106.3,112.3,99.3,0.298,0.267,0.539,0.493,13.6,26.2,0.234,0.531,13.6,76.9,0.261,12605,0.473,13.2,0.702,0.299,0.143,0.108,0.152,0.298,0.51,0.646,0.386,0.434,0.417,0.387,0.467,0.049,200,0.258,671,0.822,0.212,0.461,40.3,85.2,9.8,25.4,30.5,59.8,22.2,28.2,0.788,9.8,33.4,43.2,22.3,8,5.7,15.3,22,112.6,0.447,12.6,0.733,0.312,0.148,0.112,0.161,0.267,0.484,0.617,0.393,0.383,0.381,0.343,0.388,0.053,213,0.265,678,0.791,0.3,0.33,14,0,39.1,87.4,8,23.3,31,64.1,20.5,26,0.786,11.9,32.5,44.4,18.4,8.3,4.3,15.6,25,106.6,0.308,0.32,0.296296296296296,0.3,-2,29.2,29,25,1.22,0.6,1.82,106.8,105.5,92.7,0.284,0.309,0.531,0.486,11.9,24.5,0.224,0.496,13.9,77.8,0.269,13160,0.435,14,0.645,0.276,0.149,0.086,0.135,0.355,0.486,0.615,0.413,0.378,0.373,0.342,0.473,0.041,161,0.25,587,0.828,0.233,0.382,34.3,78.8,9.6,27.9,24.7,50.8,21.2,28.4,0.745,9.3,33.4,42.6,19.6,6.7,5.1,14.8,21.1,99.3,0.432,13.4,0.691,0.288,0.161,0.095,0.148,0.309,0.467,0.57,0.423,0.392,0.362,0.352,0.482,0.03,119,0.269,647,0.826,0.191,0.429,19,0,36.3,84.1,9.1,25.9,27.2,58.1,18.8,23.9,0.786,10.9,32.5,43.4,20.7,8.5,4.6,12.8,23.6,100.5,0.593,0.653846153846154,0.535714285714286,0.7,2
"Miami Heat","Milwaukee Bucks",26.4,23,29,-1.44,0.15,-1.29,105.1,106.6,95.2,0.249,0.302,0.531,0.505,12.4,23,0.169,0.496,12.3,76.8,0.209,12555,0.449,12.7,0.724,0.295,0.163,0.12,0.146,0.276,0.489,0.583,0.442,0.456,0.38,0.343,0.451,0.041,165,0.259,601,0.842,0.245,0.361,38.2,85,8.1,23.5,30.1,61.5,17.8,22.8,0.782,10.1,34.2,44.3,20.4,6.8,5.1,13.3,18.7,102.2,0.45,13,0.698,0.293,0.164,0.093,0.148,0.302,0.49,0.614,0.406,0.384,0.402,0.36,0.447,0.052,212,0.242,582,0.894,0.317,0.402,10,0,38.5,85.4,9.3,25.8,29.2,59.7,14.5,21.3,0.681,10.2,33.4,43.7,21.4,7,5.5,13.4,20.5,100.7,0.423,0.5,0.346153846153846,1,11,25.5,25,25,0.16,-0.14,0.02,109.4,109.2,95.6,0.278,0.277,0.563,0.526,13.3,23,0.211,0.513,13.3,75.2,0.219,12075,0.45,13.3,0.649,0.317,0.134,0.089,0.109,0.351,0.499,0.621,0.407,0.358,0.369,0.359,0.552,0.053,200,0.267,632,0.876,0.307,0.404,38,84.5,10.7,29.7,27.3,54.8,18.5,23.8,0.776,10.8,32,42.8,24.4,7.6,5.2,14.6,19.6,105.1,0.475,11.5,0.723,0.37,0.172,0.073,0.108,0.277,0.516,0.64,0.397,0.362,0.386,0.368,0.541,0.079,301,0.291,683,0.918,0.278,0.386,8,0,39.6,83.4,8.5,23.1,31.1,60.3,17.6,23.1,0.759,9.6,32.6,42.2,24.6,8.3,5.7,14.3,20.3,105.3,0.44,0.52,0.36,0.2,1
"Toronto Raptors","Minnesota Timberwolves",26.1,34,19,4.64,-0.33,4.32,113.8,109,95.4,0.298,0.292,0.564,0.518,11.1,25.1,0.24,0.514,14,75.2,0.224,12795,0.454,13.3,0.67,0.279,0.179,0.09,0.122,0.33,0.499,0.655,0.39,0.384,0.39,0.363,0.495,0.053,219,0.252,623,0.838,0.235,0.353,37.9,83.5,10,27.6,27.9,55.9,18.7,24,0.778,10.5,32.6,43.2,22.2,6.4,4.7,15.3,20.5,104.6,0.464,13.2,0.708,0.258,0.184,0.118,0.149,0.292,0.502,0.624,0.451,0.433,0.409,0.37,0.379,0.046,191,0.229,574,0.776,0.25,0.378,10,1,39.7,85.6,9.2,25,30.5,60.6,20.6,25.5,0.808,10.9,32.1,43,18.7,8.7,5,12.1,21,109.2,0.604,0.666666666666667,0.538461538461538,0.4,2,23.7,24,28,-1.37,0.01,-1.36,109.5,111,94.6,0.282,0.263,0.551,0.509,13.3,27,0.222,0.528,13.1,76.4,0.219,12555,0.47,13,0.682,0.315,0.139,0.092,0.136,0.318,0.521,0.649,0.427,0.399,0.405,0.362,0.484,0.059,239,0.266,656,0.861,0.208,0.408,38.9,82.8,9.5,26.3,29.4,56.5,18.2,23.5,0.773,9.6,30.9,40.6,22.4,7.8,5.1,14.1,20.7,105.6,0.462,12.7,0.737,0.296,0.164,0.094,0.183,0.263,0.5,0.63,0.431,0.397,0.405,0.354,0.534,0.056,229,0.244,597,0.86,0.255,0.412,5,0,38.8,84.1,7.8,22.2,31,61.9,18.7,23.8,0.785,11.4,31.2,42.6,23.3,7.6,4.7,14.5,20.7,104.2,0.365,0.428571428571429,0.291666666666667,0.5,-4
"Utah Jazz","New Orleans Pelicans",26.6,34,18,4.5,-0.33,4.17,109.2,104.3,91.3,0.302,0.334,0.565,0.526,13.3,22.2,0.227,0.485,11.8,78.3,0.191,12505,0.435,12.7,0.723,0.298,0.167,0.112,0.147,0.277,0.464,0.586,0.371,0.365,0.399,0.358,0.408,0.048,176,0.253,571,0.788,0.194,0.396,35.8,82.2,8.2,22.8,27.6,59.4,15.7,20.6,0.763,9.4,31.1,40.5,17.7,7,3.6,12.2,20.5,95.4,0.465,13.4,0.666,0.286,0.148,0.103,0.129,0.334,0.516,0.659,0.426,0.449,0.361,0.364,0.443,0.063,234,0.227,541,0.795,0.263,0.364,9,1,36.3,78.1,9.5,26.1,26.8,52,17.8,23.6,0.752,8.8,34,42.8,19.4,6.6,5,13.6,19.1,99.9,0.635,0.678571428571429,0.583333333333333,0.7,3,25.5,21,31,-3.12,0.24,-2.87,103.9,107,98.1,0.249,0.303,0.531,0.497,11.6,18.6,0.185,0.506,12.1,77.6,0.176,12655,0.447,13.6,0.667,0.283,0.159,0.096,0.13,0.333,0.494,0.648,0.373,0.368,0.394,0.353,0.504,0.052,226,0.242,655,0.834,0.221,0.356,40.1,89.6,10.5,29.8,29.5,59.8,15.8,20.4,0.775,10.3,38.7,49,23.7,7.4,4.8,13.6,19.1,106.4,0.443,13.3,0.697,0.281,0.167,0.1,0.147,0.303,0.48,0.607,0.402,0.395,0.385,0.356,0.509,0.044,187,0.248,620,0.821,0.204,0.387,5,0,38.8,87.7,9.5,26.6,29.3,61.1,16.2,21.8,0.744,8.8,35.7,44.5,22.7,7.6,6.1,12.7,18.3,103.3,0.385,0.5,0.25,0.4,1
"Los Angeles Clippers","New York Knicks",30.1,32,20,3.33,-0.15,3.18,111.8,108.4,96.4,0.308,0.326,0.569,0.53,12.1,22.2,0.231,0.502,12.1,76.5,0.219,12530,0.45,13.5,0.7,0.263,0.155,0.122,0.16,0.3,0.492,0.653,0.437,0.392,0.358,0.35,0.512,0.049,201,0.23,604,0.835,0.228,0.384,38.6,85.8,9,25.7,29.6,60.1,18.8,24.3,0.774,10.4,32.9,43.3,22.7,7.3,3.3,13.3,22.3,105,0.468,14.3,0.674,0.273,0.12,0.082,0.199,0.326,0.512,0.647,0.389,0.421,0.436,0.379,0.496,0.064,250,0.226,559,0.786,0.204,0.407,11,0,39.3,83.9,10.3,27.3,28.9,56.6,19.4,25.8,0.75,9.4,34,43.4,22.5,7.6,4.7,13.1,20.4,108.3,0.596,0.68,0.518518518518518,0.3,-3,27.5,21,32,-3,-0.32,-3.32,107.9,110.9,96.8,0.242,0.285,0.532,0.494,12.5,27.5,0.188,0.507,11.6,74.7,0.221,12895,0.452,12.8,0.685,0.325,0.146,0.085,0.129,0.315,0.5,0.6,0.422,0.398,0.403,0.348,0.475,0.051,214,0.282,714,0.838,0.226,0.404,39.8,88.2,9.7,27.8,30.2,60.4,19.5,24.9,0.783,11.5,33.3,44.8,22.4,7.6,4.7,13,18.6,108.8,0.444,13.3,0.715,0.293,0.121,0.13,0.17,0.285,0.479,0.591,0.364,0.428,0.404,0.356,0.457,0.041,179,0.257,652,0.829,0.224,0.449,19,0,39.9,89.9,9.1,25.7,30.8,64.3,16.9,21.8,0.776,12.6,33.8,46.5,21.6,7.2,5.8,14.2,20.9,105.8,0.415,0.5,0.333333333333333,0.3,-2
