Visitor,Home,Prediction,Result,Prediction_Outcome
Atlanta Hawks,Cleveland Cavaliers,,,
San Antonio Spurs,Dallas Mavericks,,,
New Orleans Pelicans,Denver Nuggets,,,
Detroit Pistons,Houston Rockets,,,
Sacramento Kings,Los Angeles Lakers,,,
New York Knicks,Memphis Grizzlies,,,
Oklahoma City Thunder,Phoenix Suns,,,
Miami Heat,Toronto Raptors,,,
Minnesota Timberwolves,Utah Jazz,,,
Atlanta Hawks,Cleveland Cavaliers,,,
San Antonio Spurs,Dallas Mavericks,,,
New Orleans Pelicans,Denver Nuggets,,,
Detroit Pistons,Houston Rockets,,,
Sacramento Kings,Los Angeles Lakers,,,
New York Knicks,Memphis Grizzlies,,,
Oklahoma City Thunder,Phoenix Suns,,,
Miami Heat,Toronto Raptors,,,
Minnesota Timberwolves,Utah Jazz,,,
