"Visitor","Home","visitor_age","visitor_wins","visitor_losses","visitor_wins_pyth","visitor_losses_pyth","visitor_mov","visitor_sos","visitor_srs","visitor_off_rtg","visitor_def_rtg","visitor_pace","visitor_fta_per_fga_pct","visitor_fg3a_per_fga_pct","visitor_ts_pct","visitor_efg_pct","visitor_tov_pct","visitor_orb_pct","visitor_ft_rate","visitor_opp_efg_pct","visitor_opp_tov_pct","visitor_drb_pct","visitor_opp_ft_rate","visitor_opp_mp","visitor_opp_fg_pct","visitor_opp_avg_dist","visitor_opp_fg2a_pct_fga","visitor_opp_pct_fga_00_03","visitor_opp_pct_fga_03_10","visitor_opp_pct_fga_10_16","visitor_opp_pct_fga_16_xx","visitor_opp_fg3a_pct_fga","visitor_opp_fg2_pct","visitor_opp_fg_pct_00_03","visitor_opp_fg_pct_03_10","visitor_opp_fg_pct_10_16","visitor_opp_fg_pct_16_xx","visitor_opp_fg3_pct","visitor_opp_fg2_pct_ast","visitor_opp_pct_fg2_dunk","visitor_opp_fg2_dunk","visitor_opp_pct_fg2_layup","visitor_opp_fg2_layup","visitor_opp_fg3_pct_ast","visitor_opp_pct_fg3a_corner","visitor_opp_fg3_pct_corner","visitor_opp_fg","visitor_opp_fga","visitor_opp_fg3","visitor_opp_fg3a","visitor_opp_fg2","visitor_opp_fg2a","visitor_opp_ft","visitor_opp_fta","visitor_opp_ft_pct","visitor_opp_orb","visitor_opp_drb","visitor_opp_trb","visitor_opp_ast","visitor_opp_stl","visitor_opp_blk","visitor_opp_tov","visitor_opp_pf","visitor_opp_pts","visitor_fg_pct","visitor_avg_dist","visitor_fg2a_pct_fga","visitor_pct_fga_00_03","visitor_pct_fga_03_10","visitor_pct_fga_10_16","visitor_pct_fga_16_xx","visitor_fg3a_pct_fga","visitor_fg2_pct","visitor_fg_pct_00_03","visitor_fg_pct_03_10","visitor_fg_pct_10_16","visitor_fg_pct_16_xx","visitor_fg3_pct","visitor_fg2_pct_ast","visitor_pct_fg2_dunk","visitor_fg2_dunk","visitor_pct_fg2_layup","visitor_fg2_layup","visitor_fg3_pct_ast","visitor_pct_fg3a_corner","visitor_fg3_pct_corner","visitor_fg3a_heave","visitor_fg3_heave","visitor_fg","visitor_fga","visitor_fg3","visitor_fg3a","visitor_fg2","visitor_fg2a","visitor_ft","visitor_fta","visitor_ft_pct","visitor_orb","visitor_drb","visitor_trb","visitor_ast","visitor_stl","visitor_blk","visitor_tov","visitor_pf","visitor_pts","visitor_W_PCT","visitor_HOME_RECORD","visitor_ROAD_RECORD","visitor_L10","visitor_CurrentStreak","home_age","home_wins","home_losses","home_wins_pyth","home_losses_pyth","home_mov","home_sos","home_srs","home_off_rtg","home_def_rtg","home_pace","home_fta_per_fga_pct","home_fg3a_per_fga_pct","home_ts_pct","home_efg_pct","home_tov_pct","home_orb_pct","home_ft_rate","home_opp_efg_pct","home_opp_tov_pct","home_drb_pct","home_opp_ft_rate","home_opp_mp","home_opp_fg_pct","home_opp_avg_dist","home_opp_fg2a_pct_fga","home_opp_pct_fga_00_03","home_opp_pct_fga_03_10","home_opp_pct_fga_10_16","home_opp_pct_fga_16_xx","home_opp_fg3a_pct_fga","home_opp_fg2_pct","home_opp_fg_pct_00_03","home_opp_fg_pct_03_10","home_opp_fg_pct_10_16","home_opp_fg_pct_16_xx","home_opp_fg3_pct","home_opp_fg2_pct_ast","home_opp_pct_fg2_dunk","home_opp_fg2_dunk","home_opp_pct_fg2_layup","home_opp_fg2_layup","home_opp_fg3_pct_ast","home_opp_pct_fg3a_corner","home_opp_fg3_pct_corner","home_opp_fg","home_opp_fga","home_opp_fg3","home_opp_fg3a","home_opp_fg2","home_opp_fg2a","home_opp_ft","home_opp_fta","home_opp_ft_pct","home_opp_orb","home_opp_drb","home_opp_trb","home_opp_ast","home_opp_stl","home_opp_blk","home_opp_tov","home_opp_pf","home_opp_pts","home_fg_pct","home_avg_dist","home_fg2a_pct_fga","home_pct_fga_00_03","home_pct_fga_03_10","home_pct_fga_10_16","home_pct_fga_16_xx","home_fg3a_pct_fga","home_fg2_pct","home_fg_pct_00_03","home_fg_pct_03_10","home_fg_pct_10_16","home_fg_pct_16_xx","home_fg3_pct","home_fg2_pct_ast","home_pct_fg2_dunk","home_fg2_dunk","home_pct_fg2_layup","home_fg2_layup","home_fg3_pct_ast","home_pct_fg3a_corner","home_fg3_pct_corner","home_fg3a_heave","home_fg3_heave","home_fg","home_fga","home_fg3","home_fg3a","home_fg2","home_fg2a","home_ft","home_fta","home_ft_pct","home_orb","home_drb","home_trb","home_ast","home_stl","home_blk","home_tov","home_pf","home_pts","home_W_PCT","home_HOME_RECORD","home_ROAD_RECORD","home_L10","home_CurrentStreak"
"Milwaukee Bucks","Boston Celtics",25.6,42,39,41,40,0.04,-0.3,-0.26,109.2,109.2,94.5,0.275,0.29,0.565,0.528,13.2,21.5,0.211,0.518,13.7,75.4,0.215,19540,0.458,13,0.662,0.322,0.138,0.092,0.11,0.338,0.511,0.623,0.427,0.394,0.391,0.354,0.549,0.054,328,0.273,1027,0.864,0.289,0.392,38,82.9,9.9,28,28,54.8,17.9,23.1,0.772,10.3,32.1,42.4,24,7.4,4.6,14.8,19.3,103.7,0.474,11.7,0.71,0.352,0.173,0.077,0.107,0.29,0.517,0.643,0.401,0.378,0.39,0.371,0.533,0.073,444,0.283,1062,0.926,0.278,0.389,12,0,38.8,81.8,8.8,23.8,30,58.1,17.3,22.5,0.768,8.8,31.5,40.3,24.2,8.1,5.3,13.9,20.2,103.7,0.512,0.560975609756098,0.463414634146341,0.5,-1,25.9,52,29,47,34,2.44,-0.38,2.07,111.1,108.6,96.8,0.273,0.393,0.567,0.525,12.3,21.1,0.22,0.503,12.5,75.3,0.224,19515,0.45,13.4,0.685,0.282,0.159,0.093,0.151,0.315,0.505,0.626,0.43,0.403,0.418,0.333,0.502,0.047,300,0.243,955,0.848,0.21,0.346,38.7,85.8,9,27,29.7,58.8,19.2,25,0.768,10.8,33.8,44.5,22.5,7.6,5.1,13.9,20.3,105.5,0.454,14.1,0.607,0.294,0.131,0.071,0.111,0.393,0.515,0.633,0.396,0.418,0.404,0.36,0.567,0.032,204,0.271,1093,0.838,0.219,0.412,20,0,38.6,85,12,33.4,26.6,51.6,18.7,23.2,0.809,9,32.9,41.9,25.2,7.5,4.2,13.3,20.6,108,0.646,0.731707317073171,0.560975609756098,0.7,3
"Brooklyn Nets","Chicago Bulls",26,20,61,25,56,-6.33,-0.02,-6.35,104.4,110.7,101.3,0.29,0.371,0.552,0.509,14.7,19.6,0.229,0.513,11.6,76.2,0.213,19515,0.459,13.1,0.701,0.282,0.153,0.108,0.158,0.299,0.499,0.62,0.418,0.402,0.429,0.364,0.477,0.05,334,0.249,1000,0.791,0.217,0.385,41.6,90.8,9.9,27.2,31.7,63.6,19.3,25,0.772,11,36,47,23,9.4,5.6,13.3,20.4,112.5,0.445,13,0.629,0.309,0.174,0.077,0.07,0.371,0.506,0.614,0.419,0.392,0.371,0.342,0.453,0.035,220,0.299,1162,0.849,0.215,0.376,21,0,38,85.2,10.8,31.6,27.2,53.6,19.5,24.7,0.788,8.8,35.1,43.8,21.5,7.2,4.8,16.5,21.1,106.2,0.244,0.317073170731707,0.170731707317073,0.5,-2,26.9,40,41,40,41,-0.05,-0.3,-0.35,107.4,107.4,95.2,0.259,0.255,0.53,0.487,12.3,27,0.207,0.509,12.3,76.7,0.169,19540,0.457,12.7,0.702,0.313,0.149,0.094,0.146,0.298,0.504,0.609,0.417,0.416,0.423,0.348,0.525,0.05,327,0.28,1075,0.85,0.226,0.4,39.6,86.6,9,25.8,30.6,60.8,14.6,19,0.77,10.3,32.9,43.2,23.7,7.3,4.7,13.4,18.8,102.8,0.444,12.6,0.745,0.279,0.168,0.118,0.179,0.255,0.48,0.597,0.451,0.393,0.382,0.338,0.513,0.038,244,0.254,989,0.874,0.289,0.413,9,0,38.6,87,7.5,22.2,31.1,64.8,18,22.6,0.798,12.2,33.9,46.1,22.5,7.8,4.8,13.5,17.7,102.8,0.5,0.609756097560976,0.390243902439024,0.7,2
"Toronto Raptors","Cleveland Cavaliers",26.1,50,31,51,30,4.07,-0.59,3.49,112.3,108,94.8,0.295,0.288,0.561,0.517,11.8,24.9,0.235,0.508,13.5,76.3,0.223,19540,0.45,13.3,0.672,0.269,0.18,0.095,0.128,0.328,0.495,0.648,0.395,0.381,0.399,0.356,0.494,0.051,319,0.244,907,0.842,0.239,0.362,37.3,83,9.7,27.2,27.7,55.8,18.5,23.8,0.781,10.1,31.9,42,21.8,6.7,4.7,14.6,20.4,102.9,0.464,13.1,0.712,0.253,0.185,0.12,0.153,0.288,0.505,0.63,0.451,0.449,0.407,0.364,0.372,0.041,255,0.233,900,0.815,0.273,0.385,12,1,39.1,84.3,8.9,24.3,30.3,60,19.8,24.8,0.798,10.6,32.6,43.2,18.5,8.3,4.9,12.8,20.8,107,0.622,0.682926829268293,0.560975609756098,0.8,4,29.2,51,30,49,32,3.41,-0.37,3.04,113.8,110.3,96.3,0.274,0.398,0.581,0.548,12.5,22,0.205,0.516,11.5,75.8,0.175,19640,0.458,13.2,0.677,0.292,0.147,0.104,0.134,0.323,0.503,0.634,0.402,0.406,0.405,0.362,0.527,0.048,313,0.249,1024,0.847,0.239,0.369,40.7,88.9,10.4,28.7,30.3,60.1,15.6,20.1,0.775,11,33.2,44.2,24.7,7.3,4.3,12.7,20.6,107.3,0.471,14.3,0.602,0.285,0.109,0.092,0.115,0.398,0.528,0.665,0.364,0.428,0.426,0.385,0.438,0.059,379,0.232,936,0.831,0.291,0.417,7,0,40.1,85,13,33.9,27,51.2,17.5,23.3,0.749,9.3,34.5,43.8,22.7,6.6,4,13.7,18.2,110.7,0.622,0.75609756097561,0.48780487804878,0.4,-4
"Los Angeles Lakers","Golden State Warriors",25.1,26,55,24,57,-6.78,0.45,-6.32,106.2,113.1,98.4,0.26,0.296,0.538,0.501,13.5,25.1,0.196,0.542,13,75.9,0.213,19465,0.483,13.1,0.683,0.301,0.146,0.087,0.148,0.317,0.536,0.678,0.437,0.406,0.417,0.37,0.544,0.069,442,0.243,1027,0.853,0.216,0.388,41.5,86,10.1,27.3,31.4,58.7,18.3,24,0.763,10.2,34.1,44.3,25.7,8.4,5.3,14.4,18.6,111.5,0.45,12.4,0.704,0.298,0.187,0.103,0.117,0.296,0.493,0.632,0.399,0.379,0.392,0.347,0.46,0.055,351,0.249,990,0.771,0.219,0.368,16,1,39.3,87.3,9,25.8,30.3,61.5,17.1,22.7,0.755,11.4,32.2,43.6,20.9,8.2,3.9,15.1,20.7,104.7,0.317,0.414634146341463,0.219512195121951,0.5,-1,28.2,66,15,66,15,11.59,-0.21,11.39,115.7,104.1,99.7,0.259,0.358,0.598,0.564,13.2,22.7,0.205,0.486,13.5,74.8,0.2,19540,0.435,13.1,0.687,0.296,0.157,0.096,0.138,0.313,0.485,0.621,0.374,0.37,0.401,0.324,0.511,0.051,336,0.252,1026,0.828,0.204,0.351,38.8,89.1,9,27.9,29.7,61.2,17.8,23.3,0.763,11.8,31.9,43.7,22.7,8.6,3.9,15.5,19.3,104.4,0.495,14,0.642,0.303,0.102,0.107,0.129,0.358,0.557,0.689,0.409,0.433,0.468,0.384,0.657,0.074,488,0.236,1012,0.831,0.208,0.413,28,1,43.1,87,12,31.2,31.1,55.9,17.8,22.6,0.789,9.3,35,44.3,30.4,9.5,6.7,14.7,19.4,116,0.817,0.878048780487805,0.75609756097561,0.9,1
"Minnesota Timberwolves","Houston Rockets",24,31,50,38,43,-1.06,0.42,-0.65,110.8,111.9,94.6,0.288,0.249,0.555,0.51,12.8,27.3,0.231,0.534,13.3,76,0.213,19565,0.475,12.9,0.68,0.316,0.142,0.089,0.133,0.32,0.527,0.66,0.434,0.399,0.395,0.367,0.491,0.061,395,0.265,1036,0.852,0.221,0.413,39.5,83.1,9.8,26.6,29.7,56.5,17.7,23,0.77,9.8,30.6,40.3,23,7.6,5,14.3,20.6,106.5,0.466,12.3,0.751,0.304,0.163,0.097,0.187,0.249,0.506,0.644,0.436,0.391,0.405,0.347,0.532,0.059,375,0.25,977,0.881,0.267,0.386,11,0,39.3,84.3,7.3,21,32.1,63.4,19.4,24.3,0.799,11.5,30.9,42.3,23.5,8,4.5,14,20.1,105.4,0.378,0.48780487804878,0.268292682926829,0.3,-6,27.4,54,27,54,27,5.78,0.09,5.87,114.6,108.9,100,0.305,0.461,0.583,0.544,13.3,24.5,0.234,0.519,13.2,75.8,0.195,19540,0.462,13.3,0.671,0.291,0.163,0.08,0.137,0.329,0.521,0.689,0.409,0.389,0.377,0.342,0.505,0.051,349,0.259,1170,0.829,0.232,0.364,41.1,88.8,10,29.2,31.1,59.6,17.3,22.3,0.778,10.7,33.3,44,24,8.5,5,15.1,20.5,109.5,0.462,14.3,0.539,0.32,0.126,0.042,0.051,0.461,0.551,0.666,0.392,0.376,0.376,0.358,0.545,0.075,471,0.27,1134,0.766,0.202,0.39,14,0,40.2,87.1,14.3,40.1,25.9,47,20.4,26.6,0.767,10.8,33.5,44.3,25.1,8.1,4.2,15.2,20,115.2,0.671,0.731707317073171,0.609756097560976,0.5,1
"Atlanta Hawks","Indiana Pacers",27.9,43,38,39,42,-0.64,-0.37,-1.01,105,105.6,97.5,0.295,0.308,0.541,0.504,14.1,23.7,0.215,0.506,13.8,76.1,0.179,19640,0.444,14,0.65,0.263,0.127,0.104,0.155,0.35,0.491,0.59,0.419,0.425,0.425,0.356,0.511,0.043,277,0.226,835,0.844,0.257,0.399,38.8,87.3,10.9,30.6,27.9,56.7,15.6,20.2,0.771,10.7,33.2,43.9,23.4,9,5.2,15.5,21.7,104,0.452,12.8,0.692,0.331,0.117,0.093,0.151,0.308,0.501,0.617,0.348,0.394,0.43,0.341,0.542,0.054,339,0.287,1083,0.879,0.236,0.388,11,0,38.2,84.5,8.9,26,29.3,58.5,18.1,24.9,0.727,10.3,34.1,44.4,23.7,8.2,4.9,15.7,18.2,103.4,0.524,0.560975609756098,0.48780487804878,0.6,-1,27,41,40,39,42,-0.44,-0.4,-0.84,108.5,109,96,0.261,0.272,0.557,0.516,12.8,21.2,0.212,0.512,13.5,75.4,0.225,19615,0.451,14,0.655,0.261,0.148,0.095,0.151,0.345,0.502,0.625,0.435,0.433,0.398,0.355,0.478,0.047,291,0.247,933,0.883,0.251,0.399,38.1,84.4,10.3,29.1,27.7,55.3,19,24.1,0.789,10.8,33.6,44.4,22.4,8.1,5,14.9,19.6,105.6,0.465,13.3,0.728,0.24,0.186,0.107,0.195,0.272,0.498,0.622,0.465,0.418,0.419,0.376,0.499,0.036,222,0.233,921,0.837,0.261,0.402,19,1,39.3,84.6,8.6,23,30.7,61.6,17.9,22.1,0.81,9.1,33,42,22.5,8.2,5,13.8,19.5,105.1,0.512,0.707317073170732,0.317073170731707,0.6,5
"Sacramento Kings","Los Angeles Clippers",27.9,32,49,31,50,-3.68,0.53,-3.15,107.3,111.1,95,0.285,0.293,0.556,0.516,13.7,21,0.221,0.527,13,76.4,0.227,19640,0.461,14.1,0.639,0.239,0.174,0.087,0.139,0.361,0.516,0.677,0.448,0.411,0.391,0.364,0.526,0.054,330,0.221,894,0.836,0.232,0.414,38.4,83.2,10.9,30,27.5,53.2,18.9,24.2,0.778,10,32.8,42.9,23.6,8.5,5.1,14,20.1,106.6,0.461,12.9,0.707,0.259,0.196,0.099,0.153,0.293,0.496,0.643,0.422,0.411,0.399,0.375,0.504,0.051,307,0.252,965,0.874,0.237,0.413,18,0,37.8,82.1,9,24.1,28.8,58.1,18.2,23.4,0.776,8.7,32.5,41.2,22.4,7.7,4,14.7,20.4,102.9,0.39,0.414634146341463,0.365853658536585,0.5,-1,30,50,31,51,30,4.1,0.18,4.28,112.5,108.3,96.2,0.312,0.329,0.574,0.537,12.1,21.5,0.233,0.505,12.2,76.9,0.212,19515,0.451,13.5,0.69,0.263,0.154,0.118,0.156,0.31,0.497,0.658,0.429,0.403,0.366,0.349,0.524,0.052,336,0.225,912,0.826,0.22,0.376,38.6,85.4,9.2,26.5,29.3,58.9,18.1,23.5,0.772,10.3,33,43.2,23,7.1,3.2,13.3,22.4,104.5,0.475,14.1,0.671,0.274,0.119,0.081,0.196,0.329,0.524,0.66,0.418,0.42,0.441,0.375,0.493,0.067,407,0.222,866,0.783,0.199,0.422,16,2,39.5,83.2,10.3,27.4,29.2,55.8,19.3,26,0.745,9,34.1,43.1,22.5,7.5,4.2,13.1,19.9,108.6,0.622,0.707317073170732,0.536585365853659,0.8,7
"Dallas Mavericks","Memphis Grizzlies",27.7,32,49,32,49,-3.05,0.4,-2.65,105.6,108.9,92.2,0.222,0.365,0.541,0.505,11.6,18.2,0.178,0.531,14.4,77.8,0.218,19540,0.47,13.5,0.679,0.26,0.155,0.105,0.159,0.321,0.512,0.671,0.436,0.418,0.389,0.381,0.491,0.048,275,0.215,852,0.806,0.257,0.416,37.1,78.9,9.6,25.3,27.4,53.6,17.2,22.3,0.771,8.8,35.7,44.5,21.3,6.6,3.4,15,19.4,100.9,0.44,15.2,0.635,0.2,0.128,0.117,0.19,0.365,0.488,0.636,0.445,0.443,0.389,0.356,0.474,0.039,232,0.167,641,0.81,0.196,0.374,17,0,36.2,82.4,10.7,30.1,25.5,52.3,14.7,18.3,0.801,7.9,30.7,38.6,20.8,7.5,3.8,11.9,19.1,97.9,0.402,0.51219512195122,0.292682926829268,0.2,1,29.5,43,38,42,39,0.58,0.51,1.09,107.7,107.1,92.3,0.28,0.317,0.536,0.492,12.1,24.6,0.219,0.506,13.6,77.5,0.256,19665,0.443,13.9,0.646,0.276,0.144,0.09,0.136,0.354,0.491,0.619,0.421,0.383,0.378,0.355,0.476,0.042,243,0.246,888,0.82,0.244,0.4,35,78.9,9.9,28,25,50.9,20.2,26.8,0.752,9.3,32.9,42.2,20,7,5,14.3,20.9,100,0.436,13.3,0.683,0.289,0.159,0.092,0.144,0.317,0.474,0.578,0.417,0.387,0.383,0.354,0.505,0.033,201,0.267,966,0.81,0.191,0.407,27,0,36.4,83.6,9.4,26.5,27.1,57.1,18.3,23.4,0.783,10.7,32,42.7,21.3,8,4.2,12.9,22.4,100.6,0.524,0.585365853658537,0.463414634146341,0.3,-2
"Washington Wizards","Miami Heat",26,49,32,46,35,1.93,-0.46,1.46,111.2,109.3,97.4,0.255,0.284,0.565,0.528,12.8,24.1,0.2,0.524,13.8,75.6,0.215,19615,0.466,13.3,0.681,0.294,0.147,0.1,0.141,0.319,0.513,0.635,0.408,0.452,0.411,0.365,0.494,0.051,324,0.249,982,0.825,0.21,0.404,39.6,85,9.9,27.2,29.7,57.9,18.3,24.3,0.751,10.5,32.4,42.9,22.9,7.4,4.6,15.3,19.9,107.3,0.475,13,0.716,0.3,0.138,0.109,0.169,0.284,0.515,0.629,0.427,0.425,0.442,0.374,0.497,0.047,299,0.26,1068,0.861,0.253,0.357,10,0,41.3,87,9.2,24.7,32.1,62.3,17.4,22.2,0.784,10.3,32.6,42.9,23.9,8.5,4.2,14.2,21.4,109.3,0.598,0.731707317073171,0.463414634146341,0.5,-1,26.5,40,41,43,38,0.98,-0.3,0.68,107.7,106.7,95.2,0.253,0.315,0.541,0.512,12.3,24.1,0.178,0.496,12.6,76.3,0.221,19540,0.45,12.3,0.73,0.305,0.163,0.119,0.143,0.27,0.489,0.586,0.424,0.462,0.38,0.344,0.438,0.043,270,0.268,957,0.834,0.233,0.369,37.9,84.2,7.8,22.7,30,61.5,18.6,23.8,0.782,10.2,33.4,43.7,19.7,6.8,5,13.7,18.7,102.1,0.454,12.9,0.685,0.29,0.168,0.095,0.132,0.315,0.495,0.628,0.411,0.385,0.389,0.366,0.429,0.053,339,0.239,919,0.89,0.302,0.401,13,0,39,85.8,9.9,27,29.1,58.8,15.3,21.7,0.705,10.6,33,43.6,21.3,7.2,5.8,13.4,20.6,103.1,0.5,0.560975609756098,0.439024390243902,0.6,3
"Philadelphia 76ers","New York Knicks",24.6,28,53,26,55,-5.75,-0.09,-5.85,103,108.8,98.6,0.259,0.351,0.539,0.501,15,22.2,0.2,0.512,13.4,75.5,0.234,19590,0.46,12.7,0.71,0.304,0.156,0.105,0.145,0.29,0.503,0.635,0.393,0.426,0.398,0.356,0.496,0.05,326,0.262,1041,0.847,0.218,0.41,39.5,85.9,8.9,25,30.7,61,20.1,25.9,0.774,10.7,34.3,45,22.7,8.6,5.4,15.1,19.7,108.1,0.441,13.2,0.649,0.306,0.15,0.093,0.1,0.351,0.495,0.638,0.378,0.383,0.345,0.34,0.545,0.047,295,0.267,1061,0.871,0.153,0.407,8,0,37.6,85.2,10.2,29.9,27.4,55.3,17,22,0.772,9.8,33.1,42.9,23.8,8.4,5.1,16.7,21.8,102.3,0.341,0.414634146341463,0.268292682926829,0.1,-8,27.3,30,51,31,50,-3.73,-0.13,-3.85,107.6,111.4,96,0.237,0.279,0.533,0.495,12.4,26.4,0.187,0.511,11.7,74.2,0.215,19615,0.455,12.7,0.676,0.326,0.143,0.084,0.123,0.324,0.505,0.611,0.419,0.395,0.401,0.349,0.46,0.055,346,0.278,1083,0.82,0.23,0.395,39.7,87.3,9.9,28.3,29.8,59,18.8,24.3,0.772,11.6,33.3,44.8,21.8,7.5,4.6,12.9,18.4,108,0.447,13.1,0.721,0.29,0.127,0.132,0.172,0.279,0.485,0.59,0.38,0.439,0.42,0.348,0.47,0.04,262,0.256,979,0.847,0.231,0.425,23,0,39.5,88.5,8.6,24.7,31,63.9,16.6,21,0.789,11.9,33.3,45.2,21.8,7.1,5.5,13.8,20.4,104.2,0.378,0.463414634146341,0.292682926829268,0.4,1
