team_name,opp_mp,opp_avg_dist,opp_fg2a_pct_fga,opp_pct_fga_00_02,opp_pct_fga_03_09,opp_pct_fga_10_15,opp_pct_fga_16_xx,opp_fg3a_pct_fga,opp_fg_pct_00_02,opp_fg_pct_03_09,opp_fg_pct_10_15,opp_fg_pct_16_xx,opp_fg2_pct_ast,opp_pct_fg2_dunk,opp_fg2_dunk,opp_pct_fg2_layup,opp_fg2_layup,opp_fg3_pct_ast,opp_pct_fg3a_corner,opp_fg3_pct_corner
Atlanta Hawks,19830,12.6,.716,.301,.137,.101,.176,.284,.581,.405,.370,.383,.522,.043,273,.261,964,.841,.252,.377
Boston Celtics,19780,12.4,.726,.294,.169,.102,.161,.274,.618,.378,.387,.396,.478,.035,227,.258,1031,.855,.255,.359
Brooklyn Nets,19755,12.3,.699,.325,.143,.084,.147,.301,.649,.434,.396,.418,.525,.064,412,.273,1108,.845,.256,.417
Chicago Bulls,19905,12.2,.743,.303,.158,.107,.175,.257,.597,.381,.404,.387,.503,.039,263,.275,1097,.845,.226,.397
Charlotte Hornets,19855,13.0,.701,.293,.130,.100,.178,.299,.607,.362,.415,.414,.538,.042,272,.251,966,.860,.252,.370
Cleveland Cavaliers,19855,12.4,.724,.274,.177,.115,.157,.276,.633,.400,.410,.385,.517,.046,283,.236,908,.819,.239,.380
Dallas Mavericks,20005,13.0,.689,.261,.164,.107,.157,.311,.649,.400,.427,.407,.481,.044,284,.214,881,.865,.269,.333
Denver Nuggets,19830,12.6,.706,.306,.144,.087,.170,.294,.620,.418,.396,.398,.521,.051,311,.258,995,.870,.272,.365
Detroit Pistons,19880,11.9,.757,.288,.178,.127,.164,.243,.639,.396,.439,.395,.489,.038,237,.253,1037,.837,.200,.400
Golden State Warriors,19880,12.4,.737,.277,.177,.118,.164,.263,.639,.345,.386,.389,.520,.047,313,.232,978,.773,.183,.358
Houston Rockets,19830,12.6,.684,.298,.156,.091,.140,.316,.655,.386,.387,.389,.561,.060,389,.252,1003,.835,.306,.389
Indiana Pacers,19880,12.7,.708,.292,.145,.103,.168,.292,.610,.398,.410,.387,.475,.042,269,.263,1010,.845,.259,.364
Los Angeles Clippers,19830,12.6,.725,.278,.164,.108,.175,.275,.618,.387,.398,.360,.512,.050,318,.240,910,.814,.221,.321
Los Angeles Lakers,19730,12.2,.713,.314,.145,.103,.151,.287,.671,.413,.394,.413,.549,.062,401,.254,1086,.830,.236,.352
Memphis Grizzlies,19830,13.3,.662,.290,.137,.088,.147,.338,.618,.431,.368,.424,.530,.046,267,.247,895,.819,.251,.391
Miami Heat,19830,12.1,.748,.286,.168,.120,.174,.252,.596,.406,.407,.383,.472,.043,264,.247,916,.828,.261,.379
Milwaukee Bucks,19830,12.4,.682,.334,.135,.085,.127,.318,.609,.395,.434,.378,.568,.053,323,.285,1074,.899,.286,.390
Minnesota Timberwolves,19880,12.4,.700,.315,.147,.088,.151,.300,.660,.394,.418,.409,.500,.059,386,.262,1073,.795,.264,.352
New Orleans Pelicans,19780,12.9,.703,.288,.145,.108,.163,.297,.652,.432,.399,.400,.516,.044,281,.252,1049,.830,.203,.396
New York Knicks,19805,12.0,.739,.313,.156,.109,.160,.261,.588,.389,.423,.391,.482,.047,297,.274,1015,.807,.236,.385
Oklahoma City Thunder,19830,11.7,.729,.320,.164,.102,.143,.271,.605,.358,.391,.371,.496,.054,333,.271,1072,.802,.243,.382
Orlando Magic,19905,12.4,.702,.317,.141,.102,.142,.298,.625,.378,.419,.412,.520,.053,326,.266,1037,.874,.265,.363
Philadelphia 76ers,19805,11.9,.746,.302,.170,.112,.162,.254,.636,.386,.422,.420,.526,.051,330,.249,1007,.853,.217,.427
Phoenix Suns,19705,12.5,.703,.294,.158,.089,.161,.297,.646,.395,.423,.400,.490,.053,341,.245,976,.831,.252,.412
Portland Trail Blazers,19805,12.6,.728,.275,.165,.103,.185,.272,.587,.434,.384,.429,.484,.037,227,.238,891,.836,.233,.360
Sacramento Kings,19805,13.3,.681,.243,.185,.090,.162,.319,.678,.409,.418,.416,.521,.056,354,.214,942,.814,.276,.367
San Antonio Spurs,19705,12.1,.756,.281,.173,.119,.183,.244,.590,.405,.395,.396,.528,.048,296,.240,844,.823,.253,.331
Toronto Raptors,19780,12.6,.714,.272,.183,.097,.162,.286,.604,.393,.369,.406,.507,.046,269,.243,894,.874,.258,.417
Utah Jazz,19955,12.3,.722,.288,.169,.102,.164,.278,.611,.377,.426,.388,.450,.055,321,.233,836,.840,.268,.398
Washington Wizards,19755,13.0,.711,.275,.151,.108,.176,.289,.642,.404,.419,.404,.513,.040,259,.237,962,.807,.234,.373
