team_name,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_pts_per_g
San Antonio Spurs,2928,6709,.436,541,1634,.331,2387,5075,.470,1221,1611,.758,747,2576,3323,1707,592,317,1214,1597,7618,92.9
Utah Jazz,2920,6549,.446,649,1819,.357,2271,4730,.480,1374,1842,.746,764,2522,3286,1568,652,385,1146,1629,7863,95.9
Toronto Raptors,2991,6732,.444,717,1922,.373,2274,4810,.473,1354,1809,.748,782,2561,3343,1781,534,442,1094,1801,8053,98.2
Cleveland Cavaliers,3019,6736,.448,647,1862,.347,2372,4874,.487,1378,1855,.743,760,2604,3364,1756,590,362,1092,1690,8063,98.3
Miami Heat,3054,6914,.442,605,1742,.347,2449,5172,.474,1356,1761,.770,803,2580,3383,1657,612,337,1060,1608,8069,98.4
Atlanta Hawks,3046,7058,.432,679,2008,.338,2367,5050,.469,1366,1810,.755,944,2869,3813,1808,706,411,1324,1500,8137,99.2
Los Angeles Clippers,3015,6946,.434,645,1909,.338,2370,5037,.471,1543,2055,.751,968,2861,3829,1740,583,259,1260,1842,8218,100.2
Indiana Pacers,3065,6962,.440,679,2035,.334,2386,4927,.484,1428,1901,.751,877,2774,3651,1707,634,366,1297,1676,8237,100.5
Charlotte Hornets,3098,6971,.444,726,2081,.349,2372,4890,.485,1334,1735,.769,726,2936,3662,1901,553,448,1103,1670,8256,100.7
New York Knicks,3114,7035,.443,626,1838,.341,2488,5197,.479,1435,1904,.754,890,2733,3623,1703,589,343,927,1520,8289,101.1
Memphis Grizzlies,2947,6459,.456,797,2185,.365,2150,4274,.503,1619,2107,.768,830,2711,3541,1792,576,469,1328,1732,8310,101.3
Detroit Pistons,3182,6903,.461,596,1679,.355,2586,5224,.495,1351,1726,.783,725,2763,3488,1766,583,366,1099,1773,8311,101.4
Boston Celtics,3075,6973,.441,643,1912,.336,2432,5061,.481,1613,2136,.755,932,2838,3770,1715,622,450,1348,1718,8406,102.5
Dallas Mavericks,3144,6971,.451,743,2170,.342,2401,4801,.500,1382,1873,.738,868,2887,3755,1800,617,363,1142,1757,8413,102.6
Oklahoma City Thunder,3150,7192,.438,667,1949,.342,2483,5243,.474,1474,1950,.756,923,2373,3296,1767,719,373,1068,1653,8441,102.9
Chicago Bulls,3234,7333,.441,651,1885,.345,2583,5448,.474,1337,1813,.737,969,2798,3767,1848,655,465,974,1535,8456,103.1
Milwaukee Bucks,3097,6817,.454,765,2171,.352,2332,4646,.502,1506,1961,.768,942,2583,3525,2013,679,462,1269,1600,8465,103.2
Orlando Magic,3150,6850,.460,732,2041,.359,2418,4809,.503,1470,1971,.746,832,2800,3632,1899,620,448,1240,1497,8502,103.7
Golden State Warriors,3188,7330,.435,640,1928,.332,2548,5402,.472,1523,2013,.757,937,2662,3599,1823,710,336,1185,1627,8539,104.1
Portland Trail Blazers,3146,6945,.453,700,1888,.371,2446,5057,.484,1562,2129,.734,867,2716,3583,1770,630,424,1088,1597,8554,104.3
Washington Wizards,3170,6868,.462,737,1987,.371,2433,4881,.498,1498,1947,.769,773,2858,3631,1846,661,356,1325,1651,8575,104.6
Denver Nuggets,3182,6904,.461,754,2033,.371,2428,4871,.498,1491,1958,.761,799,2700,3499,1924,660,517,1122,1712,8609,105.0
Minnesota Timberwolves,3276,6962,.471,742,2089,.355,2534,4873,.520,1394,1842,.757,877,2558,3435,1857,638,427,1220,1768,8688,106.0
Brooklyn Nets,3345,6984,.479,775,2100,.369,2570,4884,.526,1227,1608,.763,840,2719,3559,2006,720,430,1162,1510,8692,106.0
Houston Rockets,3200,6977,.459,796,2206,.361,2404,4771,.504,1525,2018,.756,970,2690,3660,2015,734,404,1360,1847,8721,106.4
New Orleans Pelicans,3218,6877,.468,754,2043,.369,2464,4834,.510,1544,1972,.783,730,2912,3642,1899,602,423,1127,1630,8734,106.5
Los Angeles Lakers,3323,7023,.473,700,2016,.347,2623,5007,.524,1420,1942,.731,897,2915,3812,2022,617,458,1037,1573,8766,106.9
Phoenix Suns,3208,6870,.467,770,2041,.377,2438,4829,.505,1631,2177,.749,813,2770,3583,1837,782,449,1224,1770,8817,107.5
Philadelphia 76ers,3253,7005,.464,638,1776,.359,2615,5229,.500,1683,2141,.786,913,2987,3900,1919,711,466,1241,1571,8827,107.6
Sacramento Kings,3327,7194,.462,839,2293,.366,2488,4901,.508,1450,1902,.762,926,2765,3691,1986,722,437,1308,1800,8943,109.1
