team_name,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,pts_per_g
Los Angeles Clippers,37,91,.407,8,29,.276,29,62,.468,32,46,.696,15,33,48,12,10,4,8,25,114,114.0
Chicago Bulls,81,178,.455,20,46,.435,61,132,.462,41,51,.804,31,71,102,59,13,7,24,35,223,111.5
Portland Trail Blazers,123,258,.477,27,69,.391,96,189,.508,61,75,.813,19,108,127,63,19,15,43,82,334,111.3
Golden State Warriors,84,176,.477,16,61,.262,68,115,.591,38,46,.826,17,67,84,56,19,8,30,41,222,111.0
Denver Nuggets,75,183,.410,14,47,.298,61,136,.449,56,72,.778,27,92,119,37,17,7,42,43,220,110.0
Houston Rockets,77,156,.494,22,61,.361,55,95,.579,44,58,.759,15,65,80,50,16,2,34,45,220,110.0
San Antonio Spurs,118,260,.454,28,66,.424,90,194,.464,65,76,.855,36,109,145,69,29,18,34,60,329,109.7
Dallas Mavericks,80,184,.435,26,77,.338,54,107,.505,33,42,.786,16,67,83,39,19,10,25,48,219,109.5
Brooklyn Nets,118,268,.440,36,112,.321,82,156,.526,56,68,.824,38,103,141,65,26,13,50,64,328,109.3
Atlanta Hawks,86,173,.497,17,46,.370,69,127,.543,29,41,.707,20,79,99,59,24,14,33,33,218,109.0
Indiana Pacers,127,279,.455,24,61,.393,103,218,.472,47,63,.746,30,104,134,86,26,19,42,61,325,108.3
Boston Celtics,125,246,.508,34,86,.395,91,160,.569,41,59,.695,19,106,125,83,23,21,44,71,325,108.3
Oklahoma City Thunder,79,190,.416,11,43,.256,68,147,.463,47,64,.734,27,83,110,32,18,6,32,47,216,108.0
Cleveland Cavaliers,114,261,.437,36,104,.346,78,157,.497,52,71,.732,33,98,131,68,28,14,42,64,316,105.3
Los Angeles Lakers,77,173,.445,21,58,.362,56,115,.487,34,43,.791,22,60,82,37,16,11,33,53,209,104.5
Sacramento Kings,111,241,.461,21,67,.313,90,174,.517,70,89,.787,27,85,112,70,18,10,43,65,313,104.3
Memphis Grizzlies,73,166,.440,20,49,.408,53,117,.453,40,53,.755,22,63,85,38,9,13,25,55,206,103.0
Milwaukee Bucks,80,180,.444,11,38,.289,69,142,.486,35,44,.795,19,72,91,48,18,10,22,46,206,103.0
Phoenix Suns,78,171,.456,9,44,.205,69,127,.543,39,59,.661,17,68,85,35,17,6,33,58,204,102.0
Charlotte Hornets,107,260,.412,23,77,.299,84,183,.459,65,81,.802,30,108,138,69,23,25,27,59,302,100.7
Minnesota Timberwolves,73,158,.462,13,40,.325,60,118,.508,42,60,.700,24,59,83,39,11,10,25,48,201,100.5
Toronto Raptors,76,176,.432,7,34,.206,69,142,.486,41,47,.872,32,70,102,29,17,3,30,42,200,100.0
Utah Jazz,71,157,.452,14,49,.286,57,108,.528,44,56,.786,19,59,78,33,13,12,28,37,200,100.0
New York Knicks,72,163,.442,15,48,.313,57,115,.496,40,59,.678,19,64,83,41,10,10,31,47,199,99.5
Miami Heat,79,183,.432,18,50,.360,61,133,.459,23,36,.639,27,77,104,46,7,11,32,45,199,99.5
Detroit Pistons,83,179,.464,11,41,.268,72,138,.522,22,28,.786,17,76,93,44,16,4,26,35,199,99.5
Washington Wizards,40,94,.426,6,20,.300,34,74,.459,13,18,.722,12,28,40,25,14,4,19,20,99,99.0
New Orleans Pelicans,117,278,.421,12,63,.190,105,215,.488,49,64,.766,24,104,128,74,30,16,36,72,295,98.3
Orlando Magic,105,267,.393,22,71,.310,83,196,.423,45,66,.682,41,97,138,61,19,12,41,51,277,92.3
Philadelphia 76ers,64,164,.390,12,42,.286,52,122,.426,29,40,.725,9,73,82,37,14,15,34,42,169,84.5
