team_name,opp_fg,opp_fga,opp_fg_pct,opp_fg3,opp_fg3a,opp_fg3_pct,opp_fg2,opp_fg2a,opp_fg2_pct,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_pts_per_g
Atlanta Hawks,68,174,.391,11,38,.289,57,136,.419,24,33,.727,16,63,79,41,23,9,39,40,171,85.5
Los Angeles Clippers,68,158,.430,11,37,.297,57,121,.471,34,45,.756,16,75,91,36,12,7,32,56,181,90.5
Detroit Pistons,108,268,.403,15,61,.246,93,207,.449,43,55,.782,38,97,135,59,26,7,33,51,274,91.3
Toronto Raptors,68,163,.417,16,54,.296,52,109,.477,33,44,.750,17,63,80,37,16,3,32,39,185,92.5
Cleveland Cavaliers,105,261,.402,21,71,.296,84,190,.442,47,64,.734,44,99,143,50,21,14,57,65,278,92.7
San Antonio Spurs,137,321,.427,24,95,.253,113,226,.500,74,97,.763,27,129,156,79,31,17,54,83,372,93.0
Utah Jazz,105,242,.434,28,69,.406,77,173,.445,52,63,.825,30,96,126,55,19,14,43,61,290,96.7
Charlotte Hornets,110,259,.425,32,81,.395,78,178,.438,39,57,.684,25,115,140,67,10,15,41,71,291,97.0
Sacramento Kings,109,228,.478,17,56,.304,92,172,.535,64,85,.753,28,91,119,62,21,16,42,80,299,99.7
Miami Heat,106,262,.405,23,57,.404,83,205,.405,64,78,.821,41,96,137,60,19,18,34,61,299,99.7
Chicago Bulls,81,164,.494,15,41,.366,66,123,.537,23,33,.697,11,58,69,56,14,13,25,41,200,100.0
Oklahoma City Thunder,113,265,.426,19,84,.226,94,181,.519,58,81,.716,23,105,128,56,31,15,51,69,303,101.0
Houston Rockets,112,253,.443,31,94,.330,81,159,.509,55,66,.833,29,86,115,51,29,9,39,62,310,103.3
Philadelphia 76ers,81,179,.453,11,42,.262,70,137,.511,34,49,.694,19,81,100,50,18,10,22,37,207,103.5
Memphis Grizzlies,114,248,.460,17,64,.266,97,184,.527,67,93,.720,29,97,126,63,18,13,38,71,312,104.0
Minnesota Timberwolves,75,165,.455,20,50,.400,55,115,.478,38,52,.731,22,54,76,43,12,16,26,49,208,104.0
Milwaukee Bucks,116,261,.444,23,78,.295,93,183,.508,58,72,.806,38,116,154,73,25,20,44,58,313,104.3
Boston Celtics,111,268,.414,35,101,.347,76,167,.455,63,83,.759,39,98,137,69,21,10,37,57,320,106.7
Orlando Magic,131,280,.468,22,72,.306,109,208,.524,37,52,.712,38,107,145,71,21,17,33,60,321,107.0
Los Angeles Lakers,120,256,.469,22,80,.275,98,176,.557,61,84,.726,34,98,132,72,29,14,49,63,323,107.7
Denver Nuggets,83,190,.437,13,51,.255,70,139,.504,38,47,.809,10,69,79,54,26,13,27,59,217,108.5
Brooklyn Nets,126,275,.458,26,78,.333,100,197,.508,48,62,.774,35,106,141,83,34,20,46,66,326,108.7
New Orleans Pelicans,116,257,.451,27,76,.355,89,181,.492,68,84,.810,26,131,157,71,21,11,49,59,327,109.0
Dallas Mavericks,114,243,.469,36,82,.439,78,161,.484,65,86,.756,22,117,139,67,22,11,52,66,329,109.7
Portland Trail Blazers,115,273,.421,22,76,.289,93,197,.472,79,101,.782,37,103,140,50,29,14,39,65,331,110.3
New York Knicks,82,180,.456,22,60,.367,60,120,.500,35,45,.778,22,69,91,50,15,7,27,52,221,110.5
Phoenix Suns,119,265,.449,19,71,.268,100,194,.515,75,97,.773,31,110,141,64,22,13,52,67,332,110.7
Washington Wizards,83,176,.472,27,57,.474,56,119,.471,33,44,.750,25,74,99,52,22,9,35,45,226,113.0
Indiana Pacers,128,277,.462,37,102,.363,91,175,.520,49,59,.831,35,113,148,80,22,18,43,64,342,114.0
Golden State Warriors,131,288,.455,25,69,.362,106,219,.484,56,74,.757,44,110,154,73,31,15,41,69,343,114.3
