"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_fg","opp_fga","opp_fg_pct","opp_fg3","opp_fg3a","opp_fg3_pct","opp_fg2","opp_fg2a","opp_fg2_pct","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","opp_pts_per_g","fg","fga","fg_pct","fg3","fg3a","fg3_pct","fg2","fg2a","fg2_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","pts_per_g"
"Chicago Bulls",27.7,3,0,17.67,2.28,19.95,117.6,99.3,96.7,0.258,0.273,0.573,0.53,12.9,33.6,0.217,0.477,12.4,81.1,0.154,114,260,0.438,20,72,0.278,94,188,0.5,40,54,0.741,27,87,114,70,26,16,40,56,288,96,126,267,0.472,31,73,0.425,95,194,0.49,58,69,0.841,44,116,160,85,22,16,44,57,341,113.7
"Atlanta Hawks",28.5,3,0,19.33,-7.38,11.96,109,89.5,99.1,0.349,0.302,0.557,0.528,13.7,28,0.23,0.46,17.6,82.8,0.149,104,249,0.418,21,61,0.344,83,188,0.441,37,52,0.712,22,95,117,67,33,15,58,74,266,88.7,119,252,0.472,28,76,0.368,91,176,0.517,58,88,0.659,37,106,143,83,35,20,46,53,324,108
"Los Angeles Clippers",29.6,3,0,13,-2.16,10.84,107.3,94.2,98.8,0.409,0.283,0.53,0.476,11,23.8,0.299,0.459,16.1,80.5,0.236,103,242,0.426,16,52,0.308,87,190,0.458,57,76,0.75,26,109,135,55,23,7,53,89,279,93,111,254,0.437,20,72,0.278,91,182,0.5,76,104,0.731,34,107,141,50,26,12,37,62,318,106
"Boston Celtics",26.5,2,1,1.67,8.99,10.65,111,109.3,97.6,0.24,0.35,0.598,0.577,13.9,16.2,0.167,0.479,10.8,73.1,0.235,111,268,0.414,35,101,0.347,76,167,0.455,63,83,0.759,39,98,137,69,21,10,37,57,320,106.7,125,246,0.508,34,86,0.395,91,160,0.569,41,59,0.695,19,106,125,83,23,21,44,71,325,108.3
"San Antonio Spurs",29.5,4,1,9.6,1.04,10.64,112,101.8,93.9,0.294,0.249,0.557,0.502,11.1,24.5,0.254,0.49,12.7,85.4,0.224,175,397,0.441,39,126,0.31,136,271,0.502,89,115,0.774,29,166,195,101,36,25,65,103,478,95.6,188,418,0.45,44,104,0.423,144,314,0.459,106,123,0.862,54,169,223,108,39,28,59,101,526,105.2
"Toronto Raptors",26.4,2,1,6,4.49,10.49,107.9,101.5,94.2,0.273,0.189,0.516,0.464,11.4,30.5,0.227,0.465,12.5,78.5,0.246,101,244,0.414,25,76,0.329,76,168,0.452,60,79,0.759,28,98,126,51,18,12,40,57,287,95.7,117,264,0.443,11,50,0.22,106,214,0.495,60,72,0.833,43,102,145,45,24,12,38,70,305,101.7
"Charlotte Hornets",27.1,2,1,3.67,4.3,7.97,104.4,100.6,96.4,0.312,0.296,0.511,0.456,8.4,20.7,0.25,0.486,12.6,81.2,0.151,110,259,0.425,32,81,0.395,78,178,0.438,39,57,0.684,25,115,140,67,10,15,41,71,291,97,107,260,0.412,23,77,0.299,84,183,0.459,65,81,0.802,30,108,138,69,23,25,27,59,302,100.7
"Cleveland Cavaliers",29.6,3,1,11.5,-4.41,7.09,115.3,103.4,96.2,0.297,0.395,0.571,0.532,12,27.3,0.227,0.476,14.1,70.6,0.182,148,351,0.422,38,115,0.33,110,236,0.466,64,89,0.719,55,120,175,80,26,16,64,90,398,99.5,157,344,0.456,52,136,0.382,105,208,0.505,78,102,0.765,45,132,177,90,32,16,53,85,444,111
"Miami Heat",25.8,2,2,2.75,3.07,5.82,103.4,100.6,95.6,0.261,0.284,0.522,0.493,13.6,21.8,0.178,0.439,11,74.5,0.248,140,351,0.399,28,80,0.35,112,271,0.413,87,105,0.829,50,140,190,72,23,22,49,84,395,98.8,153,349,0.438,38,99,0.384,115,250,0.46,62,91,0.681,39,146,185,89,24,26,61,90,406,101.5
"Detroit Pistons",25.7,3,1,9,-3.41,5.59,104.8,95.3,95.2,0.194,0.208,0.516,0.492,12.1,24.6,0.138,0.435,10.5,77.2,0.155,143,354,0.404,22,83,0.265,121,271,0.446,55,70,0.786,46,132,178,77,32,16,45,71,363,90.8,163,356,0.458,24,74,0.324,139,282,0.493,49,69,0.71,43,156,199,86,31,13,53,65,399,99.8
