team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Minnesota Timberwolves,34.0,79.7,.427,8.0,24.7,.324,26.0,55.0,.473,20.0,27.0,.741,10.0,26.0,36.0,17.7,9.7,6.7,16.0,23.7,96.0
Denver Nuggets,41.3,92.7,.446,5.7,22.3,.254,35.7,70.3,.507,19.0,24.0,.792,7.0,33.7,40.7,23.3,11.0,7.3,11.7,29.0,107.3
Washington Wizards,42.0,84.3,.498,12.3,27.3,.451,29.7,57.0,.520,16.7,23.0,.725,9.7,33.7,43.3,24.3,12.7,3.7,16.0,23.0,113.0
Los Angeles Clippers,34.3,81.5,.420,5.3,18.0,.292,29.0,63.5,.457,17.3,24.0,.719,9.0,37.8,46.8,17.3,7.8,2.8,18.8,28.3,91.0
Charlotte Hornets,36.0,86.3,.417,11.0,29.8,.370,25.0,56.5,.442,13.0,18.0,.722,8.3,36.0,44.3,22.5,4.5,4.3,15.0,23.8,96.0
Oklahoma City Thunder,36.8,88.0,.418,6.5,26.5,.245,30.3,61.5,.492,16.5,24.8,.667,7.8,34.5,42.3,19.5,11.0,5.0,17.5,22.0,96.5
Atlanta Hawks,38.0,84.5,.450,7.5,20.8,.361,30.5,63.8,.478,13.8,18.0,.764,8.0,31.5,39.5,22.8,11.0,6.0,18.3,24.8,97.3
Toronto Raptors,35.8,79.0,.453,7.0,21.5,.326,28.8,57.5,.500,19.0,25.8,.738,8.5,32.0,40.5,18.0,6.5,4.3,15.3,19.3,97.5
Miami Heat,35.0,87.8,.399,7.0,20.0,.350,28.0,67.8,.413,21.8,26.3,.829,12.5,35.0,47.5,18.0,5.8,5.5,12.3,21.0,98.8
Chicago Bulls,38.8,86.8,.447,8.5,26.0,.327,30.3,60.8,.498,12.8,17.8,.718,9.3,29.0,38.3,24.5,9.0,5.0,13.0,20.0,98.8
Cleveland Cavaliers,37.0,87.8,.422,9.5,28.8,.330,27.5,59.0,.466,16.0,22.3,.719,13.8,30.0,43.8,20.0,6.5,4.0,16.0,22.5,99.5
Philadelphia 76ers,40.5,87.8,.462,7.5,25.3,.297,33.0,62.5,.528,16.3,23.0,.707,10.0,35.8,45.8,26.0,8.3,4.8,11.8,17.3,104.8
Boston Celtics,36.5,87.3,.418,10.5,30.3,.347,26.0,57.0,.456,21.5,28.5,.754,13.5,33.0,46.5,22.5,7.0,4.3,14.0,19.0,105.0
Orlando Magic,42.8,90.5,.472,7.8,23.3,.333,35.0,67.3,.520,12.3,17.0,.721,11.3,35.5,46.8,24.8,6.5,6.3,12.3,20.0,105.5
Dallas Mavericks,37.3,80.0,.466,12.0,26.8,.449,25.3,53.3,.474,20.0,28.0,.714,7.3,37.8,45.0,21.3,7.0,3.5,16.0,21.8,106.5
Milwaukee Bucks,38.0,85.8,.443,8.0,25.8,.311,30.0,60.0,.500,22.5,28.3,.796,11.8,37.3,49.0,24.0,9.5,6.3,14.3,18.8,106.5
New York Knicks,41.3,89.5,.461,11.3,28.3,.398,30.0,61.3,.490,16.5,23.3,.710,12.8,35.5,48.3,23.5,8.5,4.8,14.5,22.3,110.3
Golden State Warriors,42.0,93.5,.449,9.8,27.0,.361,32.3,66.5,.485,18.0,23.8,.758,12.5,34.0,46.5,24.0,10.8,4.8,14.8,21.5,111.8
Indiana Pacers,42.0,91.5,.459,10.8,32.5,.331,31.3,59.0,.530,17.8,21.0,.845,11.5,36.5,48.0,23.5,7.5,5.0,15.8,22.3,112.5
Utah Jazz,34.2,79.0,.433,8.2,23.0,.357,26.0,56.0,.464,15.8,18.8,.840,8.0,31.2,39.2,18.4,5.8,4.6,13.2,19.2,92.4
Detroit Pistons,36.8,86.0,.428,7.0,22.0,.318,29.8,64.0,.466,13.8,17.4,.793,10.2,34.4,44.6,20.8,8.4,3.8,12.8,18.8,94.4
