team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Portland Trail Blazers,40.4,89.0,.454,10.6,28.2,.376,29.8,60.8,.490,19.2,23.4,.821,7.0,35.4,42.4,22.2,7.8,5.4,15.2,24.4,110.6
Houston Rockets,39.2,83.0,.472,13.0,35.2,.369,26.2,47.8,.548,18.8,26.2,.718,10.8,31.6,42.4,24.2,7.6,3.0,15.6,22.4,110.2
Los Angeles Lakers,40.0,87.6,.457,8.6,28.0,.307,31.4,59.6,.527,18.6,22.4,.830,10.8,30.8,41.6,19.0,10.0,4.8,18.0,24.2,107.2
San Antonio Spurs,37.6,83.6,.450,8.8,20.8,.423,28.8,62.8,.459,21.2,24.6,.862,10.8,33.8,44.6,21.6,7.8,5.6,11.8,20.2,105.2
Brooklyn Nets,38.4,88.0,.436,10.8,33.8,.320,27.6,54.2,.509,17.4,21.2,.821,11.8,34.4,46.2,21.2,9.6,3.8,16.8,20.4,105.0
Phoenix Suns,38.8,89.6,.433,5.4,19.6,.276,33.4,70.0,.477,21.0,29.0,.724,10.4,37.2,47.6,17.6,9.6,3.4,15.6,27.4,104.0
Sacramento Kings,36.2,81.0,.447,7.2,22.6,.319,29.0,58.4,.497,21.2,27.0,.785,8.4,32.2,40.6,21.6,6.4,4.0,15.4,24.4,100.8
Detroit Pistons,40.0,88.8,.450,6.6,19.8,.333,33.4,69.0,.484,13.4,18.0,.744,10.6,36.8,47.4,21.4,8.4,3.8,13.2,16.6,100.0
New Orleans Pelicans,36.6,88.2,.415,6.4,24.6,.260,30.2,63.6,.475,18.6,24.2,.769,7.6,35.0,42.6,22.8,10.2,6.0,14.2,23.0,98.2
Memphis Grizzlies,34.4,84.4,.408,9.4,26.2,.359,25.0,58.2,.430,19.2,25.6,.750,10.8,32.4,43.2,18.4,9.4,4.8,16.2,25.0,97.4
Utah Jazz,34.6,76.6,.452,9.6,24.8,.387,25.0,51.8,.483,16.8,22.6,.743,7.0,33.2,40.2,18.2,6.4,5.2,13.8,20.0,95.6
Golden State Warriors,42.3,87.0,.486,8.5,29.0,.293,33.8,58.0,.582,20.8,25.5,.814,7.8,35.3,43.0,29.8,9.8,4.3,15.5,20.8,113.8
Cleveland Cavaliers,39.3,86.0,.456,13.0,34.0,.382,26.3,52.0,.505,19.5,25.5,.765,11.3,33.0,44.3,22.5,8.0,4.0,13.3,21.3,111.0
Chicago Bulls,40.3,87.0,.463,9.5,23.3,.409,30.8,63.8,.482,20.3,25.0,.810,14.8,37.5,52.3,26.5,7.3,5.8,15.8,19.0,110.3
Indiana Pacers,42.0,91.5,.459,8.5,22.3,.382,33.5,69.3,.484,17.5,23.0,.761,10.3,34.0,44.3,26.3,9.0,6.8,14.8,20.3,110.0
Atlanta Hawks,40.0,84.3,.475,9.8,27.0,.361,30.3,57.3,.528,20.3,29.3,.692,11.8,33.3,45.0,28.3,11.3,5.3,16.0,18.0,110.0
Boston Celtics,41.5,83.3,.498,12.0,29.5,.407,29.5,53.8,.549,13.0,19.0,.684,7.3,33.8,41.0,27.8,8.3,6.3,14.0,23.8,108.0
Toronto Raptors,40.0,85.3,.469,5.3,18.8,.280,34.8,66.5,.523,19.3,24.3,.794,11.8,32.3,44.0,16.5,10.0,3.5,12.8,23.5,104.5
Oklahoma City Thunder,39.5,92.3,.428,6.3,22.3,.281,33.3,70.0,.475,18.3,25.3,.723,12.0,40.0,52.0,18.8,10.3,4.0,18.5,23.3,103.5
Charlotte Hornets,36.5,84.8,.431,9.0,27.8,.324,27.5,57.0,.482,20.8,26.8,.776,9.8,35.8,45.5,23.5,7.8,7.0,10.5,19.0,102.8
Miami Heat,38.3,87.3,.438,9.5,24.8,.384,28.8,62.5,.460,15.5,22.8,.681,9.8,36.5,46.3,22.3,6.0,6.5,15.3,22.5,101.5
Milwaukee Bucks,39.5,89.5,.441,6.3,21.8,.287,33.3,67.8,.491,16.3,19.8,.823,10.0,35.3,45.3,25.0,9.3,4.8,12.5,21.5,101.5
Los Angeles Clippers,36.3,85.3,.425,6.8,23.5,.287,29.5,61.8,.478,21.0,30.5,.689,10.5,35.0,45.5,18.0,9.8,4.3,14.0,20.3,100.3
Dallas Mavericks,36.3,86.3,.420,11.0,33.3,.331,25.3,53.0,.476,14.5,18.0,.806,8.5,31.8,40.3,18.5,7.8,4.3,12.8,21.3,98.0
New York Knicks,36.0,83.5,.431,7.5,22.5,.333,28.5,61.0,.467,17.3,24.8,.697,8.5,31.5,40.0,19.3,6.5,6.5,14.8,22.3,96.8
Orlando Magic,36.8,90.0,.408,7.0,24.0,.292,29.8,66.0,.451,14.5,20.8,.699,13.3,31.0,44.3,22.5,6.5,4.5,12.8,16.5,95.0
Philadelphia 76ers,34.5,83.0,.416,8.3,25.3,.327,26.3,57.8,.455,13.5,17.8,.761,6.0,34.3,40.3,22.0,6.8,6.3,17.3,21.5,90.8
Denver Nuggets,36.0,88.0,.409,7.7,23.0,.333,28.3,65.0,.436,27.7,35.7,.776,12.7,42.3,55.0,17.0,6.3,5.7,16.7,20.3,107.3
Minnesota Timberwolves,38.7,78.7,.492,8.3,20.0,.417,30.3,58.7,.517,20.0,27.7,.723,11.3,32.7,44.0,22.7,7.3,4.7,15.3,23.3,105.7
Washington Wizards,40.0,84.0,.476,4.7,18.3,.255,35.3,65.7,.538,17.0,22.3,.761,8.7,30.0,38.7,21.7,10.0,4.3,18.0,21.0,101.7
