team_name,opp_fg,opp_fga,opp_fg3,opp_fg3a,opp_fg2,opp_fg2a,opp_ft,opp_fta,opp_ft_pct,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
Cleveland Cavaliers,39.4,89.5,9.9,28.4,29.5,61.1,13.9,18.4,.752,10.6,32.3,42.9,22.3,6.4,5.3,12.6,21.6,102.4
Milwaukee Bucks,36.9,84.6,9.1,28.8,27.7,55.8,19.9,24.7,.806,10.8,33.6,44.4,23.2,8.5,5.4,14.5,19.8,102.8
Miami Heat,35.8,84.5,7.2,21.1,28.6,63.4,17.7,21.9,.811,11.3,35.0,46.3,18.7,6.7,5.9,14.3,18.6,96.5
Washington Wizards,38.6,84.0,10.7,27.5,27.9,56.5,16.7,23.3,.718,10.7,33.1,43.8,22.6,7.8,4.7,15.6,21.0,104.6
Dallas Mavericks,36.6,79.2,11.3,27.5,25.3,51.7,17.2,22.7,.757,8.3,37.0,45.3,21.5,7.4,3.5,16.3,20.3,101.7
Memphis Grizzlies,33.6,77.7,8.8,26.1,24.8,51.6,20.2,27.3,.741,7.9,33.3,41.2,19.3,7.9,5.9,15.3,22.6,96.3
Minnesota Timberwolves,37.1,80.0,8.3,25.3,28.8,54.7,20.1,26.0,.774,8.7,32.1,40.8,20.1,8.1,5.4,15.8,21.7,102.7
Charlotte Hornets,39.2,88.5,10.8,31.1,28.4,57.4,14.3,18.4,.775,9.3,36.8,46.1,23.7,6.7,5.7,13.7,21.4,103.5
Atlanta Hawks,37.6,87.0,8.8,27.1,28.8,59.9,14.4,18.8,.770,9.9,32.4,42.3,21.1,10.9,5.0,16.8,21.8,98.5
San Antonio Spurs,36.8,82.1,9.1,26.2,27.8,55.9,15.9,21.1,.754,9.0,32.5,41.5,21.6,7.0,4.3,13.8,19.9,98.6
Orlando Magic,38.1,85.8,7.8,23.5,30.3,62.3,14.6,19.4,.755,10.0,34.9,44.9,21.3,7.5,6.0,12.5,18.9,98.6
Utah Jazz,34.7,82.1,7.8,22.5,26.9,59.6,15.6,21.1,.738,9.1,32.8,41.9,18.0,6.5,4.4,11.8,19.7,92.8
Chicago Bulls,38.2,86.9,9.2,25.3,29.0,61.6,13.4,17.8,.754,10.9,32.1,43.0,23.0,7.3,5.2,13.1,19.6,99.0
New York Knicks,38.7,85.5,9.2,26.1,29.5,59.5,19.7,25.7,.767,11.6,32.7,44.3,20.7,7.9,4.3,14.0,18.3,106.3
Detroit Pistons,35.9,83.6,8.4,24.3,27.6,59.3,16.3,20.7,.787,10.2,35.0,45.2,21.2,6.5,5.0,13.2,17.2,96.5
Boston Celtics,37.8,86.3,9.0,26.3,28.8,60.0,18.9,24.6,.768,12.0,34.6,46.6,22.0,7.3,5.8,14.3,19.0,103.4
Los Angeles Clippers,35.7,82.8,8.6,23.1,27.1,59.7,17.8,22.4,.795,9.8,32.5,42.4,19.9,6.7,3.0,15.8,24.9,97.8
Toronto Raptors,37.8,81.9,9.7,27.8,28.1,54.1,19.7,25.4,.776,9.9,33.3,43.3,22.7,5.9,4.8,15.6,20.8,104.9
Houston Rockets,38.9,84.7,9.5,25.5,29.4,59.2,17.7,22.2,.797,9.4,30.5,39.9,21.4,9.2,5.2,14.0,18.1,104.9
Golden State Warriors,39.0,90.4,8.8,26.0,30.2,64.4,18.6,24.0,.773,12.1,32.0,44.1,22.4,8.6,3.2,14.6,20.6,105.4
Sacramento Kings,37.4,80.9,10.0,27.9,27.4,53.0,20.8,27.5,.755,9.6,32.0,41.6,23.2,7.9,5.9,13.7,22.2,105.5
Brooklyn Nets,43.1,91.3,10.5,28.7,32.7,62.7,16.7,21.6,.775,11.1,37.1,48.2,25.0,10.3,5.3,14.8,21.3,113.5
Philadelphia 76ers,40.9,89.8,8.9,26.2,32.0,63.6,16.2,22.6,.717,11.4,35.3,46.8,22.8,9.3,6.0,13.7,19.7,106.8
Denver Nuggets,41.3,89.1,7.8,23.4,33.5,65.8,18.3,24.1,.759,9.1,33.2,42.3,23.2,8.8,5.6,12.2,23.5,108.6
Oklahoma City Thunder,39.8,88.1,9.4,26.2,30.4,61.9,17.4,23.4,.741,9.9,32.5,42.5,21.9,8.6,5.7,15.1,19.4,106.4
New Orleans Pelicans,39.6,90.0,10.2,28.8,29.4,61.2,17.4,21.8,.800,9.9,38.1,48.0,24.5,7.7,4.2,14.3,20.4,106.8
Indiana Pacers,39.5,87.9,10.0,29.8,29.5,58.1,18.2,23.2,.787,11.9,35.9,47.8,23.2,8.4,5.8,16.8,19.9,107.2
Phoenix Suns,39.8,87.8,9.5,25.3,30.3,62.5,22.5,29.1,.774,9.6,35.4,44.9,22.8,8.2,6.5,15.7,22.2,111.7
Los Angeles Lakers,42.0,86.3,9.5,27.1,32.5,59.2,18.4,24.5,.750,9.6,33.1,42.7,26.1,9.3,4.7,15.1,18.9,111.9
Portland Trail Blazers,40.7,89.5,9.5,26.3,31.2,63.2,22.0,28.0,.786,11.3,35.7,47.1,20.9,7.8,5.1,12.7,20.1,112.8
