"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts"
"Golden State Warriors",28.2,36,7,12.91,-0.38,12.53,116.3,103.6,100.7,0.27,0.353,0.604,0.569,13.5,22.3,0.213,0.483,13.1,75.8,0.2,10395,0.432,13.7,0.68,0.27,0.158,0.101,0.15,0.32,0.484,0.629,0.366,0.405,0.404,0.321,0.476,0.044,151,0.237,516,0.829,0.205,0.355,38.9,90,9.2,28.9,29.8,61.1,18,23.5,0.767,11.6,31.7,43.2,21.9,9,3.7,15.1,20.3,105,0.5,14.1,0.649,0.295,0.106,0.115,0.133,0.351,0.563,0.693,0.446,0.454,0.46,0.385,0.668,0.07,245,0.233,521,0.853,0.204,0.382,17,0,43.7,87.3,11.9,30.8,31.9,56.5,18.6,23.6,0.789,9.1,36.2,45.2,31.4,9.4,6.3,15.2,19.4,118
"San Antonio Spurs",29.8,33,10,8.7,-0.11,8.59,113.8,104.6,94,0.273,0.272,0.581,0.539,12.3,23.1,0.224,0.497,13.5,77.7,0.2,10370,0.445,13,0.708,0.293,0.159,0.099,0.158,0.292,0.488,0.611,0.374,0.411,0.423,0.342,0.51,0.05,155,0.255,487,0.844,0.249,0.333,37,82.8,8.3,24.3,28.6,58.4,16.6,21.5,0.772,9.6,31,40.6,21.6,7.6,3.9,14.3,19.9,98.9,0.482,13.4,0.728,0.254,0.164,0.111,0.201,0.272,0.507,0.645,0.418,0.41,0.455,0.415,0.526,0.047,143,0.217,440,0.893,0.282,0.466,7,0,39.9,82.7,9.3,22.5,30.6,60.2,18.5,22.6,0.819,9.3,33.5,42.8,24.5,8,5.7,13,18.4,107.6
"Houston Rockets",27.4,33,14,7.06,0.03,7.1,115.1,108,98.8,0.279,0.46,0.586,0.552,13.6,25.2,0.212,0.513,13.2,76.2,0.199,11355,0.456,13.4,0.68,0.283,0.172,0.083,0.141,0.32,0.502,0.683,0.398,0.351,0.355,0.358,0.467,0.045,167,0.253,628,0.819,0.242,0.389,39.9,87.6,10.1,28.4,29.8,59.2,17.4,22.4,0.778,10.5,32.3,42.8,22.3,8.5,4.9,14.9,19.8,107.4,0.467,14.5,0.539,0.307,0.135,0.041,0.056,0.461,0.55,0.674,0.394,0.356,0.394,0.37,0.543,0.07,243,0.263,631,0.78,0.2,0.403,10,0,40.7,87,14.7,40,26,47,18.5,24.3,0.761,10.9,33.5,44.4,25.6,8.2,4.7,15.3,19.7,114.5
"Toronto Raptors",26.1,29,14,5.6,0,5.61,114.8,109,95.5,0.299,0.285,0.568,0.522,11,25.3,0.242,0.515,14.4,74.4,0.22,10370,0.454,13.3,0.666,0.284,0.171,0.092,0.12,0.334,0.502,0.657,0.382,0.388,0.392,0.359,0.502,0.054,174,0.258,507,0.843,0.224,0.376,38.1,83.7,10.1,27.9,28,55.8,18.4,23.6,0.779,10.9,32.6,43.5,22.5,6.4,4.5,15.8,20.5,104.6,0.47,13.3,0.716,0.248,0.184,0.123,0.16,0.284,0.504,0.626,0.462,0.439,0.411,0.386,0.38,0.044,143,0.22,442,0.79,0.255,0.387,8,1,40,85.7,9.3,24.5,30.7,61.2,20.8,25.6,0.812,11,31.6,42.7,19,9.1,4.9,12,20.9,110.2
"Cleveland Cavaliers",29,28,14,4.9,0.01,4.91,112.6,107.5,96.6,0.294,0.39,0.567,0.529,12.6,23.7,0.222,0.511,12.7,75.3,0.17,10130,0.453,13.3,0.678,0.296,0.151,0.102,0.129,0.322,0.498,0.637,0.367,0.403,0.413,0.357,0.529,0.046,140,0.253,531,0.837,0.239,0.367,39.7,87.5,10,28,29.7,59.5,14.9,19.4,0.77,11,32.9,43.9,24.2,7.4,5,14,21.7,104.4,0.453,14.3,0.61,0.28,0.122,0.098,0.109,0.39,0.497,0.646,0.314,0.411,0.395,0.384,0.427,0.051,164,0.237,473,0.821,0.286,0.427,5,0,38.8,85.4,12.8,33.3,26,52.1,19,25.1,0.756,10.2,33.7,43.9,21.6,7.4,3.9,13.9,18.1,109.3
"Los Angeles Clippers",30.1,30,15,5.27,-0.76,4.51,111.5,106.1,96.2,0.3,0.324,0.566,0.528,12.1,22.3,0.226,0.494,12.5,76.7,0.218,10850,0.442,13.5,0.708,0.256,0.157,0.127,0.169,0.292,0.482,0.643,0.433,0.383,0.361,0.344,0.496,0.047,162,0.226,486,0.84,0.225,0.354,37.8,85.1,8.6,24.8,29.2,60.3,18.5,24.3,0.761,10.4,32.8,43.2,21.8,7.2,3.3,13.7,22.3,102.6,0.469,14.1,0.676,0.279,0.118,0.086,0.194,0.324,0.515,0.653,0.379,0.424,0.437,0.374,0.501,0.067,219,0.229,485,0.78,0.211,0.393,8,0,39.4,84.1,10.1,27.2,29.2,56.9,19,25.2,0.753,9.4,34.3,43.7,22.6,7.8,4.7,13.1,20.5,107.8
"Utah Jazz",26.5,29,16,4.38,-0.27,4.11,108.9,104.1,91.3,0.3,0.335,0.565,0.527,13.5,22.3,0.225,0.482,11.7,77.7,0.189,10825,0.431,12.6,0.724,0.299,0.17,0.113,0.142,0.276,0.46,0.586,0.36,0.357,0.399,0.354,0.407,0.047,147,0.254,476,0.787,0.193,0.381,35.8,82.7,8.1,22.8,27.7,59.9,15.6,20.4,0.765,9.8,31,40.7,17.6,7,3.5,12.2,20.5,95.3,0.466,13.5,0.663,0.285,0.148,0.1,0.13,0.337,0.514,0.654,0.431,0.435,0.363,0.37,0.444,0.063,192,0.228,443,0.787,0.238,0.366,8,1,36.3,78,9.6,26.1,26.7,51.9,17.5,23.4,0.749,8.9,34.1,42.9,19.4,6.5,5,13.8,19.1,99.7
"Boston Celtics",25.9,24,19,2,-0.13,1.88,111.5,109.4,95.8,0.25,0.378,0.561,0.522,11.6,21.7,0.203,0.505,12.8,73.6,0.222,10370,0.45,13.5,0.687,0.276,0.165,0.096,0.15,0.313,0.496,0.611,0.422,0.416,0.415,0.349,0.51,0.04,134,0.244,484,0.852,0.211,0.386,38.5,85.4,9.3,26.6,29.2,58.8,19,24.5,0.773,11.4,34,45.3,22.9,7.4,5.4,14.2,19.6,105.3,0.452,14.1,0.622,0.292,0.137,0.072,0.12,0.378,0.503,0.621,0.379,0.425,0.406,0.368,0.551,0.028,92,0.278,579,0.849,0.212,0.476,11,0,38.9,86.1,12,32.6,26.9,53.5,17.5,21.5,0.813,9.4,31.7,41.2,25,7.5,4.5,12.6,20.3,107.3
"Charlotte Hornets",26.7,25,19,2.34,-0.54,1.8,108.4,106,96.5,0.294,0.314,0.545,0.499,11.2,21,0.233,0.503,11.6,79.5,0.162,10635,0.444,14,0.652,0.287,0.116,0.094,0.155,0.348,0.493,0.569,0.444,0.451,0.413,0.353,0.511,0.031,100,0.26,522,0.875,0.221,0.375,38.9,88.1,10.9,30.9,28,57.2,14.3,18.3,0.782,9.3,35.1,44.4,23.8,7,5.8,12.6,20.3,103,0.44,13.4,0.687,0.291,0.146,0.096,0.154,0.313,0.48,0.609,0.379,0.409,0.375,0.354,0.564,0.034,115,0.264,536,0.779,0.139,0.363,6,0,37.9,85.6,9.7,26.9,28.2,58.7,20,25.2,0.793,9.3,36.3,45.6,23.4,6.7,5.1,12.1,16.8,105.4
"Oklahoma City Thunder",24.5,23,21,0.75,0.24,0.99,107.9,107.2,97.6,0.296,0.302,0.545,0.506,13.4,26.4,0.22,0.507,12.7,77.4,0.208,10660,0.456,12.1,0.71,0.326,0.18,0.094,0.109,0.29,0.498,0.621,0.394,0.397,0.389,0.353,0.476,0.053,176,0.28,605,0.841,0.227,0.372,39.4,86.4,8.8,25,30.5,61.3,18,23.9,0.754,10,31.5,41.5,22,8.3,5.1,14,20.9,105.6,0.457,12.1,0.698,0.349,0.144,0.103,0.103,0.302,0.515,0.631,0.406,0.408,0.377,0.325,0.471,0.061,209,0.29,630,0.82,0.271,0.363,11,1,39.5,86.3,8.5,26,31,60.3,19,25.5,0.742,11.3,34,45.3,21.5,7.8,5.1,15.1,20.5,106.3
