team_name,fg,fga,fg3,fg3a,fg2,fg2a,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts
Houston Rockets,40.7,87.0,14.7,40.0,26.0,47.0,18.5,24.3,.761,10.9,33.5,44.4,25.6,8.2,4.7,15.3,19.7,114.5
Golden State Warriors,43.7,87.4,12.0,31.0,31.7,56.3,18.5,23.5,.789,9.2,36.2,45.4,31.3,9.4,6.3,15.3,19.3,118.0
Los Angeles Lakers,38.5,86.5,9.1,26.0,29.3,60.5,18.0,23.6,.762,11.6,32.1,43.7,20.7,7.8,3.6,15.3,20.5,104.1
Portland Trail Blazers,39.3,86.6,10.2,28.5,29.1,58.1,18.7,23.8,.783,9.7,32.8,42.6,22.2,7.1,5.2,13.8,21.8,107.5
Los Angeles Clippers,39.4,84.1,10.1,27.2,29.2,56.9,19.0,25.2,.753,9.4,34.3,43.7,22.6,7.8,4.7,13.1,20.5,107.8
Toronto Raptors,39.9,85.6,9.3,24.5,30.6,61.1,21.0,25.8,.813,10.9,31.5,42.5,19.0,9.1,5.0,11.9,20.9,110.0
New York Knicks,40.0,89.2,9.2,25.2,30.8,64.0,16.4,21.0,.784,12.4,33.4,45.8,21.7,7.0,5.7,14.3,20.7,105.5
Denver Nuggets,40.5,87.6,9.8,27.1,30.7,60.5,19.1,25.3,.757,12.2,34.3,46.6,24.1,6.7,4.1,15.5,20.3,109.8
Oklahoma City Thunder,39.5,86.3,8.5,26.0,31.0,60.3,19.0,25.5,.742,11.3,34.0,45.3,21.5,7.8,5.1,15.1,20.5,106.3
Phoenix Suns,39.2,87.5,8.0,23.3,31.1,64.2,19.7,25.2,.781,12.0,33.0,45.0,18.3,8.5,4.3,15.9,24.9,106.1
Charlotte Hornets,37.9,85.6,9.7,26.9,28.2,58.7,20.0,25.2,.793,9.3,36.3,45.6,23.4,6.7,5.1,12.1,16.8,105.4
San Antonio Spurs,39.9,82.7,9.3,22.5,30.6,60.2,18.5,22.6,.819,9.3,33.5,42.8,24.5,8.0,5.7,13.0,18.4,107.6
Boston Celtics,38.9,86.1,12.0,32.6,26.9,53.5,17.5,21.5,.813,9.4,31.7,41.2,25.0,7.5,4.5,12.6,20.3,107.3
Orlando Magic,38.3,86.8,8.9,26.5,29.4,60.3,14.5,20.2,.717,9.9,33.1,43.0,22.3,6.8,5.3,13.1,18.6,99.9
Cleveland Cavaliers,38.8,85.4,12.8,33.3,26.0,52.1,19.0,25.1,.756,10.2,33.7,43.9,21.6,7.4,3.9,13.9,18.1,109.3
Memphis Grizzlies,36.0,84.6,9.0,26.2,27.0,58.5,18.5,23.8,.780,10.9,32.8,43.7,20.7,8.6,4.5,13.1,23.8,99.7
Brooklyn Nets,38.0,85.9,11.3,33.1,26.7,52.8,18.8,23.9,.787,8.9,35.1,44.0,21.5,7.4,4.6,17.0,20.9,106.2
Washington Wizards,40.6,86.2,8.5,23.3,32.1,63.0,16.5,21.0,.785,10.3,32.2,42.5,23.3,8.7,3.9,14.4,21.3,106.1
Chicago Bulls,37.6,86.7,6.4,20.4,31.2,66.3,19.6,24.4,.805,13.5,33.9,47.4,20.9,7.7,5.1,13.6,17.6,101.2
Minnesota Timberwolves,38.4,83.5,7.8,22.4,30.6,61.2,18.7,23.8,.787,11.6,31.2,42.8,22.9,7.5,4.7,14.9,20.7,103.3
Indiana Pacers,39.3,85.1,8.3,22.6,31.0,62.5,18.4,22.6,.815,8.5,33.4,41.9,22.5,8.7,5.4,14.3,19.3,105.4
Atlanta Hawks,38.7,84.8,8.8,25.7,29.8,59.2,16.7,23.3,.719,10.5,33.2,43.7,24.0,8.7,5.0,15.5,17.8,102.9
New Orleans Pelicans,38.4,87.5,9.3,26.4,29.0,61.1,16.8,22.3,.752,8.7,35.8,44.4,22.8,7.6,5.9,12.7,18.3,102.8
Detroit Pistons,39.3,86.8,7.9,23.0,31.4,63.8,14.0,19.0,.738,10.0,34.1,44.1,21.2,7.2,3.9,12.2,18.4,100.5
Milwaukee Bucks,39.4,83.5,8.5,23.2,30.9,60.4,17.1,22.5,.761,9.6,32.9,42.4,24.6,8.0,5.4,13.8,19.9,104.4
Utah Jazz,36.3,78.0,9.6,26.1,26.7,51.9,17.5,23.4,.749,8.9,34.1,42.9,19.4,6.5,5.0,13.8,19.1,99.7
Sacramento Kings,37.1,82.1,8.8,24.8,28.3,57.3,19.3,24.7,.780,9.3,31.3,40.6,21.8,8.1,4.1,14.2,20.6,102.3
Miami Heat,37.8,85.5,8.8,25.6,29.0,59.9,14.5,21.4,.676,10.5,33.6,44.1,21.0,6.8,5.4,13.2,20.6,98.8
Dallas Mavericks,35.8,82.1,10.8,30.3,25.0,51.8,14.1,17.7,.797,8.3,29.9,38.2,20.2,7.6,3.8,12.2,19.3,96.6
Philadelphia 76ers,36.4,84.1,10.5,29.9,25.8,54.2,15.8,20.9,.753,9.7,33.9,43.6,22.8,7.8,5.8,17.1,21.7,99.0
