team_name,age,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,40,7,13.36,-0.45,12.91,116.6,103.4,100.6,.267,.355,.605,.571,13.4,22.3,.210,.484,13.0,75.9,.197
San Antonio Spurs,29.7,35,11,8.39,-0.23,8.16,113.6,104.8,94.3,.275,.273,.578,.535,12.2,23.0,.225,.498,13.5,77.7,.200
Houston Rockets,27.4,34,16,6.26,0.05,6.31,114.8,108.5,99.1,.285,.457,.588,.553,13.9,24.8,.218,.519,13.5,76.3,.202
Toronto Raptors,26.1,31,16,5.13,0.03,5.16,114.1,108.8,95.6,.299,.289,.565,.518,11.0,25.1,.242,.514,14.3,74.8,.224
Cleveland Cavaliers,29.0,29,16,4.62,-0.30,4.32,112.9,108.2,96.7,.294,.392,.568,.532,12.6,23.7,.220,.515,12.5,75.8,.173
Los Angeles Clippers,30.1,30,18,3.96,-0.48,3.48,111.5,107.5,96.3,.303,.326,.568,.530,12.2,22.3,.227,.500,12.2,77.0,.217
Utah Jazz,26.6,31,18,3.80,-0.31,3.48,108.6,104.4,91.2,.303,.332,.562,.522,13.3,21.9,.229,.484,11.7,77.8,.189
Boston Celtics,25.9,27,20,2.47,-0.03,2.44,111.9,109.4,96.0,.249,.380,.565,.525,11.7,21.7,.203,.507,12.9,74.3,.224
Oklahoma City Thunder,24.5,25,22,1.17,0.13,1.30,108.0,106.8,97.6,.300,.300,.546,.507,13.4,26.0,.222,.506,12.5,77.7,.205
Charlotte Hornets,26.7,27,21,1.60,-0.33,1.27,108.4,106.8,96.4,.290,.319,.544,.498,11.1,21.0,.232,.508,11.6,79.6,.164
Memphis Grizzlies,29.1,25,24,0.33,0.69,1.01,106.0,105.7,92.7,.281,.309,.528,.483,11.9,24.3,.219,.499,13.8,78.8,.269
Washington Wizards,26.0,25,21,1.39,-0.55,0.85,109.5,108.0,96.8,.242,.272,.560,.525,13.2,24.1,.190,.519,14.1,76.0,.213
Milwaukee Bucks,25.5,24,23,0.06,-0.17,-0.11,109.1,109.0,95.4,.273,.278,.559,.522,13.1,23.1,.208,.513,13.3,75.6,.213
Minnesota Timberwolves,23.6,22,25,-0.66,0.13,-0.53,109.4,110.1,94.7,.287,.266,.552,.509,13.5,27.1,.225,.527,13.4,77.2,.222
Denver Nuggets,25.3,22,24,-0.76,0.15,-0.62,111.7,112.4,98.1,.298,.309,.560,.519,13.5,28.3,.228,.525,10.7,78.8,.209
Atlanta Hawks,28.3,23,24,-0.28,-0.55,-0.82,105.4,105.7,97.3,.274,.306,.542,.508,13.9,23.8,.198,.509,14.1,75.7,.175
Detroit Pistons,25.5,22,25,-1.02,0.20,-0.82,106.2,107.3,94.3,.217,.264,.529,.500,11.4,22.7,.160,.513,12.2,80.1,.207
Chicago Bulls,27.6,23,25,-0.31,-0.79,-1.10,106.7,107.1,94.6,.284,.235,.520,.471,12.3,29.1,.228,.509,12.4,76.7,.165
Portland Trail Blazers,25.1,20,28,-2.63,0.54,-2.09,109.1,111.8,97.3,.274,.327,.555,.514,12.4,21.9,.215,.513,12.0,75.6,.248
New Orleans Pelicans,25.6,20,27,-2.51,0.26,-2.25,104.2,106.7,98.2,.253,.305,.532,.496,11.4,18.5,.189,.503,12.1,77.4,.178
Miami Heat,26.4,20,28,-2.73,0.44,-2.29,104.1,107.0,95.0,.250,.300,.525,.498,12.2,23.0,.170,.498,12.2,76.8,.206
Indiana Pacers,27.1,21,25,-1.11,-1.20,-2.30,107.2,108.4,97.4,.268,.267,.557,.513,13.1,19.6,.219,.511,13.9,74.8,.220
Sacramento Kings,28.9,19,28,-2.70,0.32,-2.38,108.3,111.2,94.1,.304,.304,.554,.509,13.2,22.3,.237,.531,13.7,75.8,.238
Dallas Mavericks,27.9,18,28,-3.39,0.71,-2.68,105.1,108.8,91.4,.216,.367,.538,.503,11.8,18.9,.172,.532,15.0,77.4,.230
New York Knicks,27.6,20,28,-2.58,-0.23,-2.82,108.3,110.9,96.8,.234,.282,.536,.499,12.7,27.3,.184,.506,11.6,75.1,.225
Phoenix Suns,25.8,16,31,-5.45,0.94,-4.50,106.3,111.8,99.1,.289,.265,.540,.496,13.7,26.4,.226,.527,13.7,76.7,.260
Philadelphia 76ers,25.0,15,30,-5.09,-0.21,-5.30,101.9,107.1,97.5,.254,.354,.537,.501,15.5,21.9,.193,.505,13.2,75.7,.220
Orlando Magic,25.6,15,33,-5.67,-0.11,-5.78,103.3,109.2,96.1,.232,.304,.522,.491,12.1,21.8,.167,.517,12.0,77.2,.192
Los Angeles Lakers,25.9,15,35,-6.42,0.50,-5.92,106.0,112.6,97.8,.268,.298,.536,.496,13.6,25.4,.205,.536,12.5,75.7,.206
Brooklyn Nets,26.3,11,36,-9.15,0.70,-8.45,103.7,112.7,101.8,.277,.382,.552,.509,14.8,18.9,.219,.524,11.4,75.6,.203
