team_name,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,pct_fg2_layup,fg2_layup,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,.454,13.0,.695,.322,.120,.096,.157,.305,.501,.627,.349,.391,.423,.347,.544,.052,198,.279,643,.896,.230,.427,6,0
Boston Celtics,.455,14.1,.620,.296,.133,.074,.117,.380,.507,.629,.384,.414,.400,.369,.561,.030,115,.278,670,.845,.219,.451,11,0
Brooklyn Nets,.443,13.3,.620,.307,.177,.070,.067,.380,.506,.599,.448,.392,.349,.340,.438,.031,114,.304,698,.846,.224,.349,10,0
Chicago Bulls,.436,12.5,.766,.285,.173,.126,.182,.234,.472,.575,.463,.390,.375,.318,.490,.037,140,.263,596,.857,.260,.407,6,0
Charlotte Hornets,.440,13.5,.680,.292,.140,.097,.150,.320,.481,.608,.385,.400,.375,.355,.560,.035,138,.262,619,.786,.144,.378,10,0
Cleveland Cavaliers,.457,14.3,.609,.286,.117,.099,.108,.391,.504,.648,.313,.418,.409,.382,.430,.051,191,.242,559,.823,.293,.422,5,0
Dallas Mavericks,.438,15.3,.633,.201,.126,.121,.184,.367,.487,.629,.438,.448,.392,.354,.441,.035,122,.170,382,.829,.194,.390,7,0
Denver Nuggets,.462,12.6,.692,.327,.163,.082,.120,.308,.505,.613,.432,.383,.395,.365,.510,.049,182,.284,644,.874,.198,.372,11,0
Detroit Pistons,.454,13.0,.736,.248,.195,.137,.155,.264,.496,.646,.401,.455,.410,.338,.455,.042,161,.210,517,.845,.215,.401,20,1
Golden State Warriors,.501,14.2,.645,.296,.106,.114,.131,.355,.564,.693,.448,.453,.462,.386,.663,.069,277,.235,600,.834,.203,.389,21,1
Houston Rockets,.467,14.5,.542,.312,.132,.041,.056,.458,.554,.679,.390,.364,.403,.365,.549,.074,297,.263,723,.787,.204,.398,11,0
Indiana Pacers,.465,13.4,.733,.239,.190,.111,.193,.267,.501,.621,.479,.417,.423,.367,.495,.036,127,.233,541,.844,.246,.401,12,1
Los Angeles Clippers,.468,14.2,.674,.274,.118,.086,.197,.326,.510,.649,.381,.422,.431,.381,.499,.064,229,.225,517,.780,.209,.405,9,0
Los Angeles Lakers,.445,12.9,.702,.282,.185,.109,.126,.298,.484,.631,.379,.388,.394,.354,.452,.052,205,.236,587,.796,.216,.387,9,1
Memphis Grizzlies,.430,13.5,.690,.284,.163,.095,.149,.310,.465,.567,.422,.386,.365,.354,.480,.029,105,.266,593,.827,.193,.425,18,0
Miami Heat,.445,13.0,.699,.292,.166,.093,.148,.301,.486,.612,.396,.379,.405,.352,.448,.050,192,.244,553,.894,.320,.400,9,0
Milwaukee Bucks,.471,11.5,.722,.371,.171,.074,.107,.278,.511,.634,.387,.359,.390,.367,.544,.077,277,.293,641,.918,.278,.380,7,0
Minnesota Timberwolves,.461,12.7,.732,.297,.160,.094,.182,.268,.501,.627,.438,.393,.404,.354,.535,.056,211,.244,548,.853,.257,.412,5,0
New Orleans Pelicans,.441,13.4,.693,.279,.164,.100,.149,.307,.478,.599,.404,.391,.388,.359,.515,.043,172,.247,576,.818,.208,.389,5,0
New York Knicks,.445,13.4,.715,.292,.120,.130,.172,.285,.480,.590,.357,.433,.412,.358,.454,.041,169,.256,611,.832,.222,.458,19,0
Oklahoma City Thunder,.454,12.1,.700,.348,.143,.103,.106,.300,.509,.627,.401,.408,.371,.323,.472,.063,238,.286,683,.805,.267,.357,12,1
Orlando Magic,.442,13.6,.695,.258,.167,.112,.158,.305,.489,.623,.419,.441,.374,.335,.496,.037,149,.227,556,.878,.177,.303,15,0
Philadelphia 76ers,.440,13.7,.648,.284,.148,.101,.115,.352,.486,.641,.363,.367,.372,.356,.544,.039,142,.254,590,.871,.160,.422,6,0
Phoenix Suns,.449,12.6,.735,.315,.145,.115,.160,.265,.487,.621,.400,.376,.383,.344,.379,.053,199,.268,634,.804,.295,.318,14,0
Portland Trail Blazers,.456,13.7,.673,.283,.141,.096,.153,.327,.502,.604,.420,.429,.437,.360,.474,.047,188,.238,561,.816,.207,.369,12,0
Sacramento Kings,.454,13.1,.693,.281,.185,.077,.150,.307,.495,.640,.417,.385,.379,.361,.505,.045,161,.274,638,.892,.249,.397,14,0
San Antonio Spurs,.478,13.4,.728,.253,.165,.112,.199,.272,.504,.645,.416,.407,.449,.409,.523,.047,166,.216,502,.881,.276,.433,9,0
Toronto Raptors,.464,13.2,.709,.256,.183,.119,.152,.291,.501,.622,.451,.425,.414,.374,.375,.044,169,.229,531,.786,.250,.374,8,1
Utah Jazz,.462,13.4,.668,.284,.151,.102,.131,.332,.512,.655,.430,.444,.353,.362,.443,.063,220,.226,504,.791,.248,.365,9,1
Washington Wizards,.477,13.0,.729,.292,.141,.113,.183,.271,.517,.635,.443,.444,.430,.370,.496,.042,156,.259,633,.845,.266,.329,7,0
