"team_name","age","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","W_PCT","HOME_RECORD","ROAD_RECORD","L10","CurrentStreak"
"Golden State Warriors",28,47,9,12.82,-0.39,12.44,116.8,104.1,100.5,0.268,0.362,0.605,0.571,13.1,21.6,0.211,0.488,13.3,75.7,0.201,13540,0.436,13.5,0.682,0.283,0.156,0.098,0.145,0.318,0.488,0.623,0.383,0.383,0.409,0.326,0.5,0.048,222,0.244,693,0.829,0.206,0.365,39.1,89.6,9.3,28.5,29.8,61.1,18,23.5,0.765,11.5,32,43.5,22.6,8.6,3.9,15.4,20,105.4,0.501,14.2,0.638,0.295,0.105,0.109,0.13,0.362,0.565,0.697,0.431,0.45,0.465,0.388,0.661,0.075,349,0.23,683,0.828,0.205,0.397,23,1,43.8,87.4,12.3,31.6,31.5,55.8,18.5,23.4,0.789,8.8,35.7,44.5,31,9.6,6.6,14.7,19.2,118.2,0.839,0.888888888888889,0.793103448275862,0.8,1
"San Antonio Spurs",29.6,42,14,8.36,-0.58,7.78,112.3,103.5,94.6,0.276,0.271,0.571,0.529,12.4,23.4,0.223,0.492,13.5,78.2,0.201,13490,0.442,12.9,0.707,0.291,0.166,0.101,0.148,0.293,0.484,0.601,0.367,0.42,0.428,0.341,0.497,0.05,212,0.255,637,0.841,0.241,0.334,36.7,83,8.3,24.3,28.4,58.7,16.7,21.4,0.777,9.5,31.5,41,21.1,7.5,4.2,14.5,20,98.4,0.475,13.3,0.729,0.253,0.166,0.113,0.198,0.271,0.503,0.646,0.416,0.407,0.444,0.4,0.52,0.047,199,0.216,586,0.877,0.273,0.427,9,0,39.6,83.3,9,22.5,30.5,60.7,18.6,23,0.808,9.6,34.1,43.8,23.8,8.1,5.8,13.2,18.5,106.7,0.768,0.76,0.774193548387097,0.7,2
"Houston Rockets",27.4,40,18,6.45,-0.24,6.21,114.5,108,99.3,0.291,0.459,0.585,0.548,13.6,24.5,0.222,0.518,13.5,76.4,0.199,14020,0.461,13.4,0.679,0.285,0.168,0.084,0.141,0.321,0.513,0.691,0.407,0.369,0.366,0.352,0.496,0.047,231,0.256,822,0.82,0.238,0.388,40.4,87.5,9.9,28.1,30.5,59.5,17.4,22.5,0.773,10.3,32.9,43.2,23.2,8.6,5,15.2,20.2,108,0.465,14.5,0.541,0.309,0.132,0.044,0.056,0.459,0.551,0.676,0.386,0.37,0.399,0.364,0.547,0.074,334,0.261,791,0.78,0.205,0.399,11,0,40.3,86.8,14.5,39.8,25.9,47,19.3,25.3,0.763,10.6,33.3,44,25.4,8.3,4.5,15.4,20.1,114.4,0.69,0.75,0.633333333333333,0.6,-1
"Cleveland Cavaliers",29,37,18,5.38,-0.45,4.93,114.2,108.7,96.8,0.29,0.394,0.578,0.542,12.6,23.3,0.219,0.513,12.2,75.5,0.171,13300,0.455,13.3,0.68,0.29,0.15,0.104,0.135,0.32,0.499,0.631,0.388,0.408,0.412,0.362,0.528,0.046,198,0.249,696,0.826,0.243,0.368,40.3,88.5,10.3,28.3,30,60.2,15.1,19.5,0.775,11,32.7,43.8,24.3,7.5,4.7,13.5,21.4,106,0.465,14.3,0.606,0.287,0.113,0.098,0.108,0.394,0.514,0.659,0.33,0.419,0.406,0.39,0.434,0.054,234,0.24,661,0.824,0.294,0.425,6,0,39.8,85.5,13.1,33.6,26.6,51.8,18.7,24.8,0.754,10,34.1,44,22.4,7.3,4,13.9,18,111.3,0.709,0.827586206896552,0.576923076923077,0.8,3
"Utah Jazz",26.7,37,20,4.54,-0.3,4.25,109.2,104.3,91.4,0.298,0.333,0.563,0.524,13.2,22.4,0.225,0.489,11.9,78.8,0.191,13730,0.439,12.8,0.721,0.293,0.167,0.11,0.151,0.279,0.471,0.597,0.377,0.363,0.405,0.357,0.408,0.048,195,0.246,616,0.778,0.191,0.39,35.9,81.9,8.2,22.9,27.8,59,15.7,20.6,0.759,9.2,31.4,40.5,17.7,7.1,3.6,12.3,20.5,95.7,0.464,13.3,0.667,0.286,0.151,0.104,0.126,0.333,0.514,0.657,0.421,0.446,0.357,0.364,0.441,0.065,267,0.226,592,0.796,0.269,0.364,10,1,36.5,78.7,9.5,26.2,27,52.5,17.7,23.4,0.754,9.1,34,43,19.5,6.8,4.8,13.5,19,100.2,0.614,0.645161290322581,0.576923076923077,0.6,1
"Toronto Raptors",26.1,36,21,4.14,-0.31,3.83,113.3,109,95.2,0.297,0.293,0.564,0.518,11.3,24.8,0.238,0.514,13.9,75.4,0.227,13755,0.454,13.4,0.669,0.274,0.179,0.092,0.124,0.331,0.5,0.653,0.393,0.394,0.397,0.361,0.493,0.053,233,0.249,654,0.834,0.239,0.358,37.8,83.1,9.9,27.5,27.8,55.6,18.9,24.1,0.782,10.4,32.5,42.9,22,6.5,4.7,15.1,20.4,104.3,0.464,13.3,0.707,0.256,0.183,0.119,0.15,0.293,0.503,0.629,0.449,0.442,0.399,0.37,0.38,0.047,208,0.229,614,0.772,0.252,0.377,10,1,39.5,85.1,9.2,24.9,30.3,60.2,20.3,25.2,0.803,10.7,31.9,42.6,18.6,8.6,4.9,12.3,20.9,108.5,0.579,0.655172413793103,0.5,0.4,1
"Los Angeles Clippers",30,35,21,3.8,-0.14,3.67,111.6,107.7,96.3,0.301,0.328,0.568,0.531,12.2,22.1,0.225,0.499,12.1,76.7,0.214,13490,0.447,13.6,0.698,0.262,0.155,0.123,0.159,0.302,0.491,0.646,0.436,0.401,0.36,0.345,0.513,0.049,218,0.229,636,0.832,0.223,0.377,38.4,85.9,8.9,25.9,29.5,60,18.4,23.9,0.772,10.4,32.9,43.4,22.6,7.2,3.4,13.3,21.9,104.1,0.468,14.2,0.672,0.276,0.119,0.08,0.196,0.328,0.512,0.647,0.386,0.414,0.437,0.38,0.492,0.066,275,0.226,601,0.79,0.202,0.407,11,0,39.3,83.9,10.4,27.5,28.9,56.4,18.9,25.3,0.748,9.3,34.3,43.6,22.4,7.7,4.7,13.1,20.3,107.9,0.625,0.692307692307692,0.566666666666667,0.5,4
"Boston Celtics",25.9,34,23,2.75,-0.14,2.62,112.1,109.3,96.1,0.261,0.388,0.569,0.528,11.8,21.1,0.213,0.506,12.7,74.7,0.224,13755,0.453,13.6,0.685,0.276,0.162,0.095,0.151,0.315,0.504,0.62,0.425,0.416,0.43,0.341,0.505,0.044,198,0.24,658,0.851,0.22,0.362,38.7,85.4,9.2,26.9,29.5,58.5,19.1,24.8,0.771,10.9,33.9,44.8,22.7,7.4,5,14.1,19.6,105.6,0.457,14.2,0.612,0.293,0.134,0.074,0.112,0.388,0.512,0.638,0.385,0.409,0.402,0.37,0.555,0.031,138,0.273,785,0.836,0.217,0.433,14,0,39,85.4,12.2,33.1,26.8,52.3,18.2,22.3,0.815,9.1,32.1,41.2,25.1,7.5,4.2,12.8,20.4,108.4,0.649,0.714285714285714,0.586206896551724,0.8,-1
"Washington Wizards",26,32,23,2.8,-0.85,1.95,110.6,107.7,96.8,0.244,0.277,0.564,0.53,13,24.2,0.191,0.514,14,75.4,0.211,13325,0.457,13.6,0.677,0.287,0.146,0.099,0.145,0.323,0.507,0.628,0.404,0.455,0.409,0.353,0.503,0.048,207,0.246,648,0.833,0.219,0.385,38.8,84.9,9.7,27.4,29.2,57.5,17.9,24,0.748,10.7,32,42.7,22.7,7.5,4.2,15.5,19.5,105.3,0.478,13.1,0.723,0.294,0.139,0.111,0.18,0.277,0.516,0.633,0.431,0.438,0.44,0.376,0.493,0.043,183,0.258,723,0.855,0.27,0.349,7,0,41.3,86.5,9,23.9,32.3,62.5,16.5,21.1,0.783,10.2,32.9,43.1,23.6,8.5,4.2,14.3,21.2,108.1,0.618,0.774193548387097,0.416666666666667,0.9,4
"Memphis Grizzlies",29.3,32,26,1.29,0.55,1.84,107,105.6,92.9,0.291,0.309,0.533,0.486,12.1,24.8,0.229,0.497,13.8,78,0.269,14120,0.436,14,0.646,0.276,0.148,0.086,0.136,0.354,0.487,0.617,0.412,0.378,0.373,0.343,0.476,0.042,173,0.248,632,0.826,0.239,0.39,34.4,78.9,9.6,27.9,24.8,50.9,21.2,28.4,0.746,9.2,33.1,42.3,19.7,7,5.1,14.7,21.4,99.5,0.432,13.4,0.691,0.289,0.157,0.096,0.149,0.309,0.467,0.573,0.42,0.389,0.36,0.353,0.491,0.031,133,0.269,696,0.817,0.187,0.431,20,0,36.2,83.9,9.2,26,27.1,57.9,19.2,24.4,0.789,10.9,32.5,43.4,20.8,8.4,4.6,13.1,23.5,100.8,0.586,0.620689655172414,0.551724137931034,0.7,-1
