"team_name","age","wins","losses","wins_pyth","losses_pyth","mov","sos","srs","off_rtg","def_rtg","pace","fta_per_fga_pct","fg3a_per_fga_pct","ts_pct","efg_pct","tov_pct","orb_pct","ft_rate","opp_efg_pct","opp_tov_pct","drb_pct","opp_ft_rate","opp_mp","opp_fg_pct","opp_avg_dist","opp_fg2a_pct_fga","opp_pct_fga_00_03","opp_pct_fga_03_10","opp_pct_fga_10_16","opp_pct_fga_16_xx","opp_fg3a_pct_fga","opp_fg2_pct","opp_fg_pct_00_03","opp_fg_pct_03_10","opp_fg_pct_10_16","opp_fg_pct_16_xx","opp_fg3_pct","opp_fg2_pct_ast","opp_pct_fg2_dunk","opp_fg2_dunk","opp_pct_fg2_layup","opp_fg2_layup","opp_fg3_pct_ast","opp_pct_fg3a_corner","opp_fg3_pct_corner","opp_fg","opp_fga","opp_fg3","opp_fg3a","opp_fg2","opp_fg2a","opp_ft","opp_fta","opp_ft_pct","opp_orb","opp_drb","opp_trb","opp_ast","opp_stl","opp_blk","opp_tov","opp_pf","opp_pts","fg_pct","avg_dist","fg2a_pct_fga","pct_fga_00_03","pct_fga_03_10","pct_fga_10_16","pct_fga_16_xx","fg3a_pct_fga","fg2_pct","fg_pct_00_03","fg_pct_03_10","fg_pct_10_16","fg_pct_16_xx","fg3_pct","fg2_pct_ast","pct_fg2_dunk","fg2_dunk","pct_fg2_layup","fg2_layup","fg3_pct_ast","pct_fg3a_corner","fg3_pct_corner","fg3a_heave","fg3_heave","fg","fga","fg3","fg3a","fg2","fg2a","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","W_PCT","HOME_RECORD","ROAD_RECORD","L10","CurrentStreak"
"Golden State Warriors",28.2,66,14,65,15,11.81,-0.26,11.55,115.8,104,99.8,0.26,0.359,0.598,0.564,13.2,22.8,0.205,0.485,13.5,74.9,0.201,19300,0.434,13.2,0.687,0.296,0.157,0.096,0.138,0.313,0.484,0.62,0.373,0.366,0.403,0.324,0.509,0.051,327,0.252,996,0.827,0.202,0.351,38.7,89.1,9,27.8,29.7,61.3,17.9,23.5,0.763,11.7,31.9,43.6,22.6,8.6,3.9,15.5,19.4,104.4,0.495,14,0.641,0.304,0.103,0.105,0.129,0.359,0.556,0.688,0.406,0.437,0.463,0.385,0.657,0.073,469,0.238,994,0.832,0.21,0.412,28,1,43.2,87.2,12,31.3,31.1,55.9,17.9,22.6,0.79,9.4,35,44.4,30.5,9.6,6.8,14.7,19.4,116.2,0.825,0.897435897435897,0.75609756097561,1,14
"San Antonio Spurs",29.6,61,19,59,21,7.44,-0.11,7.32,111.2,103.4,94.3,0.265,0.282,0.565,0.525,12.5,23.8,0.211,0.491,13.5,77.7,0.193,19325,0.442,12.7,0.717,0.295,0.165,0.105,0.151,0.283,0.482,0.596,0.367,0.412,0.432,0.343,0.509,0.052,300,0.254,882,0.829,0.246,0.332,37,83.4,8.1,23.6,28.9,59.8,16.1,20.9,0.772,9.8,31.8,41.5,21.4,7.5,4.1,14.5,19.9,98.1,0.471,13.3,0.719,0.255,0.159,0.116,0.189,0.281,0.502,0.65,0.431,0.387,0.432,0.392,0.528,0.048,281,0.216,830,0.879,0.269,0.437,12,0,39.3,83.7,9.2,23.6,30.1,60.1,17.7,22.2,0.798,9.9,34,43.9,24,8,6,13.4,18.3,105.5,0.763,0.75609756097561,0.769230769230769,0.7,-1
"Houston Rockets",27.5,53,26,54,25,6.2,0.08,6.28,114.7,108.5,100,0.304,0.46,0.583,0.544,13.3,24.7,0.233,0.518,13.4,75.7,0.193,19060,0.462,13.3,0.669,0.293,0.161,0.078,0.136,0.331,0.521,0.686,0.412,0.383,0.375,0.342,0.504,0.05,329,0.26,1126,0.828,0.233,0.364,40.9,88.7,10,29.2,30.9,59.5,17.2,22.1,0.777,10.7,33.3,44,23.9,8.5,5.1,15.3,20.6,109,0.463,14.2,0.542,0.323,0.126,0.042,0.051,0.458,0.55,0.664,0.387,0.371,0.386,0.359,0.542,0.075,452,0.272,1099,0.769,0.203,0.395,13,0,40.3,87.2,14.4,40.1,25.9,47.1,20.3,26.5,0.765,10.9,33.5,44.4,25.1,8.2,4.3,15.2,19.9,115.2,0.675,0.725,0.625,0.6,1
"Los Angeles Clippers",30,49,31,50,30,3.79,0.12,3.91,112.3,108.4,96.1,0.312,0.33,0.574,0.536,12.2,21.4,0.232,0.506,12.1,76.8,0.212,19275,0.452,13.5,0.692,0.263,0.153,0.118,0.157,0.308,0.498,0.658,0.429,0.403,0.367,0.351,0.523,0.052,326,0.226,896,0.826,0.22,0.38,38.6,85.4,9.2,26.3,29.4,59.1,18.1,23.5,0.772,10.3,33,43.2,23,7.2,3.2,13.2,22.4,104.6,0.474,14.2,0.67,0.272,0.119,0.081,0.197,0.33,0.523,0.658,0.42,0.418,0.44,0.376,0.493,0.066,390,0.221,839,0.78,0.2,0.422,16,2,39.4,83.1,10.3,27.4,29.2,55.7,19.3,25.9,0.744,9,34,43,22.4,7.5,4.3,13.1,19.9,108.4,0.613,0.692307692307692,0.536585365853659,0.8,5
"Utah Jazz",26.8,49,31,51,29,3.91,-0.17,3.75,109.5,105.3,91.5,0.29,0.326,0.563,0.526,13.2,23.2,0.217,0.492,11.7,79,0.196,19275,0.442,12.7,0.721,0.292,0.164,0.112,0.152,0.279,0.476,0.594,0.391,0.386,0.405,0.356,0.408,0.049,272,0.244,838,0.776,0.192,0.37,36.3,82,8.2,22.9,28.1,59.1,16.1,20.9,0.769,9,31.1,40.1,17.8,7.3,3.8,12.1,20.3,96.7,0.465,13,0.673,0.296,0.152,0.105,0.12,0.327,0.511,0.65,0.417,0.425,0.361,0.37,0.449,0.068,388,0.234,832,0.794,0.276,0.385,13,1,36.9,79.3,9.6,25.8,27.3,53.5,17.2,23,0.749,9.4,33.9,43.3,20,6.7,5,13.6,18.9,100.7,0.613,0.7,0.525,0.6,-1
"Toronto Raptors",26.1,49,31,50,30,3.96,-0.54,3.42,112.2,108,94.8,0.294,0.287,0.561,0.516,11.8,25.1,0.235,0.508,13.6,76.1,0.224,19300,0.45,13.3,0.672,0.27,0.177,0.095,0.13,0.328,0.496,0.647,0.399,0.385,0.396,0.356,0.493,0.051,310,0.245,888,0.84,0.237,0.369,37.3,83,9.7,27.2,27.7,55.8,18.6,23.9,0.779,10.2,31.9,42.1,21.7,6.7,4.8,14.7,20.4,103,0.464,13.1,0.712,0.254,0.184,0.12,0.154,0.288,0.505,0.627,0.455,0.448,0.406,0.364,0.373,0.041,251,0.234,876,0.814,0.274,0.38,10,1,39.1,84.4,8.8,24.2,30.3,60.2,19.8,24.9,0.797,10.7,32.5,43.2,18.5,8.3,5,12.8,20.9,106.9,0.617,0.682926829268293,0.55,0.8,3
"Cleveland Cavaliers",29.1,51,28,48,31,3.54,-0.39,3.16,113.9,110.2,96.2,0.276,0.397,0.58,0.548,12.5,22,0.206,0.516,11.5,75.7,0.172,19110,0.457,13.2,0.678,0.29,0.148,0.105,0.135,0.322,0.502,0.632,0.402,0.404,0.408,0.362,0.522,0.047,294,0.248,982,0.841,0.236,0.369,40.6,88.7,10.4,28.6,30.2,60.1,15.3,19.7,0.776,11,33.1,44.2,24.6,7.3,4.3,12.7,20.5,106.8,0.471,14.3,0.603,0.288,0.109,0.094,0.114,0.397,0.527,0.662,0.357,0.429,0.427,0.387,0.438,0.06,367,0.234,901,0.833,0.29,0.424,6,0,40,84.8,13,33.7,27,51.1,17.5,23.4,0.747,9.3,34.3,43.6,22.7,6.6,4,13.5,18,110.4,0.638,0.775,0.5,0.5,-2
"Boston Celtics",25.9,51,29,46,34,2.36,-0.31,2.05,111.1,108.7,96.7,0.273,0.392,0.567,0.525,12.3,21.2,0.221,0.504,12.6,75.2,0.222,19275,0.452,13.4,0.686,0.283,0.16,0.092,0.15,0.314,0.505,0.625,0.431,0.406,0.419,0.334,0.503,0.047,294,0.244,935,0.847,0.212,0.347,38.8,85.8,9,27,29.7,58.8,19,24.8,0.766,10.8,33.7,44.5,22.6,7.6,5.1,13.9,20.3,105.5,0.453,14.1,0.608,0.295,0.131,0.071,0.111,0.392,0.514,0.632,0.396,0.421,0.4,0.359,0.564,0.032,198,0.272,1069,0.837,0.22,0.412,20,0,38.6,85,12,33.3,26.6,51.6,18.8,23.2,0.808,9.1,32.8,41.8,25.1,7.5,4.2,13.3,20.6,107.9,0.638,0.717948717948718,0.560975609756098,0.7,1
"Washington Wizards",26,48,32,45,35,1.9,-0.46,1.44,111.3,109.3,97.4,0.256,0.285,0.564,0.528,12.8,24.2,0.2,0.524,13.8,75.5,0.217,19375,0.466,13.4,0.679,0.293,0.146,0.1,0.141,0.321,0.514,0.637,0.405,0.454,0.411,0.364,0.495,0.052,317,0.248,958,0.823,0.211,0.404,39.6,84.9,9.9,27.2,29.7,57.8,18.4,24.6,0.75,10.6,32.4,43,22.9,7.4,4.7,15.4,19.9,107.4,0.474,13,0.715,0.3,0.137,0.109,0.169,0.285,0.514,0.629,0.428,0.427,0.438,0.374,0.497,0.047,292,0.26,1040,0.86,0.254,0.357,10,0,41.3,87.1,9.3,24.8,32,62.2,17.5,22.3,0.783,10.3,32.6,42.9,23.9,8.5,4.2,14.2,21.5,109.3,0.6,0.731707317073171,0.461538461538462,0.6,-1
"Memphis Grizzlies",29.5,43,37,42,38,0.75,0.52,1.27,107.8,107,92.4,0.281,0.317,0.535,0.491,12.1,24.7,0.22,0.505,13.6,77.6,0.257,19425,0.443,13.9,0.645,0.276,0.144,0.09,0.135,0.355,0.491,0.621,0.42,0.38,0.374,0.355,0.478,0.043,239,0.247,866,0.818,0.241,0.4,34.9,78.9,9.9,28,25,50.9,20.3,26.9,0.753,9.2,32.9,42.2,20,7,5,14.3,21,100,0.435,13.3,0.683,0.288,0.158,0.093,0.144,0.317,0.474,0.578,0.417,0.386,0.382,0.351,0.505,0.032,192,0.268,947,0.814,0.191,0.406,27,0,36.4,83.7,9.4,26.5,27.1,57.1,18.5,23.5,0.784,10.8,32.1,42.9,21.3,8,4.2,12.9,22.5,100.7,0.531,0.6,0.463414634146341,0.3,-1
