team_name,age,wins,losses,wins_pyth,losses_pyth,mov,sos,srs,off_rtg,def_rtg,pace,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,efg_pct,tov_pct,orb_pct,ft_rate,opp_efg_pct,opp_tov_pct,drb_pct,opp_ft_rate
Golden State Warriors,28.2,66,15,66,15,11.59,-0.21,11.38,115.7,104.1,99.7,.259,.358,.598,.564,13.2,22.7,.205,.486,13.5,74.8,.200
San Antonio Spurs,29.6,61,20,59,22,7.33,-0.12,7.21,111.2,103.4,94.2,.265,.281,.564,.525,12.6,23.9,.211,.491,13.4,77.6,.193
Houston Rockets,27.4,54,27,54,27,5.78,0.08,5.86,114.6,108.9,100.0,.306,.461,.583,.545,13.3,24.5,.234,.519,13.2,75.8,.195
Los Angeles Clippers,30.0,50,31,51,30,4.10,0.17,4.27,112.5,108.3,96.2,.312,.329,.574,.537,12.1,21.5,.233,.505,12.2,76.9,.212
Utah Jazz,26.8,50,31,52,29,3.94,-0.03,3.91,109.6,105.3,91.5,.288,.327,.562,.526,13.2,23.3,.216,.493,11.7,79.1,.195
Toronto Raptors,26.1,50,31,51,30,4.07,-0.59,3.48,112.3,108.0,94.8,.295,.288,.561,.517,11.8,24.9,.235,.508,13.5,76.3,.223
Cleveland Cavaliers,29.2,51,30,49,32,3.41,-0.37,3.04,113.8,110.3,96.3,.274,.398,.581,.548,12.5,22.0,.205,.516,11.5,75.8,.175
Boston Celtics,25.9,52,29,47,34,2.44,-0.38,2.06,111.1,108.6,96.8,.273,.393,.567,.525,12.3,21.1,.220,.503,12.5,75.3,.224
Washington Wizards,26.0,49,32,46,35,1.93,-0.47,1.46,111.2,109.3,97.4,.255,.284,.565,.528,12.8,24.1,.200,.524,13.8,75.6,.215
Oklahoma City Thunder,24.6,46,34,42,38,0.83,0.40,1.22,108.4,107.6,97.8,.297,.296,.541,.501,13.2,27.8,.221,.512,12.5,78.9,.217
Memphis Grizzlies,29.5,43,38,42,39,0.58,0.50,1.08,107.7,107.1,92.3,.280,.317,.536,.492,12.1,24.6,.219,.506,13.6,77.5,.256
Miami Heat,26.5,40,41,43,38,0.98,-0.31,0.67,107.7,106.7,95.2,.253,.315,.541,.512,12.3,24.1,.178,.496,12.6,76.3,.221
Denver Nuggets,25.3,38,42,41,39,0.23,0.22,0.44,113.4,113.1,98.2,.276,.327,.567,.529,13.1,27.5,.214,.534,10.9,78.6,.196
Charlotte Hornets,26.6,36,45,42,39,0.53,-0.26,0.27,109.1,108.6,95.7,.280,.336,.549,.503,10.7,19.7,.228,.523,12.1,79.7,.164
Portland Trail Blazers,24.8,41,40,39,42,-0.49,0.32,-0.18,110.4,110.9,96.6,.276,.322,.559,.519,12.3,22.9,.216,.509,11.6,76.8,.242
Milwaukee Bucks,25.6,42,39,41,40,0.04,-0.31,-0.27,109.2,109.2,94.5,.275,.290,.565,.528,13.2,21.5,.211,.518,13.7,75.4,.215
Chicago Bulls,26.9,40,41,40,41,-0.05,-0.31,-0.36,107.4,107.4,95.2,.259,.255,.530,.487,12.3,27.0,.207,.509,12.3,76.7,.169
Minnesota Timberwolves,24.0,31,49,37,43,-1.05,0.39,-0.66,110.8,111.9,94.6,.288,.249,.555,.510,12.9,27.3,.231,.535,13.3,76.2,.212
Indiana Pacers,27.0,41,40,39,42,-0.44,-0.40,-0.84,108.5,109.0,96.0,.261,.272,.557,.516,12.8,21.2,.212,.512,13.5,75.4,.225
Detroit Pistons,25.4,37,44,37,44,-1.09,-0.10,-1.19,106.0,107.1,94.9,.217,.262,.522,.493,10.9,24.0,.157,.516,12.1,81.2,.197
Atlanta Hawks,27.9,42,38,37,43,-0.99,-0.37,-1.36,104.9,105.9,97.5,.296,.307,.541,.503,14.1,23.7,.215,.508,13.8,76.1,.179
New Orleans Pelicans,25.7,33,47,35,45,-2.04,0.50,-1.54,105.4,107.5,98.0,.256,.309,.539,.504,11.7,18.6,.192,.509,12.4,76.8,.179
Dallas Mavericks,27.7,32,48,32,48,-2.86,0.39,-2.48,105.7,108.8,92.2,.224,.364,.542,.505,11.6,18.2,.179,.530,14.4,77.8,.219
Sacramento Kings,27.9,31,49,29,51,-4.04,0.60,-3.43,107.1,111.3,94.8,.282,.294,.555,.515,13.7,21.0,.219,.529,13.1,76.4,.228
New York Knicks,27.3,30,51,31,50,-3.73,-0.14,-3.87,107.6,111.4,96.0,.237,.278,.533,.495,12.4,26.4,.187,.511,11.7,74.3,.215
Phoenix Suns,25.1,24,57,27,54,-5.40,0.52,-4.87,106.7,112.0,100.2,.299,.255,.539,.494,13.4,26.0,.232,.525,13.1,76.3,.262
Philadelphia 76ers,24.6,28,53,26,55,-5.75,-0.10,-5.86,103.0,108.8,98.6,.259,.351,.539,.501,15.0,22.2,.200,.512,13.4,75.5,.234
Brooklyn Nets,26.0,20,61,25,56,-6.33,-0.03,-6.36,104.4,110.7,101.3,.290,.371,.553,.509,14.7,19.5,.229,.513,11.6,76.2,.213
Los Angeles Lakers,25.1,25,55,23,57,-7.01,0.48,-6.53,106.2,113.3,98.4,.260,.296,.538,.501,13.5,25.1,.197,.542,12.9,75.7,.213
Orlando Magic,25.3,28,53,23,58,-6.70,-0.03,-6.73,103.6,110.5,96.8,.246,.300,.523,.488,12.1,21.6,.184,.524,12.0,77.4,.202
